district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Haveri,Ranebennur,Onion,1800,6500,4200,2020-01-01
Haveri,Ranebennur,Onion,1500,5300,4000,2020-01-02
Haveri,Ranebennur,Onion,1500,5200,4000,2020-01-03
Haveri,Ranebennur,Onion,700,4500,3600,2020-01-04
Haveri,Ranebennur,Onion,2500,5500,4300,2020-01-06
Haveri,Ranebennur,Onion,3500,5000,4600,2020-01-17
Haveri,Ranebennur,Onion,3750,5200,4750,2020-01-24
Haveri,Ranebennur,Onion,500,3500,2800,2020-01-27
Haveri,Ranebennur,Onion,500,3300,2700,2020-01-28
Haveri,Ranebennur,Onion,400,3000,2600,2020-01-29
Haveri,Ranebennur,Onion,600,3100,2400,2020-01-30
Haveri,Ranebennur,Onion,800,4500,3000,2020-01-31
Haveri,Ranebennur,Onion,600,3000,2500,2020-02-01
Haveri,Ranebennur,Onion,2000,3000,2400,2020-02-03
Haveri,Ranebennur,Onion,950,3500,2200,2020-02-07
Haveri,Ranebennur,Onion,1500,4000,2500,2020-02-14
Haveri,Ranebennur,Onion,500,2100,1500,2020-02-17
Haveri,Ranebennur,Onion,900,2500,1600,2020-02-20
Haveri,Ranebennur,Onion,700,2200,1850,2020-02-24
Haveri,Ranebennur,Onion,800,2000,1600,2020-02-25
Haveri,Ranebennur,Onion,600,1800,1500,2020-02-26
Haveri,Ranebennur,Onion,700,2100,1700,2020-02-27
Haveri,Ranebennur,Onion,700,1850,1450,2020-02-29
Haveri,Ranebennur,Onion,750,2300,2000,2020-03-06
Haveri,Ranebennur,Onion,1200,1900,1500,2020-03-09
Haveri,Ranebennur,Onion,1200,2000,1500,2020-03-12
Haveri,Ranebennur,Onion,600,2000,1650,2020-03-13
Haveri,Ranebennur,Onion,500,2000,1800,2020-03-16
Haveri,Ranebennur,Onion,400,1800,1400,2020-03-18
Haveri,Ranebennur,Onion,700,1900,1750,2020-03-20
Haveri,Ranebennur,Onion,300,1500,750,2020-03-21
Haveri,Ranebennur,Onion,350,1600,800,2020-03-23
Haveri,Ranebennur,Onion,900,1700,1400,2020-03-26
Haveri,Ranebennur,Onion,900,1800,1500,2020-04-01
Haveri,Haveri,Onion,2000,3050,2550,2020-04-01
Haveri,Haveri,Onion,1600,2500,2200,2020-04-02
Haveri,Ranebennur,Onion,500,1500,1000,2020-04-02
Haveri,Haveri,Onion,1600,2400,2000,2020-04-03
Haveri,Ranebennur,Onion,400,1400,800,2020-04-03
Haveri,Haveri,Onion,1600,2200,2000,2020-04-04
Haveri,Ranebennur,Onion,500,1450,820,2020-04-04
Haveri,Haveri,Onion,1600,2500,2200,2020-04-06
Haveri,Ranebennur,Onion,400,1600,1000,2020-04-06
Haveri,Ranebennur,Onion,450,1550,1050,2020-04-07
Haveri,Haveri,Onion,1500,2200,2000,2020-04-07
Haveri,Ranebennur,Onion,500,1200,800,2020-04-08
Haveri,Haveri,Onion,1000,1500,1200,2020-04-08
Haveri,Ranebennur,Onion,450,1250,850,2020-04-09
Haveri,Haveri,Onion,1000,1800,1500,2020-04-09
Haveri,Ranebennur,Onion,500,1200,800,2020-04-10
Haveri,Haveri,Onion,1000,2000,1500,2020-04-10
Haveri,Haveri,Onion,1200,1800,1500,2020-04-11
Haveri,Ranebennur,Onion,400,1200,800,2020-04-11
Haveri,Ranebennur,Onion,200,1000,900,2020-04-13
Haveri,Haveri,Onion,1200,1800,1600,2020-04-13
Haveri,Haveri,Onion,1200,1800,1500,2020-04-14
Haveri,Ranebennur,Onion,250,1000,800,2020-04-14
Haveri,Ranebennur,Onion,250,1000,800,2020-04-15
Haveri,Haveri,Onion,1000,1800,1500,2020-04-15
Haveri,Ranebennur,Onion,250,950,750,2020-04-16
Haveri,Haveri,Onion,1200,2000,1600,2020-04-16
Haveri,Haveri,Onion,1200,1800,1500,2020-04-17
Haveri,Ranebennur,Onion,240,1010,820,2020-04-17
Haveri,Ranebennur,Onion,200,980,810,2020-04-18
Haveri,Haveri,Onion,1200,1800,1600,2020-04-18
Haveri,Haveri,Onion,1000,1600,1200,2020-04-20
Haveri,Ranebennur,Onion,200,1010,900,2020-04-20
Haveri,Ranebennur,Onion,300,1040,900,2020-04-21
Haveri,Haveri,Onion,800,1500,1200,2020-04-21
Haveri,Haveri,Onion,800,1600,1200,2020-04-22
Haveri,Ranebennur,Onion,200,1000,900,2020-04-22
Haveri,Ranebennur,Onion,220,1020,910,2020-04-23
Haveri,Haveri,Onion,800,1600,1000,2020-04-23
Haveri,Ranebennur,Onion,250,1050,950,2020-04-24
Haveri,Haveri,Onion,800,1500,1000,2020-04-24
Haveri,Ranebennur,Onion,260,1020,930,2020-04-25
Haveri,Haveri,Onion,800,1200,1000,2020-04-25
Haveri,Haveri,Onion,900,1500,1200,2020-04-27
Haveri,Ranebennur,Onion,300,1040,980,2020-04-27
Haveri,Ranebennur,Onion,350,1000,850,2020-04-28
Haveri,Haveri,Onion,1000,1600,1200,2020-04-28
Haveri,Ranebennur,Onion,390,1020,880,2020-04-29
Haveri,Haveri,Onion,1000,1500,1200,2020-04-29
Haveri,Haveri,Onion,1000,1600,1200,2020-04-30
Haveri,Ranebennur,Onion,200,900,800,2020-04-30
Haveri,Haveri,Onion,1000,1600,1400,2020-05-01
Haveri,Ranebennur,Onion,250,900,800,2020-05-02
Haveri,Haveri,Onion,1000,1600,1500,2020-05-02
Haveri,Haveri,Onion,800,1500,1200,2020-05-04
Haveri,Ranebennur,Onion,200,900,800,2020-05-04
Haveri,Ranebennur,Onion,220,930,810,2020-05-05
Haveri,Haveri,Onion,1000,1500,1200,2020-05-05
Haveri,Ranebennur,Onion,220,950,825,2020-05-06
Haveri,Haveri,Onion,800,1500,1200,2020-05-06
Haveri,Ranebennur,Onion,300,1000,900,2020-05-07
Haveri,Haveri,Onion,800,1400,1200,2020-05-07
Haveri,Haveri,Onion,900,1400,1300,2020-05-08
Haveri,Ranebennur,Onion,280,980,900,2020-05-08
Haveri,Ranebennur,Onion,200,900,800,2020-05-09
Haveri,Haveri,Onion,850,1500,1200,2020-05-11
Haveri,Ranebennur,Onion,200,900,800,2020-05-11
Haveri,Haveri,Onion,900,1600,1400,2020-05-12
Haveri,Ranebennur,Onion,220,920,810,2020-05-12
Haveri,Ranebennur,Onion,250,950,850,2020-05-13
Haveri,Haveri,Onion,1000,1600,1400,2020-05-13
Haveri,Ranebennur,Onion,200,1000,800,2020-05-14
Haveri,Haveri,Onion,1200,1800,1500,2020-05-14
Haveri,Haveri,Onion,1200,1600,1400,2020-05-15
Haveri,Ranebennur,Onion,3319,4650,3748,2020-05-15
Haveri,Ranebennur,Onion,250,980,850,2020-05-16
Haveri,Haveri,Onion,1300,1500,1400,2020-05-16
Haveri,Haveri,Onion,1300,1600,1400,2020-05-18
Haveri,Ranebennur,Onion,220,920,820,2020-05-18
Haveri,Ranebennur,Onion,210,925,815,2020-05-19
Haveri,Haveri,Onion,1200,1600,1400,2020-05-19
Haveri,Haveri,Onion,1200,1600,1400,2020-05-20
Haveri,Ranebennur,Onion,250,900,800,2020-05-20
Haveri,Haveri,Onion,1200,1500,1400,2020-05-21
Haveri,Ranebennur,Onion,230,920,810,2020-05-21
Haveri,Haveri,Onion,1200,1500,1400,2020-05-22
Haveri,Haveri,Onion,1200,1500,1300,2020-05-23
Haveri,Ranebennur,Onion,200,900,800,2020-05-23
