district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Kalburgi,Kalburgi,Onion,1000,2300,1700,2021-08-04
Kalburgi,Kalburgi,Onion,1000,2400,2100,2021-08-07
Kalburgi,Kalburgi,Onion,1000,2150,1850,2021-08-11
Kalburgi,Kalburgi,Onion,800,2200,1600,2021-08-14
Kalburgi,Kalburgi,Onion,1000,2500,2000,2021-08-18
Kalburgi,Kalburgi,Onion,1000,2300,1800,2021-09-16
Kalburgi,Kalburgi,Onion,400,2200,1500,2021-09-18
Kalburgi,Kalburgi,Onion,1000,2500,1700,2021-09-28
Kalburgi,Kalburgi,Onion,600,3500,2500,2021-10-06
Kalburgi,Kalburgi,Onion,1000,3600,2500,2021-10-13
Kalburgi,Kalburgi,Onion,800,3100,2500,2021-11-17
Kalburgi,Kalburgi,Onion,1000,3300,2500,2021-11-20
Kalburgi,Kalburgi,Onion,1000,3500,2600,2021-11-24
Kalburgi,Kalburgi,Onion,1000,2500,1500,2021-12-01
Kalburgi,Kalburgi,Onion,1000,3500,2500,2021-12-04
Kalburgi,Kalburgi,Onion,1000,2800,1800,2021-12-08
Kalburgi,Kalburgi,Onion,1000,2800,2500,2021-12-11
Kalburgi,Kalburgi,Onion,2500,3600,2800,2021-12-15
Kalburgi,Kalburgi,Onion,1000,3400,2000,2021-12-22
Kalburgi,Kalburgi,Onion,1000,3300,2500,2021-12-29
Kalburgi,Kalburgi,Onion,1000,3000,2000,2022-01-05
Kalburgi,Kalburgi,Onion,1000,3000,2000,2022-01-08
Kalburgi,Kalburgi,Onion,1000,2800,1500,2022-01-12
Kalburgi,Kalburgi,Onion,1000,2700,1500,2022-01-15
Kalburgi,Kalburgi,Onion,700,2600,1500,2022-01-19
Kalburgi,Kalburgi,Onion,1000,2700,1600,2022-01-29
Kalburgi,Kalburgi,Onion,1000,2300,1500,2022-02-02
Kalburgi,Kalburgi,Onion,1000,2600,1500,2022-02-05
Kalburgi,Kalburgi,Onion,1000,3200,1500,2022-02-09
Kalburgi,Kalburgi,Onion,1000,3500,2600,2022-02-12
Kalburgi,Kalburgi,Onion,1000,12800,1800,2022-02-16
Kalburgi,Kalburgi,Onion,1000,3600,2500,2022-02-19
Kalburgi,Kalburgi,Onion,1000,3500,2000,2022-02-23
Kalburgi,Kalburgi,Onion,1000,2300,1500,2022-03-05
Kalburgi,Kalburgi,Onion,1000,2200,1500,2022-03-09
