district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Kolar,Kolar,Onion,9100,9200,9125,2020-01-02
Kolar,Kolar,Onion,8900,9100,9000,2020-01-03
Kolar,Chintamani,Onion,3000,6000,4500,2020-01-05
Kolar,Malur,Onion,9000,12000,10000,2020-01-06
Kolar,Chickkaballapura,Onion,4000,6000,5000,2020-01-07
Kolar,Kolar,Onion,8400,8600,8545,2020-01-09
Kolar,Chickkaballapura,Onion,4000,6000,5000,2020-01-10
Kolar,Chintamani,Onion,4000,6000,5000,2020-01-14
Kolar,Chickkaballapura,Onion,4000,5000,4500,2020-01-14
Kolar,Chintamani,Onion,2000,3500,2750,2020-01-15
Kolar,Kolar,Onion,7300,7400,7366,2020-01-16
Kolar,Kolar,Onion,5500,5700,5615,2020-01-17
Kolar,Chickkaballapura,Onion,4000,8000,7500,2020-01-17
Kolar,Malur,Onion,4500,6000,5000,2020-01-18
Kolar,Chickkaballapura,Onion,4000,4500,4250,2020-01-21
Kolar,Kolar,Onion,3700,3900,3800,2020-01-24
Kolar,Chickkaballapura,Onion,4500,5000,4800,2020-01-24
Kolar,Chickkaballapura,Onion,3200,3400,3250,2020-01-28
Kolar,Kolar,Onion,4900,5100,5000,2020-01-31
Kolar,Chickkaballapura,Onion,3000,3400,3200,2020-01-31
Kolar,Chickkaballapura,Onion,2800,3000,2900,2020-02-04
Kolar,Chintamani,Onion,2500,4000,3000,2020-02-05
Kolar,Chickkaballapura,Onion,2300,2500,2400,2020-02-07
Kolar,Kolar,Onion,4600,4800,4750,2020-02-07
Kolar,Chintamani,Onion,1200,2000,1600,2020-02-10
Kolar,Chintamani,Onion,2000,3000,2400,2020-02-11
Kolar,Chickkaballapura,Onion,2300,2500,2400,2020-02-11
Kolar,Malur,Onion,2300,3000,2500,2020-02-13
Kolar,Chickkaballapura,Onion,2500,2800,2600,2020-02-14
Kolar,Kolar,Onion,5300,5500,5416,2020-02-14
Kolar,Gowribidanoor,Onion,3700,4000,3800,2020-02-17
Kolar,Chickkaballapura,Onion,2600,2800,2700,2020-02-18
Kolar,Kolar,Onion,1200,1400,1300,2020-02-21
Kolar,Chickkaballapura,Onion,2600,2800,2700,2020-02-21
Kolar,Chickkaballapura,Onion,2400,2600,2450,2020-02-25
Kolar,Gowribidanoor,Onion,2200,2600,2500,2020-02-27
Kolar,Chickkaballapura,Onion,2400,2600,2450,2020-02-28
Kolar,Kolar,Onion,2600,2800,2741,2020-02-28
Kolar,Chickkaballapura,Onion,200,240,230,2020-03-03
Kolar,Kolar,Onion,2100,2200,2133,2020-03-04
Kolar,Kolar,Onion,1900,2100,2000,2020-03-05
Kolar,Chintamani,Onion,1200,2000,1600,2020-03-05
Kolar,Chickkaballapura,Onion,2000,2400,2350,2020-03-06
Kolar,Kolar,Onion,2000,2100,2044,2020-03-06
Kolar,Gowribidanoor,Onion,2200,2600,2500,2020-03-06
Kolar,Chintamani,Onion,1500,2000,1800,2020-03-10
Kolar,Chickkaballapura,Onion,2000,2300,2100,2020-03-10
Kolar,Kolar,Onion,2400,2600,2500,2020-03-12
Kolar,Gowribidanoor,Onion,350,450,400,2020-03-12
Kolar,Chickkaballapura,Onion,220,2400,2000,2020-03-13
Kolar,Kolar,Onion,2800,2900,2846,2020-03-13
Kolar,Chickkaballapura,Onion,2000,2200,2100,2020-03-17
Kolar,Chintamani,Onion,1200,2000,1600,2020-03-18
Kolar,Kolar,Onion,900,1100,1000,2020-03-18
Kolar,Kolar,Onion,2000,2200,2178,2020-03-19
Kolar,Gowribidanoor,Onion,400,450,430,2020-03-20
Kolar,Chickkaballapura,Onion,1700,1900,1800,2020-03-20
Kolar,Gowribidanoor,Onion,400,450,430,2020-03-21
Kolar,Gowribidanoor,Onion,400,450,430,2020-03-23
Kolar,Chickkaballapura,Onion,1900,2200,2000,2020-03-23
Kolar,Chickkaballapura,Onion,1900,2200,2000,2020-03-24
