district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Koppal,Koppal,Onion,1200,2200,1700,2023-07-20
Koppal,Koppal,Onion,1600,2100,1850,2023-07-21
Koppal,Koppal,Onion,1800,2000,1900,2023-07-24
Koppal,Koppal,Onion,1500,2000,1750,2023-07-25
Koppal,Koppal,Onion,1600,2000,1800,2023-07-27
Koppal,Koppal,Onion,1400,2000,1700,2023-07-28
Koppal,Koppal,Onion,1500,2000,1750,2023-07-31
Koppal,Koppal,Onion,1400,2000,1700,2023-08-01
Koppal,Koppal,Onion,1800,2200,2000,2023-08-03
Koppal,Koppal,Onion,1700,2200,1950,2023-08-04
Koppal,Koppal,Onion,1600,2100,1850,2023-08-07
Koppal,Koppal,Onion,1700,2200,1950,2023-08-08
Koppal,Koppal,Onion,1800,2100,1950,2023-08-10
Koppal,Koppal,Onion,1700,2100,1900,2023-08-11
Koppal,Koppal,Onion,1800,2100,1950,2023-08-14
Koppal,Koppal,Onion,1500,2200,1850,2023-08-17
Koppal,Koppal,Onion,1400,2100,1850,2023-08-18
Koppal,Koppal,Onion,1200,1800,1500,2023-08-21
Koppal,Koppal,Onion,1400,2100,1750,2023-08-22
Koppal,Koppal,Onion,2500,3000,2750,2023-08-28
Koppal,Koppal,Onion,2800,3200,3000,2023-08-29
Koppal,Koppal,Onion,2800,3200,3000,2023-08-31
Koppal,Koppal,Onion,2800,3200,3000,2023-09-01
Koppal,Koppal,Onion,2500,2700,2600,2023-09-08
Koppal,Koppal,Onion,2000,2600,2300,2023-09-11
Koppal,Koppal,Onion,2000,2600,2300,2023-09-12
Koppal,Koppal,Onion,2000,2500,2250,2023-09-14
Koppal,Koppal,Onion,2000,2500,2250,2023-09-15
Koppal,Koppal,Onion,300,450,375,2023-10-26
Koppal,Koppal,Onion,4500,7000,5750,2023-11-02
Koppal,Koppal,Onion,3500,5000,4250,2023-11-16
Koppal,Koppal,Onion,2000,2800,2400,2024-01-01
Koppal,Koppal,Onion,2400,2800,2600,2024-01-05
