district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Mandya,Mandya,Onion,2400,2400,2400,2020-02-06
Mandya,Mandya,Onion,1800,1800,1800,2020-02-27
Mandya,Mandya,Onion,1500,1500,1500,2020-03-05
Mandya,K.R. Pet,Onion,1000,1000,1000,2020-04-29
Mandya,K.R. Pet,Onion,700,900,900,2020-06-18
Mandya,K.R. Pet,Onion,1000,1000,1000,2020-07-04
Mandya,K.R. Pet,Onion,1000,1000,1000,2020-07-15
Mandya,K.R. Pet,Onion,1000,1000,1000,2020-07-22
Mandya,K.R. Pet,Onion,1000,1000,1000,2020-07-29
Mandya,K.R. Pet,Onion,1000,1000,1000,2020-08-07
Mandya,K.R. Pet,Onion,5000,5000,5000,2020-11-07
Mandya,K.R. Pet,Onion,3000,3000,3000,2021-02-06
Mandya,K.R. Pet,Onion,2000,2000,2000,2021-03-06
Mandya,K.R. Pet,Onion,1200,1200,1200,2021-06-08
Mandya,K.R. Pet,Onion,1500,1500,1500,2021-07-05
Mandya,K.R. Pet,Onion,1500,1500,1500,2021-08-07
Mandya,K.R. Pet,Onion,1000,1000,1000,2021-09-09
Mandya,K.R. Pet,Onion,1200,1200,1200,2021-10-08
Mandya,Mandya,Onion,1000,1000,1000,2021-10-22
Mandya,Mandya,Onion,2000,2000,2000,2021-11-10
Mandya,Mandya,Onion,2200,2200,2200,2021-11-18
Mandya,K.R. Pet,Onion,1200,1200,1200,2021-11-23
Mandya,Mandya,Onion,3000,3000,3000,2021-11-24
Mandya,Mandya,Onion,1600,1600,1600,2021-12-02
Mandya,K.R. Pet,Onion,1200,1200,1200,2021-12-08
Mandya,Mandya,Onion,2000,2000,2000,2021-12-18
Mandya,Mandya,Onion,2000,2000,2000,2021-12-29
Mandya,Mandya,Onion,3500,3500,3500,2021-12-30
Mandya,K.R. Pet,Onion,1200,1200,1200,2022-01-01
Mandya,Mandya,Onion,3000,3200,3000,2022-01-05
Mandya,K.R. Pet,Onion,1200,1200,1200,2022-01-10
Mandya,Mandya,Onion,3000,3000,3000,2022-01-28
Mandya,K.R. Pet,Onion,1000,1200,1000,2022-02-02
Mandya,K.R. Pet,Onion,1200,1200,1200,2022-02-03
Mandya,Mandya,Onion,2200,2600,2400,2022-02-04
Mandya,Mandya,Onion,2000,2800,2500,2022-02-10
Mandya,Mandya,Onion,2500,2500,2500,2022-02-16
Mandya,Mandya,Onion,1800,2500,2000,2022-02-17
Mandya,Mandya,Onion,2500,3000,3000,2022-02-22
Mandya,Mandya,Onion,2400,2700,2500,2022-02-24
Mandya,K.R. Pet,Onion,1000,1000,1000,2022-02-26
Mandya,Mandya,Onion,2500,2800,2600,2022-03-04
Mandya,K.R. Pet,Onion,1200,1200,1200,2022-03-07
Mandya,Mandya,Onion,1000,2500,1200,2022-03-10
Mandya,Mandya,Onion,2000,2000,2000,2022-03-16
Mandya,Mandya,Onion,2000,2000,2000,2022-03-17
Mandya,Mandya,Onion,2000,2000,2000,2022-03-23
Mandya,Mandya,Onion,1600,1600,1600,2022-03-24
Mandya,Mandya,Onion,2200,2200,2200,2022-03-28
Mandya,Mandya,Onion,1000,2000,2000,2022-03-31
Mandya,K.R. Pet,Onion,1200,1200,1200,2022-04-06
Mandya,K.R. Pet,Onion,1200,1200,1200,2022-04-07
Mandya,Mandya,Onion,2100,2100,2100,2022-04-07
Mandya,Mandya,Onion,2500,7000,2500,2022-04-12
Mandya,Mandya,Onion,2000,2000,2000,2022-04-16
Mandya,Mandya,Onion,2000,2000,2000,2022-04-21
Mandya,Mandya,Onion,2200,2200,2200,2022-04-28
Mandya,Mandya,Onion,2200,2200,2200,2022-05-05
Mandya,K.R. Pet,Onion,1200,1200,1200,2022-05-09
Mandya,Mandya,Onion,2000,2000,2000,2022-05-12
Mandya,Mandya,Onion,2000,2000,2000,2022-05-19
Mandya,Mandya,Onion,2000,2000,2000,2022-05-26
Mandya,Mandya,Onion,1500,1500,1500,2022-06-02
Mandya,K.R. Pet,Onion,1200,1200,1200,2022-06-07
Mandya,Mandya,Onion,1200,2000,2000,2022-06-09
Mandya,Mandya,Onion,1500,2500,2000,2022-06-16
Mandya,K.R. Pet,Onion,1200,1200,1200,2022-07-06
Mandya,Mandya,Onion,2500,2500,2500,2022-07-07
Mandya,Mandya,Onion,2200,2200,2200,2022-07-14
Mandya,Mandya,Onion,2200,2200,2200,2022-07-21
Mandya,Mandya,Onion,2000,2500,2000,2022-07-28
Mandya,Mandya,Onion,2300,2800,2300,2022-08-04
Mandya,K.R. Pet,Onion,1000,1000,1000,2022-08-08
Mandya,Mandya,Onion,2200,2400,2200,2022-08-11
Mandya,Mandya,Onion,2200,2200,2200,2022-08-25
Mandya,Mandya,Onion,2000,2200,2200,2022-09-02
Mandya,K.R. Pet,Onion,1200,1200,1200,2022-09-06
Mandya,Mandya,Onion,1000,2200,2200,2022-09-08
Mandya,Mandya,Onion,2200,2200,2200,2022-09-15
Mandya,Mandya,Onion,2200,2500,2200,2022-09-22
Mandya,Mandya,Onion,2000,2400,2000,2022-10-07
Mandya,K.R. Pet,Onion,1200,1200,1200,2022-10-10
Mandya,Mandya,Onion,2000,2000,2000,2022-10-13
Mandya,Mandya,Onion,2200,2200,2200,2022-10-20
Mandya,Mandya,Onion,2000,2000,2000,2022-11-03
Mandya,K.R. Pet,Onion,1200,1200,1200,2022-11-08
Mandya,K.R. Pet,Onion,1200,1200,1200,2022-11-14
Mandya,Mandya,Onion,2500,2500,2500,2022-11-24
Mandya,Mandya,Onion,2800,2800,2800,2022-12-01
Mandya,Mandya,Onion,2500,2500,2500,2022-12-08
Mandya,K.R. Pet,Onion,1200,1200,1200,2022-12-08
Mandya,Mandya,Onion,2000,5000,3000,2022-12-15
Mandya,Mandya,Onion,2300,2400,2400,2022-12-22
Mandya,Mandya,Onion,2500,3000,2500,2022-12-29
Mandya,K.R. Pet,Onion,1200,1200,1200,2023-01-07
Mandya,Mandya,Onion,2000,2000,2000,2023-01-27
Mandya,Mandya,Onion,2000,2000,2000,2023-01-31
Mandya,K.R. Pet,Onion,1200,1200,1200,2023-02-07
Mandya,Mandya,Onion,2200,2200,2200,2023-02-22
Mandya,K.R. Pet,Onion,1200,1200,1200,2023-03-04
Mandya,Mandya,Onion,2000,2000,2000,2023-03-09
Mandya,K.R. Pet,Onion,1200,1200,1200,2023-03-10
Mandya,Mandya,Onion,2200,2200,2200,2023-03-13
Mandya,Mandya,Onion,2000,2000,2000,2023-03-15
Mandya,Mandya,Onion,2000,2000,2000,2023-03-23
Mandya,Mandya,Onion,2000,2000,2000,2023-03-30
Mandya,K.R. Pet,Onion,1000,1000,1000,2023-04-10
Mandya,Mandya,Onion,2000,2000,2000,2023-04-10
Mandya,Mandya,Onion,2000,2000,2000,2023-04-13
Mandya,Mandya,Onion,2000,2000,2000,2023-04-20
Mandya,Mandya,Onion,2000,2000,2000,2023-04-26
Mandya,Mandya,Onion,2000,2000,2000,2023-05-04
Mandya,Mandya,Onion,2000,2000,2000,2023-05-12
Mandya,K.R. Pet,Onion,1200,1200,1200,2023-05-17
Mandya,Mandya,Onion,2000,2000,2000,2023-05-17
Mandya,Mandya,Onion,2000,2000,2000,2023-05-24
Mandya,Mandya,Onion,2000,2000,2000,2023-05-31
Mandya,K.R. Pet,Onion,1200,1200,1200,2023-06-06
Mandya,Mandya,Onion,2000,2000,2000,2023-06-07
Mandya,Mandya,Onion,2000,2000,2000,2023-06-15
Mandya,Mandya,Onion,2000,2000,2000,2023-06-22
Mandya,Mandya,Onion,2000,2000,2000,2023-06-28
Mandya,K.R. Pet,Onion,1200,1200,1200,2023-07-06
Mandya,Mandya,Onion,2200,2200,2200,2023-07-06
Mandya,K.R. Pet,Onion,1000,1000,1000,2023-07-07
Mandya,Mandya,Onion,2500,2500,2500,2023-07-13
Mandya,Mandya,Onion,2500,2500,2500,2023-07-20
Mandya,K.R. Pet,Onion,1600,1600,1600,2023-07-21
Mandya,Mandya,Onion,2200,2200,2200,2023-07-26
Mandya,Mandya,Onion,2300,2300,2300,2023-08-03
Mandya,K.R. Pet,Onion,1200,1200,1200,2023-08-08
Mandya,Mandya,Onion,2500,2500,2500,2023-08-10
Mandya,Mandya,Onion,3200,3200,3200,2023-08-24
Mandya,K.R. Pet,Onion,1200,1200,1200,2023-09-08
Mandya,K.R. Pet,Onion,2500,2500,2500,2023-09-24
Mandya,Mandya,Onion,3200,3200,3200,2023-10-05
Mandya,K.R. Pet,Onion,3000,3000,3000,2023-10-09
Mandya,Mandya,Onion,3500,3500,3500,2023-10-12
Mandya,K.R. Pet,Onion,1000,1000,1000,2023-10-20
Mandya,K.R. Pet,Onion,3000,3000,3000,2023-11-08
Mandya,K.R. Pet,Onion,3000,3000,3000,2023-11-09
Mandya,K.R. Pet,Onion,3000,3000,3000,2023-11-21
Mandya,K.R. Pet,Onion,3000,3000,3000,2023-11-22
Mandya,Mandya,Onion,4000,5000,5000,2023-12-01
Mandya,K.R. Pet,Onion,3000,3000,3000,2023-12-06
Mandya,K.R. Pet,Onion,3000,3000,3000,2023-12-13
Mandya,K.R. Pet,Onion,3000,3000,3000,2023-12-27
Mandya,K.R. Pet,Onion,3000,3000,3000,2024-01-06
Mandya,K.R. Pet,Onion,3000,3000,3000,2024-01-10
Mandya,Nagamangala,Onion,2500,2500,2500,2024-01-17
Mandya,K.R. Pet,Onion,1500,1500,1500,2024-02-07
Mandya,Nagamangala,Onion,1800,1800,1800,2024-02-07
Mandya,K.R. Pet,Onion,1500,1500,1500,2024-02-19
Mandya,K.R. Pet,Onion,1500,1500,1500,2024-02-21
Mandya,K.R. Pet,Onion,1000,1000,1000,2024-03-07
Mandya,K.R. Pet,Onion,1500,1500,1500,2024-04-30
Mandya,K.R. Pet,Onion,1200,1200,1200,2024-05-10
Mandya,K.R. Pet,Onion,1200,1200,1200,2024-06-10
Mandya,K.R. Pet,Onion,600,600,600,2024-06-18
Mandya,K.R. Pet,Onion,3000,3000,3000,2024-07-04
Mandya,K.R. Pet,Onion,2000,2000,2000,2024-07-09
Mandya,K.R. Pet,Onion,3000,3000,3000,2024-09-09
Mandya,K.R. Pet,Onion,3000,3000,3000,2024-10-08
Mandya,K.R. Pet,Onion,3000,3000,3000,2024-11-08
Mandya,K.R. Pet,Onion,3000,3000,3000,2024-11-16
Mandya,K.R. Pet,Onion,3000,3000,3000,2024-11-19
Mandya,K.R. Pet,Onion,2500,2500,2500,2024-11-20
Mandya,K.R. Pet,Onion,3000,3000,3000,2024-12-07
