district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Mangalore(Dakshin Kannad),Mangalore,Onion,2400,2800,2600,2020-03-11
Mangalore(Dakshin Kannad),Mangalore,Onion,2400,2800,2600,2020-03-12
Mangalore(Dakshin Kannad),Mangalore,Onion,2400,2800,2600,2020-03-13
Mangalore(Dakshin Kannad),Mangalore,Onion,2400,2800,2600,2020-03-16
Mangalore(Dakshin Kannad),Mangalore,Onion,2400,2800,2600,2020-03-17
Mangalore(Dakshin Kannad),Mangalore,Onion,1900,2400,2100,2020-03-18
Mangalore(Dakshin Kannad),Mangalore,Onion,1900,2400,2100,2020-03-19
Mangalore(Dakshin Kannad),Mangalore,Onion,1900,2400,2100,2020-03-20
Mangalore(Dakshin Kannad),Mangalore,Onion,1900,2400,2100,2020-03-21
Mangalore(Dakshin Kannad),Mangalore,Onion,2000,2500,2100,2020-03-23
Mangalore(Dakshin Kannad),Mangalore,Onion,2000,3000,2500,2020-04-01
Mangalore(Dakshin Kannad),Mangalore,Onion,2000,2800,2600,2020-04-03
Mangalore(Dakshin Kannad),Mangalore,Onion,1400,1600,1500,2020-04-24
Mangalore(Dakshin Kannad),Mangalore,Onion,1500,2000,1700,2020-05-05
Mangalore(Dakshin Kannad),Mangalore,Onion,1500,2000,1700,2020-05-06
Mangalore(Dakshin Kannad),Mangalore,Onion,1500,2000,1800,2020-05-07
Mangalore(Dakshin Kannad),Mangalore,Onion,1500,2000,1800,2020-05-08
Mangalore(Dakshin Kannad),Mangalore,Onion,1500,2000,1800,2020-05-09
Mangalore(Dakshin Kannad),Mangalore,Onion,1500,2000,1800,2020-05-11
Mangalore(Dakshin Kannad),Mangalore,Onion,1500,2000,1800,2020-05-12
Mangalore(Dakshin Kannad),Mangalore,Onion,1500,2000,1800,2020-05-13
Mangalore(Dakshin Kannad),Mangalore,Onion,1500,2000,1800,2020-05-14
Mangalore(Dakshin Kannad),Mangalore,Onion,1500,2000,1800,2020-05-15
Mangalore(Dakshin Kannad),Mangalore,Onion,1500,2000,1800,2020-05-16
Mangalore(Dakshin Kannad),Mangalore,Onion,1500,2000,1800,2020-05-18
Mangalore(Dakshin Kannad),Mangalore,Onion,1500,2000,1800,2020-05-19
Mangalore(Dakshin Kannad),Mangalore,Onion,1500,2000,1800,2020-05-20
Mangalore(Dakshin Kannad),Mangalore,Onion,1500,2000,1800,2020-05-21
Mangalore(Dakshin Kannad),Mangalore,Onion,1500,2000,1800,2020-05-22
Mangalore(Dakshin Kannad),Mangalore,Onion,1500,2000,1700,2020-05-26
Mangalore(Dakshin Kannad),Mangalore,Onion,1200,1400,1300,2020-05-27
Mangalore(Dakshin Kannad),Mangalore,Onion,1500,2000,1800,2020-05-29
Mangalore(Dakshin Kannad),Mangalore,Onion,1200,1500,1400,2020-06-01
Mangalore(Dakshin Kannad),Mangalore,Onion,1200,1500,1400,2020-06-02
Mangalore(Dakshin Kannad),Mangalore,Onion,1200,1500,1400,2020-06-03
Mangalore(Dakshin Kannad),Mangalore,Onion,1200,1500,1400,2020-06-04
Mangalore(Dakshin Kannad),Mangalore,Onion,1200,1500,1400,2020-06-06
Mangalore(Dakshin Kannad),Mangalore,Onion,1200,1500,1400,2020-06-08
Mangalore(Dakshin Kannad),Mangalore,Onion,1200,1800,1500,2020-06-09
Mangalore(Dakshin Kannad),Mangalore,Onion,1200,1500,1400,2020-06-10
Mangalore(Dakshin Kannad),Mangalore,Onion,1200,1500,1400,2020-06-11
Mangalore(Dakshin Kannad),Mangalore,Onion,1200,1500,1400,2020-06-12
Mangalore(Dakshin Kannad),Mangalore,Onion,1200,1500,1400,2020-06-15
Mangalore(Dakshin Kannad),Mangalore,Onion,1200,1500,1400,2020-06-16
Mangalore(Dakshin Kannad),Mangalore,Onion,1200,1500,1400,2020-06-17
Mangalore(Dakshin Kannad),Mangalore,Onion,1200,1500,1400,2020-06-18
Mangalore(Dakshin Kannad),Mangalore,Onion,1200,1500,1400,2020-06-19
Mangalore(Dakshin Kannad),Mangalore,Onion,1200,1500,1400,2020-06-20
Mangalore(Dakshin Kannad),Mangalore,Onion,1000,1400,1200,2020-06-22
Mangalore(Dakshin Kannad),Mangalore,Onion,1200,1600,1400,2020-06-23
