district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Mysore,Mysore (Bandipalya),Onion,2500,5000,3750,2020-01-01
Mysore,Mysore (Bandipalya),Onion,2000,5000,3500,2020-01-02
Mysore,Mysore (Bandipalya),Onion,3000,5000,4000,2020-01-04
Mysore,Mysore (Bandipalya),Onion,3000,5000,4000,2020-01-06
Mysore,Mysore (Bandipalya),Onion,2000,5000,3500,2020-01-07
Mysore,Mysore (Bandipalya),Onion,2000,5000,3500,2020-01-08
Mysore,Mysore (Bandipalya),Onion,2000,5000,3500,2020-01-10
Mysore,Mysore (Bandipalya),Onion,1000,4000,2500,2020-01-13
Mysore,Mysore (Bandipalya),Onion,1000,4000,2500,2020-01-14
Mysore,Mysore (Bandipalya),Onion,1000,4000,2500,2020-01-16
Mysore,Mysore (Bandipalya),Onion,1000,4000,2500,2020-01-17
Mysore,Mysore (Bandipalya),Onion,1000,4000,2500,2020-01-18
Mysore,Mysore (Bandipalya),Onion,2000,5500,3750,2020-01-20
Mysore,Mysore (Bandipalya),Onion,2000,5500,3700,2020-01-21
Mysore,Mysore (Bandipalya),Onion,2000,5500,3800,2020-01-22
Mysore,Mysore (Bandipalya),Onion,2000,5000,3500,2020-01-23
Mysore,Mysore (Bandipalya),Onion,2000,5500,3750,2020-01-24
Mysore,Mysore (Bandipalya),Onion,2000,5000,3500,2020-01-25
Mysore,Mysore (Bandipalya),Onion,1000,3500,2300,2020-01-27
Mysore,Mysore (Bandipalya),Onion,1000,3500,2300,2020-01-28
Mysore,Mysore (Bandipalya),Onion,1000,3000,2000,2020-01-29
Mysore,Mysore (Bandipalya),Onion,1000,3000,2000,2020-01-30
Mysore,Mysore (Bandipalya),Onion,1000,3000,2000,2020-01-31
Mysore,Mysore (Bandipalya),Onion,1000,3000,2000,2020-02-01
Mysore,Mysore (Bandipalya),Onion,1000,3000,2000,2020-02-03
Mysore,Mysore (Bandipalya),Onion,1000,3000,2000,2020-02-04
Mysore,Mysore (Bandipalya),Onion,1000,3000,2000,2020-02-05
Mysore,Mysore (Bandipalya),Onion,1000,3000,2000,2020-02-06
Mysore,Mysore (Bandipalya),Onion,1000,3000,2000,2020-02-07
Mysore,Mysore (Bandipalya),Onion,1000,3000,2000,2020-02-10
Mysore,Mysore (Bandipalya),Onion,1000,2600,1800,2020-02-11
Mysore,Mysore (Bandipalya),Onion,1000,3000,2000,2020-02-12
Mysore,Mysore (Bandipalya),Onion,1000,2600,1800,2020-02-13
Mysore,Mysore (Bandipalya),Onion,1000,2600,1800,2020-02-14
Mysore,Mysore (Bandipalya),Onion,1000,2600,1800,2020-02-15
Mysore,Mysore (Bandipalya),Onion,1000,2600,1800,2020-02-17
Mysore,Mysore (Bandipalya),Onion,1200,2500,1800,2020-02-18
Mysore,Mysore (Bandipalya),Onion,1200,2500,1800,2020-02-19
Mysore,Mysore (Bandipalya),Onion,1000,2400,1700,2020-02-22
Mysore,Mysore (Bandipalya),Onion,1000,2400,1700,2020-02-24
Mysore,Mysore (Bandipalya),Onion,1400,2400,1900,2020-02-25
Mysore,Mysore (Bandipalya),Onion,1400,2400,1900,2020-02-26
Mysore,Mysore (Bandipalya),Onion,1400,2400,1900,2020-02-27
Mysore,Mysore (Bandipalya),Onion,1400,2400,1900,2020-02-28
Mysore,Mysore (Bandipalya),Onion,1400,2200,1800,2020-02-29
Mysore,Mysore (Bandipalya),Onion,1200,2200,1700,2020-03-02
Mysore,Mysore (Bandipalya),Onion,1000,2000,1500,2020-03-03
Mysore,Mysore (Bandipalya),Onion,1000,2000,1500,2020-03-04
Mysore,Mysore (Bandipalya),Onion,1000,2000,1500,2020-03-05
Mysore,Mysore (Bandipalya),Onion,1000,2000,1500,2020-03-07
Mysore,Mysore (Bandipalya),Onion,1000,2200,1600,2020-03-09
Mysore,Mysore (Bandipalya),Onion,1000,2200,1600,2020-03-11
Mysore,Mysore (Bandipalya),Onion,1000,2400,1700,2020-03-12
Mysore,Mysore (Bandipalya),Onion,1000,2400,1700,2020-03-13
Mysore,Mysore (Bandipalya),Onion,1600,2000,1800,2020-03-16
Mysore,Mysore (Bandipalya),Onion,1000,2000,1500,2020-03-17
Mysore,Mysore (Bandipalya),Onion,1000,2000,1500,2020-03-18
Mysore,Mysore (Bandipalya),Onion,1000,2000,1500,2020-03-19
Mysore,Mysore (Bandipalya),Onion,1000,2000,1500,2020-03-20
Mysore,Mysore (Bandipalya),Onion,1000,2000,1500,2020-03-21
Mysore,Mysore (Bandipalya),Onion,2000,2600,2300,2020-03-23
Mysore,Mysore (Bandipalya),Onion,2000,2600,2300,2020-03-24
Mysore,Mysore (Bandipalya),Onion,2000,2400,2200,2020-03-28
Mysore,Mysore (Bandipalya),Onion,2000,2800,2400,2020-03-29
Mysore,Mysore (Bandipalya),Onion,2000,2600,2300,2020-03-30
Mysore,Mysore (Bandipalya),Onion,2000,2400,2200,2020-04-01
Mysore,Nanjangud,Onion,2500,2700,2500,2020-04-02
Mysore,Mysore (Bandipalya),Onion,2000,2200,2100,2020-04-02
Mysore,Mysore (Bandipalya),Onion,1800,2200,2000,2020-04-03
Mysore,Nanjangud,Onion,2500,2600,2500,2020-04-03
Mysore,Nanjangud,Onion,2600,2800,2700,2020-04-04
Mysore,Mysore (Bandipalya),Onion,1800,2200,2000,2020-04-04
Mysore,Nanjangud,Onion,2500,2700,2600,2020-04-05
Mysore,Nanjangud,Onion,2500,2700,2600,2020-04-06
Mysore,Mysore (Bandipalya),Onion,1200,2000,1600,2020-04-06
Mysore,Nanjangud,Onion,3000,4000,3500,2020-04-07
Mysore,Mysore (Bandipalya),Onion,1500,2000,1750,2020-04-07
Mysore,Nanjangud,Onion,2500,3000,2800,2020-04-08
Mysore,Mysore (Bandipalya),Onion,1000,1800,1400,2020-04-08
Mysore,Nanjangud,Onion,2000,2500,2300,2020-04-09
Mysore,Mysore (Bandipalya),Onion,1000,1800,1400,2020-04-09
Mysore,Mysore (Bandipalya),Onion,1000,1800,1400,2020-04-10
Mysore,Nanjangud,Onion,2000,2500,2300,2020-04-10
Mysore,Nanjangud,Onion,1800,2500,2000,2020-04-11
Mysore,Mysore (Bandipalya),Onion,1000,1600,1300,2020-04-11
Mysore,Nanjangud,Onion,2000,2400,2200,2020-04-12
Mysore,Mysore (Bandipalya),Onion,1000,1700,1350,2020-04-13
Mysore,Nanjangud,Onion,2000,2500,2300,2020-04-14
Mysore,Nanjangud,Onion,1800,2500,2300,2020-04-15
Mysore,Mysore (Bandipalya),Onion,1000,1600,1300,2020-04-15
Mysore,Mysore (Bandipalya),Onion,1000,1600,1300,2020-04-16
Mysore,Mysore (Bandipalya),Onion,1000,1600,1300,2020-04-17
Mysore,Nanjangud,Onion,2000,2500,2300,2020-04-17
Mysore,Mysore (Bandipalya),Onion,1000,1600,1300,2020-04-18
Mysore,Nanjangud,Onion,1000,1500,1300,2020-04-19
Mysore,Mysore (Bandipalya),Onion,800,1200,1000,2020-04-20
Mysore,Mysore (Bandipalya),Onion,600,1200,900,2020-04-21
Mysore,Nanjangud,Onion,1500,2000,1700,2020-04-21
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-04-22
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-04-23
Mysore,Nanjangud,Onion,1000,1500,1200,2020-04-23
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-04-24
Mysore,Nanjangud,Onion,1000,1400,1200,2020-04-24
Mysore,Nanjangud,Onion,1000,1800,1500,2020-04-25
Mysore,Nanjangud,Onion,1200,1600,1500,2020-04-26
Mysore,Mysore (Bandipalya),Onion,800,1200,1000,2020-04-27
Mysore,Nanjangud,Onion,1200,1500,1300,2020-04-27
Mysore,Mysore (Bandipalya),Onion,1000,1200,1100,2020-04-28
Mysore,Nanjangud,Onion,1000,1500,1300,2020-04-28
Mysore,Nanjangud,Onion,800,1200,1000,2020-04-29
Mysore,Mysore (Bandipalya),Onion,1000,1400,1200,2020-04-29
Mysore,Mysore (Bandipalya),Onion,1000,1200,1100,2020-04-30
Mysore,Nanjangud,Onion,900,1200,1000,2020-04-30
Mysore,Nanjangud,Onion,1000,1200,1100,2020-05-01
Mysore,Mysore (Bandipalya),Onion,800,1200,1000,2020-05-02
Mysore,Nanjangud,Onion,1000,1500,1400,2020-05-02
Mysore,Nanjangud,Onion,1000,1500,1200,2020-05-03
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-05-04
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-05-05
Mysore,Nanjangud,Onion,1000,1200,1000,2020-05-05
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-05-06
Mysore,Nanjangud,Onion,1000,1400,1200,2020-05-06
Mysore,Nanjangud,Onion,1000,1400,1200,2020-05-07
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-05-07
Mysore,Nanjangud,Onion,1000,1400,1200,2020-05-08
Mysore,Mysore (Bandipalya),Onion,800,1000,900,2020-05-08
Mysore,Nanjangud,Onion,800,1000,900,2020-05-09
Mysore,Nanjangud,Onion,1000,1400,1200,2020-05-10
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-05-11
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-05-12
Mysore,Nanjangud,Onion,600,1000,800,2020-05-12
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-05-13
Mysore,Nanjangud,Onion,600,1000,800,2020-05-13
Mysore,Nanjangud,Onion,600,1000,800,2020-05-14
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-05-14
Mysore,Nanjangud,Onion,600,1000,800,2020-05-15
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-05-15
Mysore,Nanjangud,Onion,600,1000,800,2020-05-16
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-05-16
Mysore,Nanjangud,Onion,600,1000,800,2020-05-17
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-05-18
Mysore,Nanjangud,Onion,600,1000,800,2020-05-18
Mysore,Nanjangud,Onion,600,1000,800,2020-05-19
Mysore,Mysore (Bandipalya),Onion,800,1000,900,2020-05-19
Mysore,Nanjangud,Onion,800,1000,900,2020-05-20
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-05-20
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-05-21
Mysore,Nanjangud,Onion,600,1000,800,2020-05-21
Mysore,Mysore (Bandipalya),Onion,400,1000,700,2020-05-22
Mysore,Nanjangud,Onion,600,1000,800,2020-05-22
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-05-23
Mysore,Nanjangud,Onion,400,1000,700,2020-05-23
Mysore,Nanjangud,Onion,400,1000,700,2020-05-24
Mysore,Nanjangud,Onion,400,1000,700,2020-05-26
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-05-26
Mysore,Nanjangud,Onion,600,1000,800,2020-05-27
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-05-27
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-05-28
Mysore,Nanjangud,Onion,600,1000,800,2020-05-28
Mysore,Nanjangud,Onion,600,1000,800,2020-05-29
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-05-29
Mysore,Nanjangud,Onion,600,1000,800,2020-05-30
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-05-30
Mysore,Nanjangud,Onion,600,800,700,2020-05-31
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-06-02
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-06-03
Mysore,Nanjangud,Onion,600,1000,800,2020-06-03
Mysore,Nanjangud,Onion,600,1000,800,2020-06-04
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-06-04
Mysore,Mysore (Bandipalya),Onion,600,1000,800,2020-06-05
