district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Raichur,Raichur,Onion,1400,4610,3160,2020-01-01
Raichur,Raichur,Onion,1410,4800,3310,2020-01-02
Raichur,Raichur,Onion,1600,4900,3200,2020-01-03
Raichur,Raichur,Onion,1500,4240,2800,2020-01-04
Raichur,Raichur,Onion,1500,4610,3600,2020-01-06
Raichur,Raichur,Onion,1800,4700,3160,2020-01-07
Raichur,Raichur,Onion,1900,4695,3210,2020-01-08
Raichur,Raichur,Onion,2000,4570,3150,2020-01-09
Raichur,Raichur,Onion,1950,4400,3160,2020-01-10
Raichur,Raichur,Onion,1790,3810,2360,2020-01-11
Raichur,Raichur,Onion,1710,3700,2600,2020-01-13
Raichur,Raichur,Onion,1710,3650,2900,2020-01-14
Raichur,Raichur,Onion,1550,5095,3550,2020-01-16
Raichur,Raichur,Onion,1700,4800,3360,2020-01-17
Raichur,Raichur,Onion,1990,4795,3400,2020-01-18
Raichur,Raichur,Onion,1800,4500,3300,2020-01-20
Raichur,Raichur,Onion,1890,4601,3300,2020-01-21
Raichur,Raichur,Onion,1700,4350,3200,2020-01-22
Raichur,Raichur,Onion,1570,3910,2775,2020-01-23
Raichur,Raichur,Onion,1800,3400,2560,2020-01-24
Raichur,Raichur,Onion,1010,3000,1960,2020-01-25
Raichur,Raichur,Onion,1400,3030,2190,2020-01-27
Raichur,Raichur,Onion,1200,3030,2105,2020-01-28
Raichur,Raichur,Onion,1180,3070,2065,2020-01-29
Raichur,Raichur,Onion,1260,2750,1960,2020-01-30
Raichur,Raichur,Onion,1000,2765,1900,2020-01-31
Raichur,Raichur,Onion,1210,2700,1910,2020-02-01
Raichur,Raichur,Onion,1100,2610,1750,2020-02-03
Raichur,Raichur,Onion,810,2590,1790,2020-02-04
Raichur,Raichur,Onion,1000,2380,1650,2020-02-05
Raichur,Raichur,Onion,990,2200,1610,2020-02-06
Raichur,Raichur,Onion,1060,2180,1400,2020-02-07
Raichur,Raichur,Onion,1000,2015,1400,2020-02-08
Raichur,Raichur,Onion,1000,2260,1550,2020-02-10
Raichur,Raichur,Onion,900,2121,1330,2020-02-11
Raichur,Raichur,Onion,1000,2300,1510,2020-02-12
Raichur,Raichur,Onion,700,2200,1390,2020-02-13
Raichur,Raichur,Onion,750,2350,1610,2020-02-14
Raichur,Raichur,Onion,1070,2350,1725,2020-02-15
Raichur,Raichur,Onion,1000,2406,1600,2020-02-17
Raichur,Raichur,Onion,960,2230,1480,2020-02-18
Raichur,Raichur,Onion,1000,1995,1575,2020-02-19
Raichur,Raichur,Onion,900,2260,1430,2020-02-20
Raichur,Raichur,Onion,980,2090,1300,2020-02-21
Raichur,Raichur,Onion,1160,2255,1590,2020-02-22
Raichur,Raichur,Onion,1055,2010,1400,2020-02-24
Raichur,Raichur,Onion,890,1930,1490,2020-02-25
Raichur,Raichur,Onion,900,1730,1310,2020-02-26
Raichur,Raichur,Onion,960,2060,1490,2020-02-27
Raichur,Raichur,Onion,990,1866,1295,2020-02-28
Raichur,Raichur,Onion,945,1840,1395,2020-02-29
Raichur,Raichur,Onion,970,1670,1270,2020-03-02
Raichur,Raichur,Onion,895,1586,1260,2020-03-03
Raichur,Raichur,Onion,955,1670,1295,2020-03-04
Raichur,Raichur,Onion,1070,1700,1307,2020-03-05
Raichur,Raichur,Onion,850,1665,1270,2020-03-06
Raichur,Raichur,Onion,835,1651,1235,2020-03-07
Raichur,Raichur,Onion,795,1640,1535,2020-03-09
Raichur,Raichur,Onion,990,1800,1160,2020-03-11
Raichur,Raichur,Onion,900,1930,1395,2020-03-12
Raichur,Raichur,Onion,890,1875,1260,2020-03-13
Raichur,Raichur,Onion,800,1775,1320,2020-03-14
Raichur,Raichur,Onion,900,1780,1200,2020-03-16
Raichur,Raichur,Onion,980,1620,1260,2020-03-17
Raichur,Raichur,Onion,900,1330,1070,2020-03-18
Raichur,Raichur,Onion,750,1500,1200,2020-03-19
Raichur,Raichur,Onion,920,1511,1250,2020-03-20
Raichur,Raichur,Onion,750,1280,1050,2020-04-03
Raichur,Raichur,Onion,610,1335,1045,2020-04-06
Raichur,Raichur,Onion,690,1165,940,2020-04-07
Raichur,Raichur,Onion,730,1146,915,2020-04-08
Raichur,Raichur,Onion,745,1225,1006,2020-04-09
Raichur,Raichur,Onion,880,1120,1010,2020-04-10
Raichur,Raichur,Onion,801,1196,1000,2020-04-11
Raichur,Raichur,Onion,820,1160,1050,2020-04-13
Raichur,Raichur,Onion,710,1071,905,2020-04-14
Raichur,Raichur,Onion,750,1230,990,2020-04-15
Raichur,Raichur,Onion,710,1275,970,2020-04-17
Raichur,Raichur,Onion,900,1300,1100,2020-04-18
Raichur,Raichur,Onion,850,1275,1100,2020-04-19
Raichur,Raichur,Onion,800,1200,1100,2020-04-20
Raichur,Raichur,Onion,775,1175,1050,2020-04-21
Raichur,Raichur,Onion,700,1100,1000,2020-04-22
Raichur,Raichur,Onion,900,1200,1100,2020-04-23
Raichur,Raichur,Onion,710,1190,1050,2020-04-24
