district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Shimoga,Bhadravathi,Onion,2000,2620,2082,2020-03-09
Shimoga,Bhadravathi,Onion,2000,2000,2000,2020-03-16
Shimoga,Shimoga,Onion,2600,2600,2600,2020-04-08
Shimoga,Shimoga,Onion,1200,2400,1800,2020-04-15
Shimoga,Shimoga,Onion,1200,2500,1850,2020-04-16
Shimoga,Shimoga,Onion,1200,2200,1700,2020-04-17
Shimoga,Shimoga,Onion,1500,2000,1750,2020-04-18
Shimoga,Shimoga,Onion,1200,2000,1600,2020-04-20
Shimoga,Shimoga,Onion,1000,2000,1500,2020-04-21
Shimoga,Shimoga,Onion,1000,2000,1500,2020-04-22
Shimoga,Shimoga,Onion,1000,2000,1500,2020-04-23
Shimoga,Shimoga,Onion,1000,2000,1500,2020-04-24
Shimoga,Shimoga,Onion,1000,2000,1500,2020-04-27
Shimoga,Shimoga,Onion,1000,2000,1500,2020-04-28
Shimoga,Shimoga,Onion,1000,2000,1500,2020-04-29
Shimoga,Shimoga,Onion,1000,2000,1500,2020-04-30
Shimoga,Shimoga,Onion,1000,2000,1500,2020-05-02
Shimoga,Shimoga,Onion,1600,1600,1600,2020-05-04
Shimoga,Shimoga,Onion,1000,2000,1500,2020-05-05
Shimoga,Shimoga,Onion,1000,1800,1400,2020-05-06
Shimoga,Shimoga,Onion,1000,1800,1400,2020-05-07
Shimoga,Shimoga,Onion,1000,2000,1500,2020-05-08
Shimoga,Shimoga,Onion,1000,1800,1400,2020-05-11
Shimoga,Shimoga,Onion,1000,2000,1500,2020-05-12
Shimoga,Shimoga,Onion,1000,1800,1400,2020-05-13
Shimoga,Shimoga,Onion,1000,1800,1400,2020-05-14
Shimoga,Shimoga,Onion,1000,1800,1400,2020-05-15
Shimoga,Shimoga,Onion,1000,1800,1400,2020-05-18
Shimoga,Shimoga,Onion,1000,1800,1400,2020-05-19
Shimoga,Shimoga,Onion,800,1800,1300,2020-05-21
Shimoga,Shimoga,Onion,600,1800,1200,2020-05-22
Shimoga,Shimoga,Onion,600,1800,1200,2020-05-26
Shimoga,Shimoga,Onion,800,1600,1200,2020-05-27
Shimoga,Shimoga,Onion,1000,1600,1300,2020-05-28
Shimoga,Shimoga,Onion,1000,1800,1400,2020-05-29
Shimoga,Shimoga,Onion,1000,1800,1400,2020-06-01
Shimoga,Shimoga,Onion,1000,1800,1400,2020-06-02
Shimoga,Shimoga,Onion,1000,1200,1100,2020-06-03
Shimoga,Shimoga,Onion,1000,1800,1400,2020-06-04
Shimoga,Shimoga,Onion,1200,1800,1500,2020-06-05
Shimoga,Shimoga,Onion,1000,1800,1400,2020-06-08
Shimoga,Shimoga,Onion,1200,1800,1500,2020-06-09
Shimoga,Shimoga,Onion,1200,1800,1500,2020-06-10
Shimoga,Shimoga,Onion,1200,1800,1500,2020-06-11
Shimoga,Shimoga,Onion,1200,1800,1500,2020-06-12
Shimoga,Shimoga,Onion,1200,1800,1500,2020-06-15
Shimoga,Shimoga,Onion,1200,1800,1500,2020-06-16
Shimoga,Shimoga,Onion,1000,1800,1400,2020-06-17
Shimoga,Shimoga,Onion,1200,1800,1500,2020-06-18
Shimoga,Shimoga,Onion,1200,1800,1500,2020-06-19
Shimoga,Shimoga,Onion,1200,1800,1500,2020-06-22
Shimoga,Shimoga,Onion,1200,1800,1500,2020-06-23
Shimoga,Shimoga,Onion,1200,1800,1500,2020-06-24
Shimoga,Shimoga,Onion,1200,1800,1500,2020-06-25
Shimoga,Shimoga,Onion,1200,1800,1500,2020-06-26
Shimoga,Shimoga,Onion,1200,1800,1500,2020-06-29
Shimoga,Shimoga,Onion,800,1600,1200,2020-06-30
Shimoga,Shimoga,Onion,800,1600,1200,2020-07-01
Shimoga,Shimoga,Onion,600,1600,1100,2020-07-02
Shimoga,Shimoga,Onion,600,1600,1100,2020-07-03
Shimoga,Shimoga,Onion,1000,1600,1300,2020-07-06
Shimoga,Shimoga,Onion,1000,1600,1300,2020-07-07
Shimoga,Shimoga,Onion,1000,1600,1300,2020-07-08
Shimoga,Shimoga,Onion,1000,1500,1250,2020-07-09
Shimoga,Shimoga,Onion,1000,1600,1300,2020-07-10
Shimoga,Shimoga,Onion,1000,1600,1300,2020-07-13
Shimoga,Shimoga,Onion,1000,1600,1300,2020-07-14
Shimoga,Shimoga,Onion,1000,1600,1300,2020-07-15
Shimoga,Shimoga,Onion,1000,1600,1300,2020-07-16
Shimoga,Shimoga,Onion,1000,1600,1300,2020-07-17
Shimoga,Shimoga,Onion,1000,1600,1300,2020-07-20
Shimoga,Shimoga,Onion,1000,1600,1300,2020-07-21
Shimoga,Shimoga,Onion,1000,1600,1300,2020-07-22
Shimoga,Shimoga,Onion,1000,1600,1300,2020-07-23
Shimoga,Shimoga,Onion,1000,1600,1300,2020-07-24
Shimoga,Shimoga,Onion,1000,1400,1200,2020-07-27
Shimoga,Shimoga,Onion,1000,1400,1200,2020-07-28
Shimoga,Shimoga,Onion,1000,1400,1200,2020-07-29
Shimoga,Shimoga,Onion,1000,1600,1300,2020-07-30
Shimoga,Shimoga,Onion,1000,1600,1300,2020-07-31
Shimoga,Shimoga,Onion,1000,1600,1300,2020-08-03
Shimoga,Shimoga,Onion,1000,1600,1300,2020-08-04
Shimoga,Shimoga,Onion,1000,1600,1300,2020-08-05
Shimoga,Shimoga,Onion,1000,1600,1300,2020-08-06
Shimoga,Shimoga,Onion,1000,1600,1300,2020-08-07
