district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Tumkur,Tumkur,Onion,2100,3500,2700,2020-02-12
Tumkur,Gubbi,Onion,1500,1500,1500,2020-02-26
Tumkur,Tumkur,Onion,1800,2300,1950,2020-02-26
Tumkur,Tumkur,Onion,1600,2400,1900,2020-02-28
Tumkur,Tumkur,Onion,1800,2800,2400,2020-03-02
Tumkur,Tiptur,Onion,2200,3000,2500,2020-04-05
Tumkur,Tiptur,Onion,2200,2800,2500,2020-04-06
Tumkur,Tiptur,Onion,2000,2800,2500,2020-04-07
Tumkur,Tiptur,Onion,1800,2700,2500,2020-04-08
Tumkur,Tiptur,Onion,2200,2500,2300,2020-04-09
Tumkur,Tiptur,Onion,2000,2700,2500,2020-04-10
Tumkur,Tiptur,Onion,2000,2500,2300,2020-04-11
Tumkur,Tiptur,Onion,1800,2500,2200,2020-04-12
Tumkur,Tiptur,Onion,1800,2400,2200,2020-04-13
Tumkur,Tumkur,Onion,1600,2250,1850,2020-04-13
Tumkur,Tiptur,Onion,1800,2500,2200,2020-04-14
Tumkur,Tiptur,Onion,1700,2400,2200,2020-04-15
Tumkur,Tumkur,Onion,1700,2400,2100,2020-04-15
Tumkur,Tiptur,Onion,1700,2400,2200,2020-04-16
Tumkur,Tumkur,Onion,2000,2600,2200,2020-04-17
Tumkur,Tiptur,Onion,1700,2400,2200,2020-04-17
Tumkur,Tiptur,Onion,1650,2400,2200,2020-04-18
Tumkur,Tumkur,Onion,1200,2100,1600,2020-04-18
Tumkur,Tiptur,Onion,1600,2500,2000,2020-04-19
Tumkur,Tumkur,Onion,1200,1800,1500,2020-04-20
Tumkur,Tiptur,Onion,1700,2500,2300,2020-04-20
Tumkur,Tiptur,Onion,1700,2400,2000,2020-04-21
Tumkur,Tumkur,Onion,900,1100,1000,2020-04-21
Tumkur,Tiptur,Onion,1500,2500,2000,2020-04-22
Tumkur,Tumkur,Onion,1000,1400,1200,2020-04-22
Tumkur,Tiptur,Onion,1600,2400,2000,2020-04-23
Tumkur,Tiptur,Onion,1600,2500,2000,2020-04-24
Tumkur,Tumkur,Onion,1000,1300,1200,2020-04-24
Tumkur,Tiptur,Onion,1600,2500,2000,2020-04-25
Tumkur,Tumkur,Onion,1000,1400,1200,2020-04-25
Tumkur,Tiptur,Onion,1400,2400,1900,2020-04-26
Tumkur,Tumkur,Onion,1000,1200,1100,2020-04-26
Tumkur,Tumkur,Onion,1000,1200,1100,2020-04-27
Tumkur,Tiptur,Onion,1400,2300,1800,2020-04-27
