district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Udupi,Udupi,Onion,6000,8000,7500,2020-01-01
Udupi,Udupi,Onion,5000,5800,5500,2020-01-08
Udupi,Udupi,Onion,4000,5000,4500,2020-01-22
Udupi,Udupi,Onion,3600,4000,3800,2020-01-29
Udupi,Udupi,Onion,2500,3400,3000,2020-02-05
Udupi,Udupi,Onion,2400,2700,2600,2020-02-12
Udupi,Udupi,Onion,2400,2600,2500,2020-02-19
Udupi,Udupi,Onion,2000,2500,2300,2020-02-26
Udupi,Udupi,Onion,2000,2300,2200,2020-03-04
Udupi,Udupi,Onion,2000,2300,2200,2020-03-11
Udupi,Udupi,Onion,1900,2200,2000,2020-03-18
Udupi,Udupi,Onion,1300,1400,1350,2020-07-01
Udupi,Udupi,Onion,1200,1400,1300,2020-07-28
Udupi,Udupi,Onion,1200,1400,1300,2020-07-29
Udupi,Udupi,Onion,1300,1400,1350,2020-08-05
Udupi,Udupi,Onion,1300,1400,1350,2020-08-12
Udupi,Udupi,Onion,1300,1400,1350,2020-08-13
Udupi,Udupi,Onion,1300,1400,1350,2020-08-17
Udupi,Udupi,Onion,1600,1800,1700,2020-08-19
Udupi,Udupi,Onion,1800,2400,2000,2020-08-26
Udupi,Udupi,Onion,2000,2200,2100,2020-09-02
Udupi,Udupi,Onion,2000,2400,2200,2020-09-09
Udupi,Udupi,Onion,2000,2400,2200,2020-09-10
Udupi,Udupi,Onion,2600,3000,2800,2020-09-16
Udupi,Udupi,Onion,2600,3000,2800,2020-09-18
Udupi,Udupi,Onion,3000,4200,3500,2020-09-23
Udupi,Udupi,Onion,3000,4200,3500,2020-09-24
Udupi,Udupi,Onion,2000,4000,3000,2020-09-30
Udupi,Udupi,Onion,2000,4000,3000,2020-10-01
Udupi,Udupi,Onion,1800,3600,3000,2020-10-07
Udupi,Udupi,Onion,1800,3600,3000,2020-10-08
Udupi,Udupi,Onion,3000,4500,4000,2020-10-14
Udupi,Udupi,Onion,3000,4500,4000,2020-10-15
Udupi,Udupi,Onion,3000,4500,4000,2020-10-17
Udupi,Udupi,Onion,6000,7800,7000,2020-10-21
Udupi,Udupi,Onion,6000,7800,7000,2020-10-22
Udupi,Udupi,Onion,6000,7800,7000,2020-10-27
Udupi,Udupi,Onion,6000,6700,6500,2020-10-28
Udupi,Udupi,Onion,6000,6700,6500,2020-10-29
Udupi,Udupi,Onion,6200,6500,6300,2020-11-04
Udupi,Udupi,Onion,6200,6500,6300,2020-11-05
Udupi,Udupi,Onion,5500,6000,5800,2020-11-11
Udupi,Udupi,Onion,5500,6000,5800,2020-11-12
Udupi,Udupi,Onion,5000,5400,5200,2020-11-18
Udupi,Udupi,Onion,5000,5400,5200,2020-11-19
Udupi,Udupi,Onion,5000,5400,5200,2020-11-24
Udupi,Udupi,Onion,5200,5500,5300,2020-11-25
Udupi,Udupi,Onion,5200,5500,5300,2020-11-26
Udupi,Udupi,Onion,4500,5000,4800,2020-12-02
Udupi,Udupi,Onion,4500,5000,4800,2020-12-04
Udupi,Udupi,Onion,2600,3000,2800,2020-12-09
Udupi,Udupi,Onion,2600,3000,2800,2020-12-10
Udupi,Udupi,Onion,3600,4000,3800,2020-12-16
Udupi,Udupi,Onion,3600,4000,3800,2020-12-17
Udupi,Udupi,Onion,2600,3000,2800,2020-12-23
Udupi,Udupi,Onion,2600,3000,2800,2020-12-24
Udupi,Udupi,Onion,2800,3000,2900,2020-12-30
Udupi,Udupi,Onion,2800,3000,2900,2020-12-31
Udupi,Udupi,Onion,2800,3000,2900,2021-01-01
Udupi,Udupi,Onion,3000,3600,3300,2021-01-06
Udupi,Udupi,Onion,3000,3600,3300,2021-01-07
Udupi,Udupi,Onion,3000,3600,3300,2021-01-08
Udupi,Udupi,Onion,3600,4000,3800,2021-01-13
Udupi,Udupi,Onion,3600,4000,3800,2021-01-15
Udupi,Udupi,Onion,3600,4000,3800,2021-01-16
Udupi,Udupi,Onion,3600,4000,3800,2021-01-18
Udupi,Udupi,Onion,3400,3700,3600,2021-01-20
Udupi,Udupi,Onion,3400,3700,3600,2021-01-21
Udupi,Udupi,Onion,3400,3700,3600,2021-01-22
Udupi,Udupi,Onion,3400,3700,3600,2021-01-25
Udupi,Udupi,Onion,2600,3400,3000,2021-01-27
Udupi,Udupi,Onion,2600,3400,3000,2021-01-28
Udupi,Udupi,Onion,2600,3400,3000,2021-01-29
Udupi,Udupi,Onion,2600,3400,3000,2021-02-01
Udupi,Udupi,Onion,2600,3400,3000,2021-02-02
Udupi,Udupi,Onion,3400,4000,3800,2021-02-03
Udupi,Udupi,Onion,3400,4000,3800,2021-02-04
Udupi,Udupi,Onion,3400,4000,3800,2021-02-05
Udupi,Udupi,Onion,3400,4000,3800,2021-02-08
Udupi,Udupi,Onion,3400,4000,3800,2021-02-09
Udupi,Udupi,Onion,3400,4000,3800,2021-02-10
Udupi,Udupi,Onion,3400,4000,3800,2021-02-11
Udupi,Udupi,Onion,3400,4000,3800,2021-02-15
Udupi,Udupi,Onion,3400,4000,3800,2021-02-16
Udupi,Udupi,Onion,4000,4500,4200,2021-02-17
Udupi,Udupi,Onion,4000,4500,4200,2021-02-18
Udupi,Udupi,Onion,4000,4500,4200,2021-02-19
Udupi,Udupi,Onion,4000,4500,4200,2021-02-20
Udupi,Udupi,Onion,4000,4500,4200,2021-02-22
Udupi,Udupi,Onion,4000,5000,4500,2021-02-24
Udupi,Udupi,Onion,4000,5000,4500,2021-02-25
Udupi,Udupi,Onion,4000,5000,4500,2021-02-26
Udupi,Udupi,Onion,4000,5000,4500,2021-03-01
Udupi,Udupi,Onion,4000,6000,5000,2021-03-03
Udupi,Udupi,Onion,4000,6000,5000,2021-03-04
Udupi,Udupi,Onion,4000,6000,5000,2021-03-06
Udupi,Udupi,Onion,2200,3500,3000,2021-03-10
