district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Bangalore,Doddaballa Pur,Tomato,800,1200,1000,2020-01-01
Bangalore,Channapatana,Tomato,700,1500,1000,2020-01-01
Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1400,1800,1600,2020-01-01
Bangalore,Ramanagara,Tomato,1400,1600,1500,2020-01-01
Bangalore,Channapatana,Tomato,650,1250,1000,2020-01-02
Bangalore,Ramanagara,Tomato,1400,1600,1500,2020-01-02
Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1400,1800,1600,2020-01-02
Bangalore,Doddaballa Pur,Tomato,700,1200,1000,2020-01-02
Bangalore,Channapatana,Tomato,650,1400,1000,2020-01-03
Bangalore,Doddaballa Pur,Tomato,800,1200,1000,2020-01-03
Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1400,2000,1800,2020-01-03
Bangalore,Ramanagara,Tomato,1300,1500,1400,2020-01-03
Bangalore,Channapatana,Tomato,600,1250,1000,2020-01-04
Bangalore,Doddaballa Pur,Tomato,800,1200,1000,2020-01-04
Bangalore,Ramanagara,Tomato,1300,1500,1400,2020-01-04
Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1400,1800,1600,2020-01-04
Bangalore,Doddaballa Pur,Tomato,800,1200,1000,2020-01-06
Bangalore,Channapatana,Tomato,650,1400,1000,2020-01-06
Bangalore,Ramanagara,Tomato,1300,1500,1400,2020-01-06
Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1400,2000,1800,2020-01-06
Bangalore,Ramanagara,Tomato,1000,1400,1200,2020-01-07
Bangalore,Kanakapura,Tomato,800,1000,900,2020-01-07
Bangalore,Channapatana,Tomato,550,1400,1100,2020-01-07
Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1400,2000,1700,2020-01-07
Bangalore,Doddaballa Pur,Tomato,800,1200,1000,2020-01-07
Bangalore,Doddaballa Pur,Tomato,800,1200,1000,2020-01-08
Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1400,1800,1600,2020-01-08
Bangalore,Kanakapura,Tomato,800,1000,900,2020-01-08
Bangalore,Ramanagara,Tomato,1400,1600,1500,2020-01-08
Bangalore,Channapatana,Tomato,500,1400,1000,2020-01-08
Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1200,1600,1400,2020-01-09
Bangalore,Channapatana,Tomato,500,1400,1100,2020-01-09
Bangalore,Ramanagara,Tomato,1300,1500,1400,2020-01-09
Bangalore,Doddaballa Pur,Tomato,700,1200,950,2020-01-09
Bangalore,Ramanagara,Tomato,1300,1500,1400,2020-01-10
Bangalore,Doddaballa Pur,Tomato,700,1200,1000,2020-01-10
Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1600,2200,2000,2020-01-10
Bangalore,Channapatana,Tomato,500,1400,1200,2020-01-10
Bangalore,Channapatana,Tomato,500,1300,950,2020-01-11
Bangalore,Doddaballa Pur,Tomato,800,1200,1000,2020-01-13
