district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Belgaum,Belgaum,Tomato,2000,3000,2500,2020-08-08
Belgaum,Belgaum,Tomato,2000,3000,2500,2020-08-11
Belgaum,Belgaum,Tomato,2000,3000,2500,2020-08-12
Belgaum,Belgaum,Tomato,2000,3000,2500,2020-08-13
Belgaum,Belgaum,Tomato,2000,3000,2500,2020-08-14
Belgaum,Belgaum,Tomato,2000,3000,2500,2020-08-19
Belgaum,Belgaum,Tomato,2000,3000,2500,2020-08-20
Belgaum,Belgaum,Tomato,2000,3000,2500,2020-08-21
Belgaum,Belgaum,Tomato,2000,3000,2500,2020-08-25
Belgaum,Belgaum,Tomato,2000,3000,2500,2020-08-26
Belgaum,Belgaum,Tomato,2000,3000,2500,2020-08-27
Belgaum,Belgaum,Tomato,2000,3000,2500,2020-08-28
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-08-29
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-09-02
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-09-03
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-09-04
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-09-05
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-09-09
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-09-10
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-09-11
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-09-12
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-09-16
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-09-18
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-09-19
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-09-23
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-09-25
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-09-26
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-09-30
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-10-01
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-10-03
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-10-07
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-10-08
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-10-09
Belgaum,Belgaum,Tomato,2500,3800,3250,2020-10-10
Belgaum,Belgaum,Tomato,3000,3500,3250,2020-10-14
Belgaum,Belgaum,Tomato,3000,3500,3250,2020-10-15
Belgaum,Belgaum,Tomato,3000,3500,3250,2020-10-16
Belgaum,Belgaum,Tomato,3000,3500,3250,2020-10-17
Belgaum,Belgaum,Tomato,3000,3500,3250,2020-10-20
Belgaum,Belgaum,Tomato,3000,3500,3250,2020-10-21
Belgaum,Belgaum,Tomato,3000,3500,3250,2020-10-22
Belgaum,Belgaum,Tomato,3000,3500,3250,2020-10-23
Belgaum,Belgaum,Tomato,3000,3500,3250,2020-10-24
Belgaum,Belgaum,Tomato,3000,3500,3250,2020-10-28
Belgaum,Belgaum,Tomato,3000,3500,3250,2020-10-29
Belgaum,Belgaum,Tomato,3000,3500,3250,2020-11-02
Belgaum,Belgaum,Tomato,3500,4200,4000,2020-11-04
Belgaum,Belgaum,Tomato,3500,4200,4000,2020-11-05
Belgaum,Belgaum,Tomato,3500,4200,4000,2020-11-06
Belgaum,Belgaum,Tomato,3500,4200,4000,2020-11-07
Belgaum,Belgaum,Tomato,3500,4200,4000,2020-11-11
Belgaum,Belgaum,Tomato,3500,4200,4000,2020-11-12
Belgaum,Belgaum,Tomato,3500,4200,4000,2020-11-13
Belgaum,Belgaum,Tomato,3500,4200,4000,2020-11-18
