district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Bellary,Hospet,Tomato,500,600,500,2020-01-01
Bellary,Hospet,Tomato,400,500,400,2020-01-04
Bellary,Hospet,Tomato,400,700,500,2020-01-07
Bellary,Hospet,Tomato,400,600,500,2020-01-14
Bellary,Hospet,Tomato,400,700,500,2020-01-21
Bellary,Hospet,Tomato,500,600,500,2020-01-27
Bellary,Hospet,Tomato,400,600,500,2020-01-31
Bellary,Hospet,Tomato,300,500,400,2020-02-05
Bellary,Hospet,Tomato,400,500,400,2020-02-07
Bellary,Hospet,Tomato,300,500,400,2020-02-16
Bellary,Hospet,Tomato,300,500,400,2020-02-19
Bellary,Hospet,Tomato,250,500,300,2020-02-25
Bellary,Hospet,Tomato,200,400,300,2020-03-04
Bellary,Hospet,Tomato,200,500,400,2020-03-11
Bellary,Hospet,Tomato,200,400,400,2020-03-17
Bellary,Hospet,Tomato,300,450,350,2020-03-23
Bellary,Hospet,Tomato,250,400,300,2020-03-30
Bellary,Hospet,Tomato,400,600,500,2020-04-03
Bellary,Bellary,Tomato,60,100,80,2020-04-04
Bellary,Hospet,Tomato,300,500,400,2020-04-05
Bellary,Bellary,Tomato,500,1000,700,2020-04-05
Bellary,Bellary,Tomato,800,1000,900,2020-04-06
Bellary,Hospet,Tomato,250,300,300,2020-04-06
Bellary,Bellary,Tomato,600,1000,800,2020-04-07
Bellary,Bellary,Tomato,500,600,550,2020-04-08
Bellary,Hospet,Tomato,200,450,400,2020-04-08
Bellary,Bellary,Tomato,500,600,550,2020-04-09
Bellary,Bellary,Tomato,300,400,350,2020-04-10
Bellary,Bellary,Tomato,800,1000,900,2020-04-11
Bellary,Hospet,Tomato,500,1000,500,2020-04-11
Bellary,Bellary,Tomato,600,800,750,2020-04-12
Bellary,Hospet,Tomato,400,600,500,2020-04-13
Bellary,Hospet,Tomato,500,1000,500,2020-04-14
Bellary,Hospet,Tomato,400,600,500,2020-04-15
Bellary,Bellary,Tomato,500,800,789,2020-04-16
Bellary,Bellary,Tomato,500,800,700,2020-04-17
Bellary,Hospet,Tomato,300,500,300,2020-04-17
Bellary,Bellary,Tomato,400,800,600,2020-04-18
Bellary,Hospet,Tomato,300,600,400,2020-04-18
Bellary,Bellary,Tomato,600,800,700,2020-04-19
Bellary,Hospet,Tomato,400,500,400,2020-04-19
Bellary,Bellary,Tomato,400,500,450,2020-04-20
Bellary,Hospet,Tomato,400,600,400,2020-04-21
Bellary,Bellary,Tomato,800,1000,900,2020-04-21
Bellary,Hospet,Tomato,300,500,400,2020-04-22
Bellary,Bellary,Tomato,400,600,500,2020-04-22
Bellary,Bellary,Tomato,800,1000,900,2020-04-23
Bellary,Bellary,Tomato,500,600,550,2020-04-24
Bellary,Hospet,Tomato,400,600,400,2020-04-24
Bellary,Hospet,Tomato,400,400,400,2020-04-25
Bellary,Bellary,Tomato,600,800,700,2020-04-25
Bellary,Bellary,Tomato,1000,1200,1100,2020-04-26
Bellary,Hospet,Tomato,800,1000,900,2020-04-26
Bellary,Hospet,Tomato,850,1000,900,2020-04-27
Bellary,Bellary,Tomato,1000,1200,1100,2020-04-27
Bellary,Bellary,Tomato,800,1000,900,2020-04-28
Bellary,Hospet,Tomato,300,600,400,2020-04-28
Bellary,Hospet,Tomato,300,400,400,2020-04-29
Bellary,Bellary,Tomato,400,600,500,2020-04-29
Bellary,Bellary,Tomato,800,1000,900,2020-04-30
Bellary,Bellary,Tomato,400,600,500,2020-05-01
Bellary,Hospet,Tomato,600,800,700,2020-05-01
Bellary,Bellary,Tomato,400,600,500,2020-05-02
Bellary,Bellary,Tomato,400,500,450,2020-05-03
Bellary,Hospet,Tomato,400,400,400,2020-05-03
Bellary,Bellary,Tomato,500,600,550,2020-05-04
Bellary,Hospet,Tomato,400,400,400,2020-05-04
Bellary,Bellary,Tomato,800,1000,900,2020-05-05
Bellary,Hospet,Tomato,400,400,400,2020-05-05
Bellary,Hospet,Tomato,250,500,250,2020-05-06
Bellary,Bellary,Tomato,1000,1500,1200,2020-05-06
Bellary,Bellary,Tomato,500,800,700,2020-05-07
Bellary,Hospet,Tomato,400,400,400,2020-05-08
Bellary,Bellary,Tomato,800,1000,900,2020-05-08
Bellary,Hospet,Tomato,400,500,400,2020-05-09
Bellary,Bellary,Tomato,600,800,700,2020-05-09
Bellary,Hospet,Tomato,400,400,400,2020-05-10
Bellary,Bellary,Tomato,600,700,650,2020-05-10
Bellary,Hospet,Tomato,400,600,500,2020-05-11
Bellary,Bellary,Tomato,1000,1200,1100,2020-05-11
Bellary,Hospet,Tomato,400,400,400,2020-05-12
Bellary,Bellary,Tomato,800,1000,900,2020-05-12
Bellary,Bellary,Tomato,1000,1500,1200,2020-05-13
Bellary,Hospet,Tomato,450,600,600,2020-05-13
Bellary,Bellary,Tomato,800,1000,900,2020-05-14
Bellary,Bellary,Tomato,500,600,550,2020-05-15
Bellary,Hospet,Tomato,400,700,600,2020-05-15
Bellary,Bellary,Tomato,500,600,550,2020-05-16
Bellary,Bellary,Tomato,600,800,700,2020-05-17
Bellary,Bellary,Tomato,500,700,600,2020-05-18
Bellary,Bellary,Tomato,1000,1100,1050,2020-05-19
Bellary,Bellary,Tomato,800,1000,900,2020-05-20
Bellary,Hospet,Tomato,300,300,300,2020-05-20
Bellary,Bellary,Tomato,500,700,600,2020-05-21
Bellary,Bellary,Tomato,400,500,450,2020-05-22
Bellary,Hospet,Tomato,800,900,800,2020-05-22
Bellary,Bellary,Tomato,800,1000,900,2020-05-23
Bellary,Hospet,Tomato,400,400,400,2020-05-23
