district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Chamrajnagar,Gundlupet,Tomato,1200,1300,1250,2020-01-01
Chamrajnagar,Gundlupet,Tomato,1200,1300,1250,2020-01-02
Chamrajnagar,Gundlupet,Tomato,800,900,850,2020-01-03
Chamrajnagar,Gundlupet,Tomato,800,900,850,2020-01-04
Chamrajnagar,Gundlupet,Tomato,1100,1200,1150,2020-01-06
Chamrajnagar,Gundlupet,Tomato,1200,1300,1250,2020-01-07
Chamrajnagar,Gundlupet,Tomato,1400,1500,1450,2020-01-08
Chamrajnagar,Gundlupet,Tomato,1100,1200,1150,2020-01-09
Chamrajnagar,Gundlupet,Tomato,1000,1100,1050,2020-01-10
Chamrajnagar,Gundlupet,Tomato,1000,1100,1050,2020-01-13
Chamrajnagar,Gundlupet,Tomato,1100,1300,1200,2020-01-14
Chamrajnagar,Gundlupet,Tomato,1200,1300,1250,2020-01-17
Chamrajnagar,Gundlupet,Tomato,1100,1200,1150,2020-01-18
Chamrajnagar,Gundlupet,Tomato,800,900,850,2020-01-21
Chamrajnagar,Gundlupet,Tomato,800,900,850,2020-01-22
Chamrajnagar,Gundlupet,Tomato,800,900,850,2020-01-23
Chamrajnagar,Gundlupet,Tomato,800,900,850,2020-01-24
Chamrajnagar,Gundlupet,Tomato,800,900,850,2020-01-27
Chamrajnagar,Gundlupet,Tomato,700,800,750,2020-01-28
Chamrajnagar,Gundlupet,Tomato,800,900,850,2020-01-29
Chamrajnagar,Gundlupet,Tomato,800,900,850,2020-01-30
Chamrajnagar,Gundlupet,Tomato,700,800,750,2020-01-31
Chamrajnagar,Gundlupet,Tomato,700,800,750,2020-02-03
Chamrajnagar,Gundlupet,Tomato,600,700,650,2020-02-04
Chamrajnagar,Gundlupet,Tomato,500,600,550,2020-02-05
Chamrajnagar,Gundlupet,Tomato,500,600,550,2020-02-06
Chamrajnagar,Gundlupet,Tomato,400,500,450,2020-02-07
Chamrajnagar,Gundlupet,Tomato,400,500,450,2020-02-10
Chamrajnagar,Gundlupet,Tomato,600,700,650,2020-02-11
Chamrajnagar,Gundlupet,Tomato,600,700,650,2020-02-12
Chamrajnagar,Gundlupet,Tomato,500,600,550,2020-02-13
Chamrajnagar,Gundlupet,Tomato,550,600,575,2020-02-14
Chamrajnagar,Gundlupet,Tomato,450,500,475,2020-02-15
Chamrajnagar,Gundlupet,Tomato,400,500,450,2020-02-17
Chamrajnagar,Gundlupet,Tomato,400,500,450,2020-02-18
Chamrajnagar,Gundlupet,Tomato,600,700,650,2020-02-19
Chamrajnagar,Gundlupet,Tomato,650,700,675,2020-02-20
Chamrajnagar,Gundlupet,Tomato,300,500,400,2020-02-24
Chamrajnagar,Gundlupet,Tomato,350,400,375,2020-02-25
Chamrajnagar,Gundlupet,Tomato,300,400,350,2020-02-26
Chamrajnagar,Gundlupet,Tomato,300,400,350,2020-02-27
Chamrajnagar,Gundlupet,Tomato,500,600,550,2020-02-28
Chamrajnagar,Gundlupet,Tomato,500,600,550,2020-02-29
Chamrajnagar,Gundlupet,Tomato,300,400,350,2020-03-02
Chamrajnagar,Gundlupet,Tomato,400,500,450,2020-03-03
Chamrajnagar,Gundlupet,Tomato,450,500,475,2020-03-04
Chamrajnagar,Gundlupet,Tomato,350,400,375,2020-03-05
Chamrajnagar,Gundlupet,Tomato,450,500,475,2020-03-06
Chamrajnagar,Gundlupet,Tomato,300,400,350,2020-03-07
Chamrajnagar,Gundlupet,Tomato,550,600,575,2020-03-09
Chamrajnagar,Gundlupet,Tomato,500,600,550,2020-03-10
Chamrajnagar,Gundlupet,Tomato,600,700,650,2020-03-11
Chamrajnagar,Gundlupet,Tomato,500,600,550,2020-03-12
Chamrajnagar,Gundlupet,Tomato,500,600,550,2020-03-13
Chamrajnagar,Gundlupet,Tomato,450,500,475,2020-03-16
Chamrajnagar,Gundlupet,Tomato,500,600,550,2020-03-17
Chamrajnagar,Gundlupet,Tomato,700,800,750,2020-03-18
Chamrajnagar,Gundlupet,Tomato,650,700,675,2020-03-19
Chamrajnagar,Gundlupet,Tomato,450,500,475,2020-03-21
Chamrajnagar,Chamaraj Nagar,Tomato,200,400,300,2020-04-01
Chamrajnagar,Gundlupet,Tomato,500,600,550,2020-04-02
Chamrajnagar,Gundlupet,Tomato,400,500,450,2020-04-03
Chamrajnagar,Gundlupet,Tomato,500,650,500,2020-04-04
Chamrajnagar,Gundlupet,Tomato,500,500,500,2020-04-07
Chamrajnagar,Chamaraj Nagar,Tomato,200,400,300,2020-04-07
Chamrajnagar,Chamaraj Nagar,Tomato,200,400,200,2020-04-08
Chamrajnagar,Gundlupet,Tomato,400,600,500,2020-04-08
Chamrajnagar,Gundlupet,Tomato,500,600,500,2020-04-09
