district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Chikmagalur,Chikkamagalore,Tomato,882,1429,1104,2020-01-01
Chikmagalur,Kadur,Tomato,600,833,833,2020-01-01
Chikmagalur,Bagepalli,Tomato,650,1250,926,2020-01-01
Chikmagalur,Chikkamagalore,Tomato,882,1176,1033,2020-01-02
Chikmagalur,Kadur,Tomato,434,714,666,2020-01-02
Chikmagalur,Bagepalli,Tomato,580,1120,845,2020-01-02
Chikmagalur,Chikkamagalore,Tomato,1071,2222,1845,2020-01-03
Chikmagalur,Kadur,Tomato,1111,1250,1250,2020-01-03
Chikmagalur,Chikkamagalore,Tomato,1000,2000,1729,2020-01-04
Chikmagalur,Bagepalli,Tomato,550,1080,828,2020-01-04
Chikmagalur,Kadur,Tomato,1250,1250,1250,2020-01-04
Chikmagalur,Chikkamagalore,Tomato,1000,2000,1703,2020-01-06
Chikmagalur,Kadur,Tomato,1000,1250,1153,2020-01-06
Chikmagalur,Kadur,Tomato,833,833,833,2020-01-07
Chikmagalur,Chikkamagalore,Tomato,1167,1765,1392,2020-01-07
Chikmagalur,Bagepalli,Tomato,570,1084,862,2020-01-07
Chikmagalur,Kadur,Tomato,1200,1200,1200,2020-01-08
Chikmagalur,Chikkamagalore,Tomato,2000,2000,2000,2020-01-08
Chikmagalur,Bagepalli,Tomato,540,1105,812,2020-01-08
Chikmagalur,Kadur,Tomato,1111,1190,1111,2020-01-09
Chikmagalur,Bagepalli,Tomato,510,1060,815,2020-01-09
Chikmagalur,Chikkamagalore,Tomato,1667,2000,1967,2020-01-09
Chikmagalur,Chikkamagalore,Tomato,1000,2059,1861,2020-01-10
Chikmagalur,Kadur,Tomato,1000,1000,1000,2020-01-10
Chikmagalur,Bagepalli,Tomato,500,1058,805,2020-01-13
Chikmagalur,Kadur,Tomato,1000,1111,1000,2020-01-13
Chikmagalur,Chikkamagalore,Tomato,1200,1818,1653,2020-01-13
Chikmagalur,Chikkamagalore,Tomato,1429,1500,1463,2020-01-14
Chikmagalur,Bagepalli,Tomato,550,1200,869,2020-01-14
Chikmagalur,Bagepalli,Tomato,480,1080,780,2020-01-16
Chikmagalur,Chikkamagalore,Tomato,1500,2000,1677,2020-01-16
Chikmagalur,Kadur,Tomato,769,1250,1072,2020-01-16
Chikmagalur,Kadur,Tomato,769,1000,1000,2020-01-17
Chikmagalur,Chikkamagalore,Tomato,1667,2000,1818,2020-01-17
Chikmagalur,Bagepalli,Tomato,550,1100,860,2020-01-17
Chikmagalur,Kadur,Tomato,1000,1111,1071,2020-01-18
Chikmagalur,Chikkamagalore,Tomato,2000,2859,2152,2020-01-18
Chikmagalur,Bagepalli,Tomato,520,1080,915,2020-01-18
Chikmagalur,Chikkamagalore,Tomato,1750,2000,1939,2020-01-20
Chikmagalur,Bagepalli,Tomato,500,1150,860,2020-01-20
Chikmagalur,Kadur,Tomato,1034,1111,1034,2020-01-20
Chikmagalur,Kadur,Tomato,1000,1111,1111,2020-01-21
Chikmagalur,Bagepalli,Tomato,520,1026,816,2020-01-21
Chikmagalur,Chikkamagalore,Tomato,1765,2000,1892,2020-01-21
Chikmagalur,Bagepalli,Tomato,480,1056,784,2020-01-22
Chikmagalur,Chikkamagalore,Tomato,1000,2000,1231,2020-01-22
Chikmagalur,Chikkamagalore,Tomato,1000,2000,1667,2020-01-23
Chikmagalur,Bagepalli,Tomato,520,1250,952,2020-01-23
Chikmagalur,Chikkamagalore,Tomato,1250,1875,1614,2020-01-24
Chikmagalur,Bagepalli,Tomato,505,1156,847,2020-01-24
Chikmagalur,Chikkamagalore,Tomato,1500,1800,1600,2020-01-27
Chikmagalur,Kadur,Tomato,1153,1153,1153,2020-01-27
Chikmagalur,Bagepalli,Tomato,500,1080,745,2020-01-27
Chikmagalur,Bagepalli,Tomato,480,1158,835,2020-01-28
Chikmagalur,Chikkamagalore,Tomato,1250,1250,1250,2020-01-28
Chikmagalur,Kadur,Tomato,666,666,666,2020-01-28
Chikmagalur,Bagepalli,Tomato,450,1030,765,2020-01-29
Chikmagalur,Kadur,Tomato,1000,1000,1000,2020-01-29
Chikmagalur,Chikkamagalore,Tomato,1429,1429,1429,2020-01-29
Chikmagalur,Bagepalli,Tomato,465,1020,785,2020-01-30
Chikmagalur,Kadur,Tomato,666,666,666,2020-01-30
Chikmagalur,Chikkamagalore,Tomato,882,2000,1270,2020-01-30
Chikmagalur,Bagepalli,Tomato,450,980,754,2020-01-31
Chikmagalur,Chikkamagalore,Tomato,938,2000,1465,2020-01-31
Chikmagalur,Kadur,Tomato,666,882,833,2020-01-31
Chikmagalur,Kadur,Tomato,714,1000,750,2020-02-01
Chikmagalur,Chikkamagalore,Tomato,938,1600,1241,2020-02-01
Chikmagalur,Bagepalli,Tomato,460,1080,765,2020-02-01
Chikmagalur,Kadur,Tomato,588,1000,882,2020-02-03
Chikmagalur,Chikkamagalore,Tomato,833,1250,1063,2020-02-03
Chikmagalur,Bagepalli,Tomato,450,1060,875,2020-02-03
Chikmagalur,Kadur,Tomato,520,2000,714,2020-02-04
Chikmagalur,Chikkamagalore,Tomato,882,1176,994,2020-02-04
Chikmagalur,Bagepalli,Tomato,500,1100,820,2020-02-04
Chikmagalur,Bagepalli,Tomato,460,1060,800,2020-02-05
Chikmagalur,Kadur,Tomato,600,666,600,2020-02-05
Chikmagalur,Chikkamagalore,Tomato,960,1160,1060,2020-02-05
Chikmagalur,Kadur,Tomato,1000,1000,1000,2020-02-06
Chikmagalur,Bagepalli,Tomato,450,1060,785,2020-02-06
Chikmagalur,Chikkamagalore,Tomato,857,1059,907,2020-02-06
Chikmagalur,Chikkamagalore,Tomato,833,1333,1076,2020-02-07
Chikmagalur,Bagepalli,Tomato,430,950,740,2020-02-07
Chikmagalur,Kadur,Tomato,714,833,810,2020-02-07
Chikmagalur,Chikkamagalore,Tomato,833,1333,1018,2020-02-10
Chikmagalur,Kadur,Tomato,526,789,666,2020-02-10
Chikmagalur,Bagepalli,Tomato,465,1080,795,2020-02-10
Chikmagalur,Chikkamagalore,Tomato,833,1250,990,2020-02-11
Chikmagalur,Bagepalli,Tomato,468,1080,765,2020-02-11
Chikmagalur,Kadur,Tomato,666,833,714,2020-02-11
Chikmagalur,Kadur,Tomato,833,882,833,2020-02-12
Chikmagalur,Bagepalli,Tomato,500,1100,820,2020-02-12
Chikmagalur,Chikkamagalore,Tomato,882,1250,1041,2020-02-12
Chikmagalur,Bagepalli,Tomato,480,1060,812,2020-02-13
Chikmagalur,Chikkamagalore,Tomato,789,1429,1165,2020-02-13
Chikmagalur,Kadur,Tomato,833,862,833,2020-02-13
Chikmagalur,Kadur,Tomato,769,952,809,2020-02-14
Chikmagalur,Chikkamagalore,Tomato,857,1667,1092,2020-02-14
Chikmagalur,Bagepalli,Tomato,490,1060,765,2020-02-14
Chikmagalur,Chikkamagalore,Tomato,833,1250,1017,2020-02-15
Chikmagalur,Kadur,Tomato,789,816,789,2020-02-15
Chikmagalur,Bagepalli,Tomato,500,1100,829,2020-02-15
Chikmagalur,Bagepalli,Tomato,430,1080,790,2020-02-17
