district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Davangere,Davangere,Tomato,400,640,520,2020-01-01
Davangere,Davangere,Tomato,400,600,500,2020-01-02
Davangere,Davangere,Tomato,400,720,560,2020-01-03
Davangere,Davangere,Tomato,480,720,600,2020-01-04
Davangere,Davangere,Tomato,600,880,740,2020-01-07
Davangere,Davangere,Tomato,400,760,580,2020-01-08
Davangere,Davangere,Tomato,400,880,640,2020-01-09
Davangere,Davangere,Tomato,600,800,700,2020-01-10
Davangere,Davangere,Tomato,400,600,500,2020-01-14
Davangere,Davangere,Tomato,400,600,500,2020-01-16
Davangere,Davangere,Tomato,400,650,550,2020-01-17
Davangere,Davangere,Tomato,400,720,560,2020-01-18
Davangere,Davangere,Tomato,320,560,440,2020-01-21
Davangere,Davangere,Tomato,320,560,440,2020-01-22
Davangere,Davangere,Tomato,320,640,480,2020-01-23
Davangere,Davangere,Tomato,300,600,450,2020-01-24
Davangere,Davangere,Tomato,800,1400,1000,2020-01-28
Davangere,Davangere,Tomato,800,1400,1200,2020-01-29
Davangere,Davangere,Tomato,800,1200,1000,2020-01-30
Davangere,Davangere,Tomato,800,1200,1000,2020-01-31
Davangere,Davangere,Tomato,800,1600,1200,2020-02-01
Davangere,Davangere,Tomato,800,1000,900,2020-02-04
Davangere,Davangere,Tomato,320,400,360,2020-02-05
Davangere,Davangere,Tomato,200,320,260,2020-02-06
Davangere,Davangere,Tomato,160,320,240,2020-02-07
Davangere,Davangere,Tomato,160,320,240,2020-02-11
Davangere,Davangere,Tomato,160,320,240,2020-02-12
Davangere,Davangere,Tomato,160,320,240,2020-02-13
Davangere,Davangere,Tomato,160,320,240,2020-02-15
Davangere,Davangere,Tomato,240,400,320,2020-02-18
Davangere,Davangere,Tomato,320,400,360,2020-02-19
Davangere,Davangere,Tomato,320,400,360,2020-02-20
Davangere,Davangere,Tomato,320,400,360,2020-02-25
Davangere,Davangere,Tomato,320,400,360,2020-02-26
Davangere,Davangere,Tomato,240,320,280,2020-02-27
Davangere,Davangere,Tomato,240,320,280,2020-02-28
Davangere,Davangere,Tomato,240,320,280,2020-02-29
Davangere,Honnali,Tomato,1200,1500,1350,2020-03-04
Davangere,Davangere,Tomato,280,400,340,2020-03-06
Davangere,Davangere,Tomato,240,320,280,2020-03-07
Davangere,Davangere,Tomato,240,320,280,2020-03-10
Davangere,Davangere,Tomato,320,400,360,2020-03-11
Davangere,Davangere,Tomato,320,480,400,2020-03-12
Davangere,Davangere,Tomato,320,480,400,2020-03-13
Davangere,Davangere,Tomato,320,400,360,2020-03-17
Davangere,Davangere,Tomato,320,400,360,2020-03-18
Davangere,Davangere,Tomato,320,400,360,2020-03-19
Davangere,Davangere,Tomato,230,400,360,2020-03-20
Davangere,Davangere,Tomato,320,400,360,2020-03-21
Davangere,Davangere,Tomato,320,480,400,2020-03-24
Davangere,Davangere,Tomato,280,320,300,2020-03-26
Davangere,Davangere,Tomato,320,480,400,2020-03-27
Davangere,Davangere,Tomato,280,400,350,2020-03-28
Davangere,Davangere,Tomato,320,480,400,2020-03-30
Davangere,Davangere,Tomato,400,800,600,2020-03-31
Davangere,Honnali,Tomato,800,1300,1050,2020-04-01
Davangere,Davangere,Tomato,320,480,400,2020-04-01
Davangere,Davangere,Tomato,800,1000,900,2020-04-02
Davangere,Honnali,Tomato,800,1200,950,2020-04-02
Davangere,Honnali,Tomato,800,1000,920,2020-04-03
Davangere,Davangere,Tomato,600,800,700,2020-04-03
Davangere,Davangere,Tomato,400,600,500,2020-04-04
