district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Dharwad,Dharwar,Tomato,1000,1000,1000,2020-04-02
Dharwad,Dharwar,Tomato,300,450,375,2020-04-04
Dharwad,Hubli (Amaragol),Tomato,300,400,300,2020-04-04
Dharwad,Dharwar,Tomato,800,1000,900,2020-04-05
Dharwad,Dharwar,Tomato,1000,1500,1250,2020-04-06
Dharwad,Dharwar,Tomato,1500,2000,1750,2020-04-07
Dharwad,Hubli (Amaragol),Tomato,100,400,300,2020-04-07
Dharwad,Dharwar,Tomato,1000,1500,1250,2020-04-08
Dharwad,Hubli (Amaragol),Tomato,100,500,400,2020-04-08
Dharwad,Hubli (Amaragol),Tomato,300,600,400,2020-04-09
Dharwad,Dharwar,Tomato,500,800,650,2020-04-11
Dharwad,Hubli (Amaragol),Tomato,250,550,450,2020-04-11
Dharwad,Dharwar,Tomato,600,700,650,2020-04-12
Dharwad,Dharwar,Tomato,800,900,850,2020-04-13
Dharwad,Hubli (Amaragol),Tomato,200,600,500,2020-04-14
Dharwad,Dharwar,Tomato,600,700,650,2020-04-14
Dharwad,Hubli (Amaragol),Tomato,300,700,500,2020-04-15
Dharwad,Dharwar,Tomato,600,700,650,2020-04-15
Dharwad,Dharwar,Tomato,800,1200,1000,2020-04-16
Dharwad,Hubli (Amaragol),Tomato,300,700,500,2020-04-16
Dharwad,Hubli (Amaragol),Tomato,300,800,500,2020-04-17
Dharwad,Dharwar,Tomato,700,800,750,2020-04-18
Dharwad,Hubli (Amaragol),Tomato,300,700,400,2020-04-18
Dharwad,Dharwar,Tomato,800,900,850,2020-04-19
Dharwad,Hubli (Amaragol),Tomato,400,800,700,2020-04-19
Dharwad,Dharwar,Tomato,600,800,700,2020-04-20
Dharwad,Dharwar,Tomato,500,600,550,2020-04-21
Dharwad,Hubli (Amaragol),Tomato,300,800,700,2020-04-22
Dharwad,Dharwar,Tomato,1000,1500,1250,2020-04-22
Dharwad,Dharwar,Tomato,600,800,700,2020-04-23
Dharwad,Hubli (Amaragol),Tomato,300,700,500,2020-04-23
Dharwad,Hubli (Amaragol),Tomato,350,800,550,2020-04-24
Dharwad,Hubli (Amaragol),Tomato,300,700,500,2020-04-25
Dharwad,Dharwar,Tomato,500,700,600,2020-04-25
Dharwad,Hubli (Amaragol),Tomato,350,700,500,2020-04-26
Dharwad,Dharwar,Tomato,600,800,700,2020-04-26
Dharwad,Dharwar,Tomato,600,800,700,2020-04-27
Dharwad,Hubli (Amaragol),Tomato,300,700,500,2020-04-28
Dharwad,Dharwar,Tomato,500,600,550,2020-04-28
Dharwad,Hubli (Amaragol),Tomato,350,800,600,2020-04-29
Dharwad,Dharwar,Tomato,500,600,550,2020-04-29
Dharwad,Dharwar,Tomato,600,800,700,2020-04-30
Dharwad,Hubli (Amaragol),Tomato,400,850,500,2020-04-30
Dharwad,Hubli (Amaragol),Tomato,300,800,500,2020-05-01
Dharwad,Hubli (Amaragol),Tomato,400,850,650,2020-05-02
Dharwad,Dharwar,Tomato,500,600,550,2020-05-02
Dharwad,Dharwar,Tomato,500,600,550,2020-05-03
Dharwad,Dharwar,Tomato,500,600,550,2020-05-04
Dharwad,Dharwar,Tomato,500,600,550,2020-05-05
Dharwad,Hubli (Amaragol),Tomato,350,900,600,2020-05-05
Dharwad,Dharwar,Tomato,600,800,700,2020-05-06
Dharwad,Hubli (Amaragol),Tomato,300,700,500,2020-05-06
Dharwad,Dharwar,Tomato,800,1000,900,2020-05-07
Dharwad,Hubli (Amaragol),Tomato,350,700,500,2020-05-07
Dharwad,Hubli (Amaragol),Tomato,300,700,500,2020-05-08
Dharwad,Hubli (Amaragol),Tomato,350,750,500,2020-05-09
Dharwad,Dharwar,Tomato,1000,1200,1100,2020-05-09
Dharwad,Dharwar,Tomato,1800,2000,1900,2020-05-10
Dharwad,Dharwar,Tomato,800,1000,900,2020-05-11
Dharwad,Hubli (Amaragol),Tomato,350,700,500,2020-05-12
Dharwad,Dharwar,Tomato,1100,1500,1300,2020-05-12
Dharwad,Hubli (Amaragol),Tomato,300,700,500,2020-05-13
Dharwad,Dharwar,Tomato,600,800,700,2020-05-13
