district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Hassan,Channarayapatna,Tomato,1051,1051,1051,2020-01-01
Hassan,Hassan,Tomato,775,2000,1100,2020-01-01
Hassan,Arasikere,Tomato,1000,1000,1000,2020-01-01
Hassan,Channarayapatna,Tomato,1000,1000,1000,2020-01-02
Hassan,Channarayapatna,Tomato,1000,1000,1000,2020-01-03
Hassan,Channarayapatna,Tomato,1000,1000,1000,2020-01-05
Hassan,Channarayapatna,Tomato,700,1000,700,2020-01-06
Hassan,Hassan,Tomato,875,1740,1100,2020-01-08
Hassan,Arasikere,Tomato,1000,1000,1000,2020-01-09
Hassan,Channarayapatna,Tomato,300,300,300,2020-01-09
Hassan,Channarayapatna,Tomato,2727,2727,2727,2020-01-10
Hassan,Arasikere,Tomato,1000,1000,1000,2020-01-13
Hassan,Channarayapatna,Tomato,1000,1000,1000,2020-01-13
Hassan,Hassan,Tomato,902,1661,1000,2020-01-16
Hassan,Channarayapatna,Tomato,1000,1000,1000,2020-01-17
Hassan,Channarayapatna,Tomato,1000,1000,1000,2020-01-18
Hassan,Arasikere,Tomato,1000,1000,1000,2020-01-21
Hassan,Hassan,Tomato,725,1538,1357,2020-01-22
Hassan,Channarayapatna,Tomato,1000,1000,1000,2020-01-22
Hassan,Channarayapatna,Tomato,1000,1000,1000,2020-01-24
Hassan,Channarayapatna,Tomato,500,500,500,2020-01-29
Hassan,Hassan,Tomato,675,2000,1295,2020-01-29
Hassan,Arasikere,Tomato,1000,1000,1000,2020-01-30
Hassan,Hassan,Tomato,1444,1444,1444,2020-01-31
Hassan,Channarayapatna,Tomato,1000,1000,1000,2020-01-31
Hassan,Hassan,Tomato,1000,1000,1000,2020-02-04
Hassan,Hassan,Tomato,750,1000,1000,2020-02-05
Hassan,Belur,Tomato,1000,1000,1000,2020-02-05
Hassan,Channarayapatna,Tomato,1000,1000,1000,2020-02-07
Hassan,Hassan,Tomato,1000,1000,1000,2020-02-11
Hassan,Hassan,Tomato,768,1333,1000,2020-02-12
Hassan,Channarayapatna,Tomato,2000,2000,2000,2020-02-13
Hassan,Channarayapatna,Tomato,1000,1000,1000,2020-02-14
Hassan,Belur,Tomato,1000,1200,1000,2020-02-15
Hassan,Hassan,Tomato,625,1130,1000,2020-02-19
Hassan,Channarayapatna,Tomato,500,500,500,2020-02-23
Hassan,Arasikere,Tomato,800,1500,800,2020-02-24
Hassan,Hassan,Tomato,1107,1107,1107,2020-02-24
Hassan,Hassan,Tomato,1000,1000,1000,2020-02-25
Hassan,Hassan,Tomato,725,1000,837,2020-02-26
Hassan,Channarayapatna,Tomato,1000,1000,1000,2020-02-26
Hassan,Hassan,Tomato,552,552,552,2020-02-27
Hassan,Hassan,Tomato,1000,1000,1000,2020-03-03
Hassan,Hassan,Tomato,520,1420,1000,2020-03-04
Hassan,Channarayapatna,Tomato,500,500,500,2020-03-07
Hassan,Hassan,Tomato,921,1000,1000,2020-03-10
Hassan,Hassan,Tomato,342,1333,1000,2020-03-11
Hassan,Channarayapatna,Tomato,700,700,700,2020-03-11
Hassan,Belur,Tomato,1000,1000,1000,2020-03-11
Hassan,Belur,Tomato,500,500,500,2020-03-12
Hassan,Channarayapatna,Tomato,1000,1000,1000,2020-03-14
Hassan,Channarayapatna,Tomato,1000,1000,1000,2020-03-16
Hassan,Hassan,Tomato,329,1000,675,2020-03-18
Hassan,Hassan,Tomato,1000,1000,1000,2020-03-19
Hassan,Hassan,Tomato,1666,2000,2000,2020-03-24
Hassan,Belur,Tomato,2000,2000,2000,2020-03-25
Hassan,Hassan,Tomato,900,1000,1000,2020-03-26
Hassan,Hassan,Tomato,1500,1500,1500,2020-03-27
Hassan,Channarayapatna,Tomato,400,1000,500,2020-03-27
Hassan,Belur,Tomato,1000,1000,1000,2020-03-28
Hassan,Channarayapatna,Tomato,500,700,500,2020-03-28
Hassan,Belur,Tomato,1000,1000,1000,2020-03-29
Hassan,Channarayapatna,Tomato,700,1000,1000,2020-03-29
Hassan,Channarayapatna,Tomato,700,1000,1000,2020-03-30
Hassan,Channarayapatna,Tomato,1000,1000,1000,2020-03-31
Hassan,Belur,Tomato,1000,1200,1000,2020-04-01
Hassan,Channarayapatna,Tomato,500,1000,1000,2020-04-01
Hassan,Hassan,Tomato,800,1000,1000,2020-04-01
Hassan,Channarayapatna,Tomato,1000,1000,1000,2020-04-02
Hassan,Channarayapatna,Tomato,1000,1000,1000,2020-04-03
Hassan,Hassan,Tomato,300,600,533,2020-04-04
Hassan,Channarayapatna,Tomato,1000,1000,1000,2020-04-04
Hassan,Channarayapatna,Tomato,800,3000,1000,2020-04-05
Hassan,Hassan,Tomato,400,600,450,2020-04-07
Hassan,Arasikere,Tomato,750,750,750,2020-04-07
Hassan,Hassan,Tomato,320,462,400,2020-04-08
