district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Haveri,Ranebennur,Tomato,200,300,250,2020-04-01
Haveri,Haveri,Tomato,600,1050,900,2020-04-01
Haveri,Ranebennur,Tomato,200,300,250,2020-04-02
Haveri,Haveri,Tomato,650,1200,900,2020-04-02
Haveri,Ranebennur,Tomato,200,400,300,2020-04-03
Haveri,Haveri,Tomato,700,1200,1000,2020-04-03
Haveri,Ranebennur,Tomato,180,350,310,2020-04-04
Haveri,Haveri,Tomato,600,900,800,2020-04-04
Haveri,Ranebennur,Tomato,200,500,320,2020-04-05
Haveri,Ranebennur,Tomato,300,400,350,2020-04-06
Haveri,Haveri,Tomato,500,900,700,2020-04-06
Haveri,Ranebennur,Tomato,250,450,300,2020-04-07
Haveri,Haveri,Tomato,500,900,700,2020-04-07
Haveri,Haveri,Tomato,500,1000,800,2020-04-08
Haveri,Ranebennur,Tomato,350,500,450,2020-04-08
Haveri,Haveri,Tomato,500,1000,800,2020-04-09
Haveri,Ranebennur,Tomato,300,450,350,2020-04-09
Haveri,Haveri,Tomato,500,900,700,2020-04-10
Haveri,Ranebennur,Tomato,250,400,300,2020-04-10
Haveri,Haveri,Tomato,500,800,600,2020-04-11
Haveri,Ranebennur,Tomato,200,450,350,2020-04-11
Haveri,Ranebennur,Tomato,250,400,320,2020-04-12
Haveri,Ranebennur,Tomato,250,400,320,2020-04-13
Haveri,Haveri,Tomato,1000,1800,1500,2020-04-13
Haveri,Ranebennur,Tomato,350,500,450,2020-04-14
Haveri,Haveri,Tomato,800,1200,1000,2020-04-14
Haveri,Haveri,Tomato,800,1200,1000,2020-04-15
Haveri,Ranebennur,Tomato,350,500,450,2020-04-15
Haveri,Ranebennur,Tomato,350,500,430,2020-04-16
Haveri,Haveri,Tomato,900,1200,950,2020-04-16
Haveri,Haveri,Tomato,900,1200,950,2020-04-17
Haveri,Ranebennur,Tomato,260,550,450,2020-04-17
Haveri,Ranebennur,Tomato,230,500,380,2020-04-18
Haveri,Haveri,Tomato,800,1000,900,2020-04-18
Haveri,Ranebennur,Tomato,300,600,500,2020-04-19
Haveri,Ranebennur,Tomato,350,550,500,2020-04-20
Haveri,Haveri,Tomato,800,1200,1000,2020-04-20
Haveri,Haveri,Tomato,800,1200,1000,2020-04-21
Haveri,Ranebennur,Tomato,300,550,500,2020-04-21
Haveri,Ranebennur,Tomato,300,580,500,2020-04-22
Haveri,Haveri,Tomato,800,1000,900,2020-04-22
Haveri,Haveri,Tomato,1000,1400,1000,2020-04-23
Haveri,Ranebennur,Tomato,320,600,510,2020-04-23
Haveri,Haveri,Tomato,1500,2000,1800,2020-04-24
Haveri,Haveri,Tomato,900,1500,1200,2020-04-25
Haveri,Ranebennur,Tomato,300,590,560,2020-04-25
Haveri,Ranebennur,Tomato,300,590,560,2020-04-26
Haveri,Haveri,Tomato,1200,1500,1300,2020-04-27
Haveri,Ranebennur,Tomato,310,600,570,2020-04-27
Haveri,Ranebennur,Tomato,320,575,550,2020-04-28
Haveri,Haveri,Tomato,1200,1600,1400,2020-04-28
Haveri,Haveri,Tomato,1200,1500,1300,2020-04-29
Haveri,Ranebennur,Tomato,400,550,500,2020-04-29
Haveri,Ranebennur,Tomato,350,550,500,2020-04-30
Haveri,Haveri,Tomato,1600,2000,1800,2020-04-30
Haveri,Haveri,Tomato,1200,1600,1400,2020-05-01
Haveri,Haveri,Tomato,1200,1500,1400,2020-05-02
