district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Kalburgi,Kalburgi,Tomato,150,220,200,2021-08-03
Kalburgi,Kalburgi,Tomato,220,280,250,2021-08-04
Kalburgi,Kalburgi,Tomato,220,300,250,2021-08-05
Kalburgi,Kalburgi,Tomato,200,280,250,2021-08-06
Kalburgi,Kalburgi,Tomato,150,250,225,2021-08-10
Kalburgi,Kalburgi,Tomato,200,300,250,2021-08-11
Kalburgi,Kalburgi,Tomato,150,250,200,2021-08-12
Kalburgi,Kalburgi,Tomato,120,230,125,2021-08-14
Kalburgi,Kalburgi,Tomato,120,250,200,2021-08-16
Kalburgi,Kalburgi,Tomato,100,170,150,2021-08-17
Kalburgi,Kalburgi,Tomato,80,170,130,2021-08-18
Kalburgi,Kalburgi,Tomato,120,150,130,2021-09-09
Kalburgi,Kalburgi,Tomato,80,120,110,2021-09-13
Kalburgi,Kalburgi,Tomato,80,120,110,2021-09-14
Kalburgi,Kalburgi,Tomato,100,140,120,2021-09-16
Kalburgi,Kalburgi,Tomato,120,160,140,2021-09-18
Kalburgi,Kalburgi,Tomato,120,150,130,2021-09-21
Kalburgi,Kalburgi,Tomato,120,160,130,2021-09-23
Kalburgi,Kalburgi,Tomato,200,320,280,2021-09-28
Kalburgi,Kalburgi,Tomato,240,320,280,2021-10-01
Kalburgi,Kalburgi,Tomato,200,350,275,2021-10-04
Kalburgi,Kalburgi,Tomato,250,450,400,2021-10-05
Kalburgi,Kalburgi,Tomato,400,550,500,2021-10-06
Kalburgi,Kalburgi,Tomato,500,700,600,2021-10-11
Kalburgi,Kalburgi,Tomato,500,750,650,2021-10-12
Kalburgi,Kalburgi,Tomato,500,800,650,2021-10-13
Kalburgi,Kalburgi,Tomato,400,700,550,2021-10-18
Kalburgi,Kalburgi,Tomato,600,700,650,2021-10-21
Kalburgi,Kalburgi,Tomato,1000,1200,1150,2021-11-17
Kalburgi,Kalburgi,Tomato,800,1000,900,2021-11-19
Kalburgi,Kalburgi,Tomato,1000,1200,1100,2021-11-20
Kalburgi,Kalburgi,Tomato,1000,1200,1100,2021-11-23
Kalburgi,Kalburgi,Tomato,1000,1200,1100,2021-11-24
Kalburgi,Kalburgi,Tomato,1000,1200,1100,2021-11-25
Kalburgi,Kalburgi,Tomato,800,1000,900,2021-11-26
Kalburgi,Kalburgi,Tomato,800,1000,900,2021-11-29
Kalburgi,Kalburgi,Tomato,800,900,850,2021-11-30
Kalburgi,Kalburgi,Tomato,800,900,850,2021-12-01
Kalburgi,Kalburgi,Tomato,800,1000,900,2021-12-02
Kalburgi,Kalburgi,Tomato,800,1100,1000,2021-12-04
Kalburgi,Kalburgi,Tomato,1000,1200,1050,2021-12-06
Kalburgi,Kalburgi,Tomato,800,1100,1000,2021-12-07
Kalburgi,Kalburgi,Tomato,800,1100,950,2021-12-08
Kalburgi,Kalburgi,Tomato,800,1000,900,2021-12-09
Kalburgi,Kalburgi,Tomato,850,1000,900,2021-12-10
Kalburgi,Kalburgi,Tomato,700,900,800,2021-12-11
Kalburgi,Kalburgi,Tomato,600,800,700,2021-12-13
Kalburgi,Kalburgi,Tomato,600,700,650,2021-12-14
Kalburgi,Kalburgi,Tomato,600,700,650,2021-12-15
Kalburgi,Kalburgi,Tomato,600,800,700,2021-12-16
Kalburgi,Kalburgi,Tomato,700,900,800,2021-12-21
Kalburgi,Kalburgi,Tomato,600,750,620,2021-12-22
Kalburgi,Kalburgi,Tomato,800,900,850,2021-12-23
