district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Kolar,Bangarpet,Tomato,250,950,650,2020-01-01
Kolar,Malur,Tomato,700,1200,1000,2020-01-01
Kolar,Chintamani,Tomato,400,1133,733,2020-01-01
Kolar,Srinivasapur,Tomato,400,1667,800,2020-01-01
Kolar,Chickkaballapura,Tomato,400,2150,1470,2020-01-01
Kolar,Mulabagilu,Tomato,335,1335,665,2020-01-01
Kolar,Kolar,Tomato,333,1467,733,2020-01-01
Kolar,Srinivasapur,Tomato,200,1333,667,2020-01-02
Kolar,Bangarpet,Tomato,250,1350,750,2020-01-02
Kolar,Malur,Tomato,800,1400,1000,2020-01-02
Kolar,Kolar,Tomato,333,1733,986,2020-01-02
Kolar,Chintamani,Tomato,533,1200,866,2020-01-02
Kolar,Gowribidanoor,Tomato,500,600,550,2020-01-02
Kolar,Mulabagilu,Tomato,335,1335,665,2020-01-02
Kolar,Bangarpet,Tomato,250,1350,750,2020-01-03
Kolar,Malur,Tomato,700,1200,1000,2020-01-03
Kolar,Chickkaballapura,Tomato,400,2300,1550,2020-01-03
Kolar,Chintamani,Tomato,466,1200,800,2020-01-03
Kolar,Kolar,Tomato,400,2000,1047,2020-01-03
Kolar,Srinivasapur,Tomato,333,1800,800,2020-01-03
Kolar,Mulabagilu,Tomato,335,1800,1000,2020-01-03
Kolar,Bangarpet,Tomato,300,1100,800,2020-01-04
Kolar,Chickkaballapura,Tomato,400,2420,1600,2020-01-04
Kolar,Chintamani,Tomato,400,1466,933,2020-01-04
Kolar,Srinivasapur,Tomato,267,1867,667,2020-01-04
Kolar,Mulabagilu,Tomato,335,1665,665,2020-01-04
Kolar,Malur,Tomato,1300,1700,1583,2020-01-04
Kolar,Kolar,Tomato,333,2000,1033,2020-01-04
Kolar,Mulabagilu,Tomato,400,1665,665,2020-01-05
Kolar,Chickkaballapura,Tomato,400,2150,1470,2020-01-05
Kolar,Kolar,Tomato,333,2000,1033,2020-01-05
Kolar,Srinivasapur,Tomato,333,2067,867,2020-01-05
Kolar,Chintamani,Tomato,400,1466,933,2020-01-05
Kolar,Srinivasapur,Tomato,200,1867,667,2020-01-06
Kolar,Chintamani,Tomato,400,1666,1000,2020-01-06
Kolar,Chickkaballapura,Tomato,400,2310,1350,2020-01-06
Kolar,Kolar,Tomato,400,2000,1046,2020-01-06
Kolar,Malur,Tomato,800,1200,1000,2020-01-06
Kolar,Mulabagilu,Tomato,335,1665,665,2020-01-06
Kolar,Mulabagilu,Tomato,335,2000,1000,2020-01-07
Kolar,Srinivasapur,Tomato,267,1333,667,2020-01-07
Kolar,Chintamani,Tomato,333,1200,733,2020-01-07
Kolar,Kolar,Tomato,333,2000,1153,2020-01-07
Kolar,Chickkaballapura,Tomato,400,2460,1430,2020-01-07
Kolar,Malur,Tomato,800,1300,1000,2020-01-07
