district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Koppal,Koppal,Tomato,1600,6400,4000,2023-07-20
Koppal,Koppal,Tomato,1200,2000,1600,2023-07-21
Koppal,Koppal,Tomato,5600,7200,6400,2023-07-24
Koppal,Koppal,Tomato,6000,8400,7200,2023-07-25
Koppal,Koppal,Tomato,5000,6400,5700,2023-07-27
Koppal,Koppal,Tomato,6000,8000,7000,2023-07-28
Koppal,Koppal,Tomato,4000,7200,5600,2023-07-31
Koppal,Koppal,Tomato,3000,7100,5050,2023-08-01
Koppal,Koppal,Tomato,6000,8000,7000,2023-08-03
Koppal,Koppal,Tomato,5000,7000,6000,2023-08-04
Koppal,Koppal,Tomato,5000,7000,6000,2023-08-07
Koppal,Koppal,Tomato,5000,7000,6000,2023-08-08
Koppal,Koppal,Tomato,6400,9600,8000,2023-08-10
Koppal,Koppal,Tomato,6300,9700,8000,2023-08-11
Koppal,Koppal,Tomato,5000,6000,5500,2023-08-14
Koppal,Koppal,Tomato,1600,1800,1700,2023-08-17
Koppal,Koppal,Tomato,1600,1800,1700,2023-08-18
Koppal,Koppal,Tomato,1200,1500,1350,2023-08-21
Koppal,Koppal,Tomato,1200,1400,1300,2023-08-22
Koppal,Koppal,Tomato,1000,2000,1500,2023-08-28
Koppal,Koppal,Tomato,1000,1200,1100,2023-08-29
Koppal,Koppal,Tomato,1000,1200,1100,2023-08-31
Koppal,Koppal,Tomato,1000,1200,1100,2023-09-01
Koppal,Koppal,Tomato,1000,1500,1250,2023-09-08
Koppal,Koppal,Tomato,400,600,500,2023-09-11
Koppal,Koppal,Tomato,400,600,500,2023-09-12
Koppal,Koppal,Tomato,300,500,400,2023-09-14
Koppal,Koppal,Tomato,400,600,500,2023-09-15
Koppal,Koppal,Tomato,200,400,300,2023-10-26
Koppal,Koppal,Tomato,1200,1400,1300,2023-11-02
Koppal,Koppal,Tomato,1200,2000,1600,2023-11-16
Koppal,Koppal,Tomato,1200,1400,1300,2024-01-01
Koppal,Koppal,Tomato,1000,1200,1100,2024-01-05
