district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Mandya,K.R. Pet,Tomato,320,320,320,2020-01-31
Mandya,K.R. Pet,Tomato,320,320,320,2020-02-07
Mandya,K.R. Pet,Tomato,400,400,400,2020-02-08
Mandya,K.R. Pet,Tomato,200,200,200,2020-02-11
Mandya,K.R. Pet,Tomato,320,320,320,2020-02-14
Mandya,K.R. Pet,Tomato,320,320,320,2020-02-18
Mandya,K.R. Pet,Tomato,300,300,300,2020-02-25
Mandya,K.R. Pet,Tomato,150,150,150,2020-03-03
Mandya,K.R. Pet,Tomato,150,150,150,2020-03-06
Mandya,K.R. Pet,Tomato,400,500,500,2020-03-10
Mandya,K.R. Pet,Tomato,300,300,300,2020-03-13
Mandya,K.R. Pet,Tomato,300,300,300,2020-03-17
Mandya,K.R. Pet,Tomato,150,150,150,2020-03-20
Mandya,Nagamangala,Tomato,667,1000,667,2020-03-30
Mandya,Nagamangala,Tomato,667,667,667,2020-03-31
Mandya,K.R. Pet,Tomato,200,200,200,2020-03-31
Mandya,Nagamangala,Tomato,1000,1000,1000,2020-04-01
Mandya,Nagamangala,Tomato,660,660,660,2020-04-02
Mandya,Nagamangala,Tomato,500,500,500,2020-04-04
Mandya,K.R. Pet,Tomato,175,175,175,2020-04-09
Mandya,K.R. Pet,Tomato,200,200,200,2020-04-11
Mandya,K.R. Pet,Tomato,600,600,600,2020-04-15
Mandya,K.R. Pet,Tomato,600,600,600,2020-04-16
Mandya,K.R. Pet,Tomato,600,600,600,2020-04-17
Mandya,K.R. Pet,Tomato,600,600,600,2020-04-24
Mandya,K.R. Pet,Tomato,400,400,400,2020-04-25
Mandya,K.R. Pet,Tomato,600,600,600,2020-05-01
Mandya,K.R. Pet,Tomato,533,533,533,2020-05-03
Mandya,K.R. Pet,Tomato,600,600,600,2020-05-05
Mandya,K.R. Pet,Tomato,600,600,600,2020-06-09
Mandya,K.R. Pet,Tomato,600,600,600,2020-06-12
Mandya,K.R. Pet,Tomato,600,600,600,2020-06-19
Mandya,K.R. Pet,Tomato,533,600,533,2020-06-23
Mandya,K.R. Pet,Tomato,600,600,600,2020-06-26
Mandya,K.R. Pet,Tomato,600,600,600,2020-06-30
Mandya,K.R. Pet,Tomato,600,600,600,2020-07-03
Mandya,K.R. Pet,Tomato,600,600,600,2020-07-10
Mandya,K.R. Pet,Tomato,400,600,400,2020-07-15
Mandya,K.R. Pet,Tomato,1200,1200,1200,2020-07-17
Mandya,K.R. Pet,Tomato,1000,1000,1000,2020-07-24
Mandya,K.R. Pet,Tomato,1000,1000,1000,2020-08-07
Mandya,K.R. Pet,Tomato,1000,1000,1000,2020-08-11
Mandya,K.R. Pet,Tomato,1700,1700,1700,2020-08-18
Mandya,K.R. Pet,Tomato,1000,1000,1000,2020-08-21
Mandya,K.R. Pet,Tomato,1500,1500,1500,2020-09-01
Mandya,K.R. Pet,Tomato,1000,1000,1000,2020-09-08
Mandya,K.R. Pet,Tomato,1500,1500,1500,2020-09-15
Mandya,K.R. Pet,Tomato,1500,1500,1500,2020-09-18
Mandya,K.R. Pet,Tomato,1500,1500,1500,2020-09-25
Mandya,K.R. Pet,Tomato,2200,2200,2200,2020-09-29
Mandya,K.R. Pet,Tomato,1500,1500,1500,2020-10-09
Mandya,K.R. Pet,Tomato,1500,1500,1500,2020-10-13
Mandya,K.R. Pet,Tomato,1500,1500,1500,2020-10-16
Mandya,K.R. Pet,Tomato,1500,1500,1500,2020-10-20
Mandya,K.R. Pet,Tomato,1500,1500,1500,2020-11-06
Mandya,K.R. Pet,Tomato,2000,2000,2000,2020-11-10
Mandya,K.R. Pet,Tomato,1500,1500,1500,2020-11-24
Mandya,K.R. Pet,Tomato,1000,1000,1000,2020-11-27
Mandya,K.R. Pet,Tomato,700,700,700,2020-12-22
Mandya,K.R. Pet,Tomato,600,600,600,2020-12-29
Mandya,K.R. Pet,Tomato,600,600,600,2021-01-01
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-02-05
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-02-09
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-02-12
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-02-16
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-02-19
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-02-23
Mandya,K.R. Pet,Tomato,1500,1500,1500,2021-02-26
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-03-02
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-03-04
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-03-05
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-03-08
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-03-09
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-03-12
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-03-16
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-03-18
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-03-19
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-03-23
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-03-24
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-03-26
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-03-30
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-04-16
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-04-20
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-04-27
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-04-30
Mandya,K.R. Pet,Tomato,100,100,100,2021-05-04
Mandya,K.R. Pet,Tomato,500,500,500,2021-05-07
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-05-18
Mandya,K.R. Pet,Tomato,500,1000,500,2021-05-21
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-05-25
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-05-28
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-06-08
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-06-11
Mandya,K.R. Pet,Tomato,500,500,500,2021-06-14
Mandya,K.R. Pet,Tomato,500,1000,500,2021-06-15
Mandya,K.R. Pet,Tomato,500,500,500,2021-06-17
Mandya,K.R. Pet,Tomato,500,500,500,2021-06-18
Mandya,K.R. Pet,Tomato,500,500,500,2021-06-21
Mandya,K.R. Pet,Tomato,500,500,500,2021-06-24
Mandya,K.R. Pet,Tomato,500,500,500,2021-06-25
Mandya,K.R. Pet,Tomato,500,500,500,2021-06-28
Mandya,K.R. Pet,Tomato,500,500,500,2021-06-29
Mandya,K.R. Pet,Tomato,500,500,500,2021-07-02
Mandya,K.R. Pet,Tomato,500,500,500,2021-07-06
Mandya,K.R. Pet,Tomato,500,500,500,2021-07-08
Mandya,K.R. Pet,Tomato,500,500,500,2021-07-09
Mandya,K.R. Pet,Tomato,500,500,500,2021-07-13
Mandya,K.R. Pet,Tomato,500,1000,500,2021-07-15
Mandya,K.R. Pet,Tomato,500,1000,500,2021-07-16
Mandya,K.R. Pet,Tomato,800,1000,800,2021-07-19
Mandya,K.R. Pet,Tomato,800,800,800,2021-07-20
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-07-22
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-07-26
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-07-27
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-07-28
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-07-29
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-07-30
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-08-02
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-08-06
Mandya,K.R. Pet,Tomato,1000,1000,1000,2021-08-10
