district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Mangalore(Dakshin Kannad),Mangalore,Tomato,1500,2000,1700,2020-04-21
Mangalore(Dakshin Kannad),Mangalore,Tomato,1500,2000,1700,2020-04-22
Mangalore(Dakshin Kannad),Mangalore,Tomato,1800,2200,2000,2020-04-23
Mangalore(Dakshin Kannad),Mangalore,Tomato,1800,2000,1900,2020-04-24
Mangalore(Dakshin Kannad),Mangalore,Tomato,1600,2000,1800,2020-04-25
Mangalore(Dakshin Kannad),Mangalore,Tomato,1800,2200,2000,2020-04-27
Mangalore(Dakshin Kannad),Mangalore,Tomato,1000,1400,1200,2020-04-28
Mangalore(Dakshin Kannad),Mangalore,Tomato,1800,2200,2000,2020-04-29
Mangalore(Dakshin Kannad),Mangalore,Tomato,1600,2000,1800,2020-05-02
Mangalore(Dakshin Kannad),Mangalore,Tomato,800,1000,900,2020-05-05
Mangalore(Dakshin Kannad),Mangalore,Tomato,800,1000,900,2020-05-06
Mangalore(Dakshin Kannad),Mangalore,Tomato,800,1000,900,2020-05-07
Mangalore(Dakshin Kannad),Mangalore,Tomato,800,1000,900,2020-05-08
Mangalore(Dakshin Kannad),Mangalore,Tomato,800,1000,900,2020-05-09
Mangalore(Dakshin Kannad),Mangalore,Tomato,800,1000,900,2020-05-11
Mangalore(Dakshin Kannad),Mangalore,Tomato,800,1000,900,2020-05-12
Mangalore(Dakshin Kannad),Mangalore,Tomato,800,1000,900,2020-05-13
Mangalore(Dakshin Kannad),Mangalore,Tomato,800,1000,900,2020-05-14
Mangalore(Dakshin Kannad),Mangalore,Tomato,800,1000,900,2020-05-15
Mangalore(Dakshin Kannad),Mangalore,Tomato,800,1000,900,2020-05-16
Mangalore(Dakshin Kannad),Mangalore,Tomato,1200,1500,1400,2020-05-18
Mangalore(Dakshin Kannad),Mangalore,Tomato,1200,1500,1400,2020-05-19
Mangalore(Dakshin Kannad),Mangalore,Tomato,1200,1500,1400,2020-05-20
Mangalore(Dakshin Kannad),Mangalore,Tomato,1200,1500,1400,2020-05-21
Mangalore(Dakshin Kannad),Mangalore,Tomato,1200,1500,1400,2020-05-22
Mangalore(Dakshin Kannad),Mangalore,Tomato,1200,1500,1400,2020-05-26
Mangalore(Dakshin Kannad),Mangalore,Tomato,1200,1500,1400,2020-05-27
Mangalore(Dakshin Kannad),Mangalore,Tomato,1200,1500,1400,2020-05-28
Mangalore(Dakshin Kannad),Mangalore,Tomato,1200,1500,1400,2020-05-29
Mangalore(Dakshin Kannad),Mangalore,Tomato,1200,1500,1400,2020-05-30
Mangalore(Dakshin Kannad),Mangalore,Tomato,1000,1500,1200,2020-06-02
Mangalore(Dakshin Kannad),Mangalore,Tomato,1000,1500,1200,2020-06-03
Mangalore(Dakshin Kannad),Mangalore,Tomato,1000,1500,1200,2020-06-04
Mangalore(Dakshin Kannad),Mangalore,Tomato,1500,2200,2000,2020-06-06
Mangalore(Dakshin Kannad),Mangalore,Tomato,1500,2000,1800,2020-06-08
Mangalore(Dakshin Kannad),Mangalore,Tomato,1500,2000,1800,2020-06-09
Mangalore(Dakshin Kannad),Mangalore,Tomato,1200,1500,1400,2020-06-10
Mangalore(Dakshin Kannad),Mangalore,Tomato,1500,2000,1600,2020-06-11
Mangalore(Dakshin Kannad),Mangalore,Tomato,1200,1500,1400,2020-06-12
Mangalore(Dakshin Kannad),Mangalore,Tomato,1500,2000,1800,2020-06-16
Mangalore(Dakshin Kannad),Mangalore,Tomato,1200,1500,1400,2020-06-17
Mangalore(Dakshin Kannad),Mangalore,Tomato,1200,1500,1400,2020-06-18
Mangalore(Dakshin Kannad),Mangalore,Tomato,1200,1400,1300,2020-06-22
Mangalore(Dakshin Kannad),Mangalore,Tomato,1200,1500,1400,2020-06-23
Mangalore(Dakshin Kannad),Mangalore,Tomato,1200,1500,1400,2020-06-24
Mangalore(Dakshin Kannad),Mangalore,Tomato,1800,2200,2000,2020-06-25
Mangalore(Dakshin Kannad),Mangalore,Tomato,1500,1800,1600,2020-06-30
Mangalore(Dakshin Kannad),Mangalore,Tomato,1400,2200,1800,2020-07-01
Mangalore(Dakshin Kannad),Mangalore,Tomato,1500,2000,1800,2020-07-02
Mangalore(Dakshin Kannad),Mangalore,Tomato,1500,2000,1800,2020-07-03
Mangalore(Dakshin Kannad),Mangalore,Tomato,1200,1600,1400,2020-07-04
Mangalore(Dakshin Kannad),Mangalore,Tomato,1500,1800,1600,2020-07-07
Mangalore(Dakshin Kannad),Mangalore,Tomato,1200,1800,1400,2020-07-08
Mangalore(Dakshin Kannad),Mangalore,Tomato,1200,1800,1400,2020-07-09
Mangalore(Dakshin Kannad),Mangalore,Tomato,1500,2000,1800,2020-07-10
Mangalore(Dakshin Kannad),Mangalore,Tomato,1500,2000,1800,2020-07-13
Mangalore(Dakshin Kannad),Mangalore,Tomato,1500,2000,1800,2020-07-14
Mangalore(Dakshin Kannad),Mangalore,Tomato,1800,2500,2200,2020-07-15
Mangalore(Dakshin Kannad),Mangalore,Tomato,2500,3500,3000,2020-07-17
Mangalore(Dakshin Kannad),Mangalore,Tomato,2000,3000,2500,2020-07-20
Mangalore(Dakshin Kannad),Mangalore,Tomato,2200,3000,2600,2020-07-21
Mangalore(Dakshin Kannad),Mangalore,Tomato,2400,3200,2600,2020-07-22
Mangalore(Dakshin Kannad),Mangalore,Tomato,2400,3200,2600,2020-07-23
Mangalore(Dakshin Kannad),Mangalore,Tomato,2500,3200,3000,2020-07-24
Mangalore(Dakshin Kannad),Mangalore,Tomato,3000,3500,3200,2020-07-27
Mangalore(Dakshin Kannad),Mangalore,Tomato,2500,3500,3200,2020-07-28
Mangalore(Dakshin Kannad),Mangalore,Tomato,2200,3000,2800,2020-07-29
Mangalore(Dakshin Kannad),Mangalore,Tomato,2600,3500,3000,2020-07-31
Mangalore(Dakshin Kannad),Mangalore,Tomato,2200,3000,2600,2020-08-05
Mangalore(Dakshin Kannad),Mangalore,Tomato,2500,3500,3000,2020-08-10
Mangalore(Dakshin Kannad),Mangalore,Tomato,2800,3500,3000,2020-08-11
Mangalore(Dakshin Kannad),Mangalore,Tomato,2600,3500,3000,2020-08-12
Mangalore(Dakshin Kannad),Mangalore,Tomato,2800,3500,3200,2020-08-13
Mangalore(Dakshin Kannad),Mangalore,Tomato,2800,3200,3000,2020-08-17
Mangalore(Dakshin Kannad),Mangalore,Tomato,2600,3600,3000,2020-08-18
Mangalore(Dakshin Kannad),Mangalore,Tomato,2600,3600,3000,2020-08-19
Mangalore(Dakshin Kannad),Mangalore,Tomato,2500,3000,2800,2020-09-07
Mangalore(Dakshin Kannad),Mangalore,Tomato,2700,3200,3000,2020-09-09
Mangalore(Dakshin Kannad),Mangalore,Tomato,2700,3200,3000,2020-09-10
Mangalore(Dakshin Kannad),Mangalore,Tomato,2500,3000,2800,2020-09-14
Mangalore(Dakshin Kannad),Mangalore,Tomato,2600,3400,3000,2020-09-15
Mangalore(Dakshin Kannad),Mangalore,Tomato,2800,3500,3000,2020-09-16
Mangalore(Dakshin Kannad),Mangalore,Tomato,2800,3500,3200,2020-09-18
Mangalore(Dakshin Kannad),Mangalore,Tomato,2600,3600,3000,2020-09-19
Mangalore(Dakshin Kannad),Mangalore,Tomato,2600,3400,3000,2020-09-21
Mangalore(Dakshin Kannad),Mangalore,Tomato,2600,3400,3000,2020-09-22
Mangalore(Dakshin Kannad),Mangalore,Tomato,2600,3400,3000,2020-09-23
Mangalore(Dakshin Kannad),Mangalore,Tomato,2200,3400,2800,2020-09-24
Mangalore(Dakshin Kannad),Mangalore,Tomato,1800,3000,2500,2020-09-25
Mangalore(Dakshin Kannad),Mangalore,Tomato,2600,3400,3000,2020-09-29
Mangalore(Dakshin Kannad),Mangalore,Tomato,800,1200,1000,2021-05-05
Mangalore(Dakshin Kannad),Mangalore,Tomato,1400,1800,1600,2021-05-11
Mangalore(Dakshin Kannad),Mangalore,Tomato,1000,1200,1100,2021-05-27
Mangalore(Dakshin Kannad),Mangalore,Tomato,1000,1200,1100,2021-05-28
Mangalore(Dakshin Kannad),Mangalore,Tomato,1000,1200,1100,2021-05-29
Mangalore(Dakshin Kannad),Mangalore,Tomato,1000,1200,1100,2021-05-31
Mangalore(Dakshin Kannad),Mangalore,Tomato,1000,1200,1100,2021-06-01
Mangalore(Dakshin Kannad),Mangalore,Tomato,1000,1200,1100,2021-06-02
