district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Mysore,Mysore (Bandipalya),Tomato,1000,1200,1150,2020-01-01
Mysore,Mysore (Bandipalya),Tomato,1200,1400,1300,2020-01-02
Mysore,Mysore (Bandipalya),Tomato,800,1000,900,2020-01-03
Mysore,Mysore (Bandipalya),Tomato,1000,1200,1100,2020-01-05
Mysore,Mysore (Bandipalya),Tomato,1100,1300,1250,2020-01-06
Mysore,Mysore (Bandipalya),Tomato,1100,1300,1200,2020-01-07
Mysore,Mysore (Bandipalya),Tomato,1300,1500,1450,2020-01-08
Mysore,Mysore (Bandipalya),Tomato,1000,1200,1100,2020-01-09
Mysore,Mysore (Bandipalya),Tomato,1100,1300,1200,2020-01-10
Mysore,Mysore (Bandipalya),Tomato,1000,1200,1100,2020-01-12
Mysore,Mysore (Bandipalya),Tomato,1000,1200,1100,2020-01-13
Mysore,Mysore (Bandipalya),Tomato,1000,1200,1100,2020-01-14
Mysore,Mysore (Bandipalya),Tomato,1000,12000,1150,2020-01-15
Mysore,K.R.Nagar,Tomato,1200,1200,1200,2020-01-15
Mysore,Mysore (Bandipalya),Tomato,1200,1400,1350,2020-01-16
Mysore,Mysore (Bandipalya),Tomato,1200,1400,1300,2020-01-17
Mysore,Mysore (Bandipalya),Tomato,700,900,800,2020-01-19
Mysore,Mysore (Bandipalya),Tomato,700,900,800,2020-01-20
Mysore,Mysore (Bandipalya),Tomato,800,1000,900,2020-01-23
Mysore,Mysore (Bandipalya),Tomato,800,1000,900,2020-01-24
Mysore,Mysore (Bandipalya),Tomato,800,1000,900,2020-01-26
Mysore,Mysore (Bandipalya),Tomato,800,1000,900,2020-01-27
Mysore,Mysore (Bandipalya),Tomato,800,1000,900,2020-01-28
Mysore,Mysore (Bandipalya),Tomato,800,1000,900,2020-01-29
Mysore,Mysore (Bandipalya),Tomato,800,1000,900,2020-01-30
Mysore,Mysore (Bandipalya),Tomato,500,700,600,2020-01-31
Mysore,Mysore (Bandipalya),Tomato,600,800,700,2020-02-02
Mysore,Mysore (Bandipalya),Tomato,700,900,800,2020-02-03
Mysore,Mysore (Bandipalya),Tomato,700,900,800,2020-02-04
Mysore,Mysore (Bandipalya),Tomato,600,800,700,2020-02-05
Mysore,Mysore (Bandipalya),Tomato,400,600,500,2020-02-06
Mysore,Mysore (Bandipalya),Tomato,300,500,400,2020-02-07
Mysore,Mysore (Bandipalya),Tomato,300,500,400,2020-02-09
Mysore,Mysore (Bandipalya),Tomato,300,500,450,2020-02-10
Mysore,Mysore (Bandipalya),Tomato,500,700,600,2020-02-11
Mysore,Mysore (Bandipalya),Tomato,700,900,800,2020-02-12
Mysore,Mysore (Bandipalya),Tomato,500,700,600,2020-02-13
Mysore,Mysore (Bandipalya),Tomato,300,500,400,2020-02-14
Mysore,Mysore (Bandipalya),Tomato,400,600,500,2020-02-16
Mysore,Mysore (Bandipalya),Tomato,400,600,550,2020-02-17
Mysore,Mysore (Bandipalya),Tomato,500,700,600,2020-02-18
Mysore,Mysore (Bandipalya),Tomato,500,700,650,2020-02-19
Mysore,Mysore (Bandipalya),Tomato,400,600,550,2020-02-20
Mysore,Mysore (Bandipalya),Tomato,600,800,750,2020-02-21
Mysore,Mysore (Bandipalya),Tomato,500,700,600,2020-02-23
Mysore,Mysore (Bandipalya),Tomato,400,600,550,2020-02-24
Mysore,Mysore (Bandipalya),Tomato,300,500,450,2020-02-25
Mysore,Mysore (Bandipalya),Tomato,300,500,350,2020-02-26
Mysore,Mysore (Bandipalya),Tomato,400,600,500,2020-02-27
Mysore,Mysore (Bandipalya),Tomato,500,700,600,2020-02-28
Mysore,Mysore (Bandipalya),Tomato,400,600,500,2020-03-01
Mysore,Mysore (Bandipalya),Tomato,300,500,400,2020-03-02
Mysore,Mysore (Bandipalya),Tomato,400,600,500,2020-03-03
Mysore,Mysore (Bandipalya),Tomato,300,500,450,2020-03-04
Mysore,Mysore (Bandipalya),Tomato,300,500,400,2020-03-05
Mysore,Mysore (Bandipalya),Tomato,400,600,500,2020-03-06
Mysore,Mysore (Bandipalya),Tomato,300,500,450,2020-03-08
Mysore,Mysore (Bandipalya),Tomato,300,500,450,2020-03-09
Mysore,Mysore (Bandipalya),Tomato,400,600,550,2020-03-10
Mysore,Mysore (Bandipalya),Tomato,500,700,600,2020-03-11
Mysore,Mysore (Bandipalya),Tomato,500,700,650,2020-03-12
Mysore,Mysore (Bandipalya),Tomato,500,700,650,2020-03-13
Mysore,Mysore (Bandipalya),Tomato,400,600,500,2020-03-15
Mysore,Mysore (Bandipalya),Tomato,400,600,550,2020-03-16
Mysore,Mysore (Bandipalya),Tomato,600,800,700,2020-03-17
Mysore,Mysore (Bandipalya),Tomato,600,800,700,2020-03-18
Mysore,Mysore (Bandipalya),Tomato,400,600,550,2020-03-19
Mysore,Mysore (Bandipalya),Tomato,400,600,550,2020-03-20
Mysore,Mysore (Bandipalya),Tomato,800,1000,900,2020-03-23
Mysore,Mysore (Bandipalya),Tomato,1200,1400,1300,2020-03-24
Mysore,Mysore (Bandipalya),Tomato,1200,1400,1350,2020-03-26
Mysore,Mysore (Bandipalya),Tomato,1000,1200,1150,2020-03-27
Mysore,Mysore (Bandipalya),Tomato,600,800,750,2020-03-29
Mysore,Mysore (Bandipalya),Tomato,500,700,600,2020-03-31
Mysore,Mysore (Bandipalya),Tomato,500,700,600,2020-04-01
Mysore,Mysore (Bandipalya),Tomato,400,600,500,2020-04-02
Mysore,Mysore (Bandipalya),Tomato,300,500,400,2020-04-03
Mysore,Nanjangud,Tomato,500,600,500,2020-04-03
Mysore,Nanjangud,Tomato,400,400,400,2020-04-04
Mysore,K.R.Nagar,Tomato,500,500,500,2020-04-05
Mysore,Nanjangud,Tomato,700,1000,800,2020-04-05
Mysore,Mysore (Bandipalya),Tomato,300,500,400,2020-04-05
Mysore,Mysore (Bandipalya),Tomato,300,500,400,2020-04-06
Mysore,K.R.Nagar,Tomato,500,500,500,2020-04-06
Mysore,Nanjangud,Tomato,700,800,700,2020-04-06
Mysore,Nanjangud,Tomato,800,900,800,2020-04-07
Mysore,K.R.Nagar,Tomato,500,500,500,2020-04-07
Mysore,Mysore (Bandipalya),Tomato,400,600,500,2020-04-07
Mysore,Nanjangud,Tomato,600,900,700,2020-04-08
Mysore,Mysore (Bandipalya),Tomato,400,600,500,2020-04-08
Mysore,K.R.Nagar,Tomato,500,500,500,2020-04-08
Mysore,K.R.Nagar,Tomato,600,600,600,2020-04-09
Mysore,Nanjangud,Tomato,700,900,800,2020-04-09
Mysore,Mysore (Bandipalya),Tomato,300,500,400,2020-04-09
Mysore,K.R.Nagar,Tomato,600,600,600,2020-04-10
Mysore,Nanjangud,Tomato,600,700,600,2020-04-10
Mysore,Mysore (Bandipalya),Tomato,400,600,500,2020-04-10
Mysore,K.R.Nagar,Tomato,600,600,600,2020-04-11
Mysore,Nanjangud,Tomato,600,700,600,2020-04-11
Mysore,Nanjangud,Tomato,400,500,400,2020-04-12
Mysore,K.R.Nagar,Tomato,1000,1000,1000,2020-04-12
Mysore,Mysore (Bandipalya),Tomato,500,700,600,2020-04-12
Mysore,K.R.Nagar,Tomato,500,500,500,2020-04-13
Mysore,Nanjangud,Tomato,400,600,500,2020-04-13
Mysore,Nanjangud,Tomato,400,500,400,2020-04-14
Mysore,Mysore (Bandipalya),Tomato,500,700,600,2020-04-14
Mysore,K.R.Nagar,Tomato,500,500,500,2020-04-14
Mysore,Mysore (Bandipalya),Tomato,400,600,500,2020-04-15
Mysore,K.R.Nagar,Tomato,600,600,600,2020-04-15
Mysore,Nanjangud,Tomato,400,600,500,2020-04-15
Mysore,Mysore (Bandipalya),Tomato,200,400,300,2020-04-16
Mysore,Nanjangud,Tomato,400,600,500,2020-04-16
Mysore,K.R.Nagar,Tomato,500,500,500,2020-04-16
Mysore,K.R.Nagar,Tomato,500,600,500,2020-04-17
Mysore,Mysore (Bandipalya),Tomato,300,500,400,2020-04-17
Mysore,Nanjangud,Tomato,400,600,500,2020-04-17
Mysore,Nanjangud,Tomato,400,600,500,2020-04-18
Mysore,K.R.Nagar,Tomato,500,500,500,2020-04-18
Mysore,K.R.Nagar,Tomato,500,500,500,2020-04-19
Mysore,Nanjangud,Tomato,300,500,400,2020-04-19
Mysore,Mysore (Bandipalya),Tomato,400,600,500,2020-04-19
Mysore,Nanjangud,Tomato,400,500,400,2020-04-20
Mysore,Mysore (Bandipalya),Tomato,400,600,500,2020-04-20
Mysore,K.R.Nagar,Tomato,500,500,500,2020-04-20
Mysore,K.R.Nagar,Tomato,500,500,500,2020-04-21
Mysore,Mysore (Bandipalya),Tomato,400,600,500,2020-04-21
Mysore,Nanjangud,Tomato,400,600,500,2020-04-21
Mysore,Nanjangud,Tomato,400,500,400,2020-04-22
Mysore,Mysore (Bandipalya),Tomato,400,600,500,2020-04-22
Mysore,K.R.Nagar,Tomato,500,500,500,2020-04-22
Mysore,Nanjangud,Tomato,400,500,400,2020-04-23
Mysore,K.R.Nagar,Tomato,500,1000,583,2020-04-23
Mysore,Mysore (Bandipalya),Tomato,400,600,550,2020-04-23
Mysore,Mysore (Bandipalya),Tomato,500,700,650,2020-04-24
Mysore,K.R.Nagar,Tomato,500,500,500,2020-04-24
Mysore,Nanjangud,Tomato,400,500,400,2020-04-24
Mysore,K.R.Nagar,Tomato,600,600,600,2020-04-25
Mysore,Nanjangud,Tomato,400,600,500,2020-04-25
Mysore,K.R.Nagar,Tomato,600,600,600,2020-04-26
Mysore,Nanjangud,Tomato,300,500,400,2020-04-26
Mysore,Mysore (Bandipalya),Tomato,300,500,400,2020-04-26
Mysore,Mysore (Bandipalya),Tomato,300,500,450,2020-04-27
Mysore,K.R.Nagar,Tomato,500,500,500,2020-04-27
Mysore,Nanjangud,Tomato,300,500,400,2020-04-27
Mysore,Mysore (Bandipalya),Tomato,200,400,300,2020-04-28
Mysore,K.R.Nagar,Tomato,500,500,500,2020-04-28
Mysore,Nanjangud,Tomato,300,500,400,2020-04-28
Mysore,K.R.Nagar,Tomato,500,500,500,2020-04-29
Mysore,Nanjangud,Tomato,300,400,300,2020-04-29
Mysore,Mysore (Bandipalya),Tomato,200,400,350,2020-04-29
Mysore,Nanjangud,Tomato,300,400,300,2020-04-30
Mysore,K.R.Nagar,Tomato,500,500,500,2020-04-30
Mysore,Mysore (Bandipalya),Tomato,400,600,500,2020-04-30
Mysore,Nanjangud,Tomato,300,500,400,2020-05-01
Mysore,K.R.Nagar,Tomato,500,500,500,2020-05-01
Mysore,Mysore (Bandipalya),Tomato,500,700,650,2020-05-01
Mysore,K.R.Nagar,Tomato,600,600,600,2020-05-02
Mysore,Nanjangud,Tomato,300,500,400,2020-05-02
Mysore,K.R.Nagar,Tomato,600,600,600,2020-05-03
Mysore,Nanjangud,Tomato,300,400,300,2020-05-03
Mysore,Mysore (Bandipalya),Tomato,400,600,500,2020-05-03
Mysore,Mysore (Bandipalya),Tomato,500,700,600,2020-05-04
Mysore,Nanjangud,Tomato,400,500,400,2020-05-04
Mysore,K.R.Nagar,Tomato,500,700,700,2020-05-04
Mysore,Mysore (Bandipalya),Tomato,400,600,500,2020-05-05
Mysore,K.R.Nagar,Tomato,500,500,500,2020-05-05
Mysore,Nanjangud,Tomato,400,600,500,2020-05-05
Mysore,Mysore (Bandipalya),Tomato,400,600,550,2020-05-06
Mysore,Nanjangud,Tomato,400,600,500,2020-05-06
Mysore,K.R.Nagar,Tomato,500,500,500,2020-05-06
Mysore,Mysore (Bandipalya),Tomato,400,600,500,2020-05-07
Mysore,Nanjangud,Tomato,400,600,550,2020-05-07
Mysore,K.R.Nagar,Tomato,500,500,500,2020-05-07
Mysore,Mysore (Bandipalya),Tomato,300,500,400,2020-05-08
