district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Tumkur,Tiptur,Tomato,600,800,700,2020-04-05
Tumkur,Tiptur,Tomato,600,800,700,2020-04-06
Tumkur,Tiptur,Tomato,600,800,700,2020-04-07
Tumkur,Tiptur,Tomato,600,700,650,2020-04-08
Tumkur,Tiptur,Tomato,650,750,700,2020-04-09
Tumkur,Tiptur,Tomato,600,800,700,2020-04-10
Tumkur,Tiptur,Tomato,600,700,650,2020-04-11
Tumkur,Tiptur,Tomato,600,700,650,2020-04-12
Tumkur,Tiptur,Tomato,800,900,850,2020-04-13
Tumkur,Tiptur,Tomato,650,800,700,2020-04-14
Tumkur,Tiptur,Tomato,600,750,700,2020-04-15
Tumkur,Tiptur,Tomato,800,900,850,2020-04-16
Tumkur,Tiptur,Tomato,800,1000,900,2020-04-17
Tumkur,Tumkur,Tomato,800,1000,900,2020-04-17
Tumkur,Tiptur,Tomato,600,800,700,2020-04-18
Tumkur,Tumkur,Tomato,700,1000,820,2020-04-18
Tumkur,Tiptur,Tomato,600,800,700,2020-04-19
Tumkur,Tiptur,Tomato,600,800,700,2020-04-20
Tumkur,Tumkur,Tomato,800,1000,900,2020-04-20
Tumkur,Tumkur,Tomato,800,1000,900,2020-04-21
Tumkur,Tiptur,Tomato,600,800,700,2020-04-21
Tumkur,Tumkur,Tomato,700,800,750,2020-04-22
Tumkur,Tiptur,Tomato,600,800,700,2020-04-22
Tumkur,Tiptur,Tomato,500,700,600,2020-04-23
Tumkur,Tumkur,Tomato,800,1000,900,2020-04-24
Tumkur,Tiptur,Tomato,500,700,600,2020-04-24
Tumkur,Tumkur,Tomato,600,1000,800,2020-04-25
Tumkur,Tiptur,Tomato,600,700,650,2020-04-25
Tumkur,Tiptur,Tomato,600,700,650,2020-04-26
Tumkur,Tumkur,Tomato,500,600,550,2020-04-26
Tumkur,Tiptur,Tomato,600,700,650,2020-04-27
Tumkur,Tumkur,Tomato,500,600,550,2020-04-27
Tumkur,Tumkur,Tomato,500,700,600,2020-04-28
Tumkur,Tiptur,Tomato,500,600,500,2020-04-28
Tumkur,Tiptur,Tomato,500,650,600,2020-04-29
Tumkur,Tumkur,Tomato,500,800,700,2020-04-29
Tumkur,Tiptur,Tomato,550,650,600,2020-04-30
Tumkur,Tiptur,Tomato,600,700,650,2020-05-01
Tumkur,Tumkur,Tomato,500,900,800,2020-05-01
Tumkur,Tumkur,Tomato,500,900,600,2020-05-02
Tumkur,Tiptur,Tomato,600,700,650,2020-05-02
Tumkur,Tumkur,Tomato,500,900,750,2020-05-03
Tumkur,Tiptur,Tomato,600,700,650,2020-05-03
Tumkur,Tiptur,Tomato,600,700,650,2020-05-04
Tumkur,Tumkur,Tomato,500,800,700,2020-05-04
Tumkur,Tiptur,Tomato,750,800,800,2020-05-05
Tumkur,Tumkur,Tomato,400,800,500,2020-05-05
Tumkur,Tumkur,Tomato,400,900,800,2020-05-06
Tumkur,Tiptur,Tomato,700,800,750,2020-05-06
Tumkur,Tiptur,Tomato,750,800,800,2020-05-07
Tumkur,Tiptur,Tomato,750,800,800,2020-05-08
Tumkur,Tumkur,Tomato,500,900,800,2020-05-08
Tumkur,Tiptur,Tomato,750,800,800,2020-05-09
Tumkur,Tumkur,Tomato,500,800,600,2020-05-09
Tumkur,Tiptur,Tomato,800,1000,900,2020-05-10
Tumkur,Tumkur,Tomato,400,600,500,2020-05-11
Tumkur,Tiptur,Tomato,600,800,700,2020-05-11
Tumkur,Tumkur,Tomato,400,800,600,2020-05-12
Tumkur,Tiptur,Tomato,600,700,650,2020-05-12
Tumkur,Tumkur,Tomato,400,800,600,2020-05-13
Tumkur,Tiptur,Tomato,700,800,750,2020-05-13
Tumkur,Tiptur,Tomato,800,850,800,2020-05-14
Tumkur,Tiptur,Tomato,700,800,750,2020-05-15
Tumkur,Tumkur,Tomato,400,800,600,2020-05-15
Tumkur,Tiptur,Tomato,1000,1050,1000,2020-05-16
Tumkur,Tumkur,Tomato,400,800,600,2020-05-16
Tumkur,Tiptur,Tomato,1000,1200,1100,2020-05-17
Tumkur,Tumkur,Tomato,500,800,600,2020-05-18
Tumkur,Tiptur,Tomato,800,900,850,2020-05-18
Tumkur,Tiptur,Tomato,800,1000,900,2020-05-19
Tumkur,Tumkur,Tomato,400,600,500,2020-05-19
Tumkur,Tiptur,Tomato,800,1000,900,2020-05-20
Tumkur,Tumkur,Tomato,400,700,500,2020-05-20
Tumkur,Tiptur,Tomato,800,850,800,2020-05-21
Tumkur,Tiptur,Tomato,800,900,850,2020-05-22
Tumkur,Tumkur,Tomato,400,700,500,2020-05-22
Tumkur,Tiptur,Tomato,800,1000,900,2020-05-23
Tumkur,Tiptur,Tomato,2500,2500,2500,2020-05-24
Tumkur,Tumkur,Tomato,400,800,600,2020-05-25
Tumkur,Tumkur,Tomato,400,900,800,2020-05-27
Tumkur,Tiptur,Tomato,900,1000,1000,2020-05-27
Tumkur,Tiptur,Tomato,1200,1200,1200,2020-05-28
Tumkur,Tiptur,Tomato,1200,1300,1250,2020-05-29
Tumkur,Tiptur,Tomato,800,1000,900,2020-05-30
Tumkur,Tumkur,Tomato,800,1200,1000,2020-05-30
Tumkur,Tiptur,Tomato,1000,1300,1200,2020-05-31
Tumkur,Tiptur,Tomato,1000,1200,1000,2020-06-01
Tumkur,Tumkur,Tomato,1000,1600,1200,2020-06-01
Tumkur,Tiptur,Tomato,800,1200,1000,2020-06-02
Tumkur,Tumkur,Tomato,800,1200,1000,2020-06-02
Tumkur,Tiptur,Tomato,1000,1200,1100,2020-06-03
Tumkur,Tumkur,Tomato,800,1200,1000,2020-06-03
Tumkur,Tiptur,Tomato,1300,1500,1400,2020-06-04
Tumkur,Tumkur,Tomato,800,1500,1000,2020-06-05
Tumkur,Tiptur,Tomato,1400,1500,1450,2020-06-05
Tumkur,Tiptur,Tomato,1300,1500,1400,2020-06-06
Tumkur,Tumkur,Tomato,800,1500,1000,2020-06-06
Tumkur,Tumkur,Tomato,900,1700,1200,2020-06-24
Tumkur,Tumkur,Tomato,2000,3000,2400,2020-06-26
Tumkur,Tumkur,Tomato,1600,2880,2400,2020-06-29
Tumkur,Tumkur,Tomato,1400,2400,1850,2020-07-01
Tumkur,Tumkur,Tomato,1400,2200,1600,2020-07-06
Tumkur,Tumkur,Tomato,1100,2200,1500,2020-07-07
Tumkur,Tumkur,Tomato,1000,2000,1600,2020-07-08
Tumkur,Tumkur,Tomato,1800,2600,2100,2020-07-13
Tumkur,Tumkur,Tomato,2200,3000,2450,2020-07-15
Tumkur,Tumkur,Tomato,2400,3500,2850,2020-07-17
Tumkur,Tumkur,Tomato,1600,3000,2400,2020-07-18
Tumkur,Tumkur,Tomato,700,2000,1100,2020-07-21
Tumkur,Tumkur,Tomato,750,1800,1200,2020-07-22
Tumkur,Tumkur,Tomato,800,2000,1200,2020-07-24
Tumkur,Tumkur,Tomato,850,2100,1200,2020-07-27
Tumkur,Tumkur,Tomato,750,2100,1250,2020-07-29
Tumkur,Tumkur,Tomato,450,1400,800,2020-07-30
Tumkur,Tumkur,Tomato,600,1200,900,2020-08-03
Tumkur,Tumkur,Tomato,500,1300,800,2020-08-04
Tumkur,Tumkur,Tomato,550,1250,850,2020-08-05
Tumkur,Tumkur,Tomato,600,1200,800,2020-08-10
Tumkur,Tumkur,Tomato,700,1200,850,2020-08-17
Tumkur,Tumkur,Tomato,600,1200,850,2020-08-18
Tumkur,Tumkur,Tomato,700,1200,850,2020-08-19
Tumkur,Tumkur,Tomato,1200,2150,1520,2020-08-24
