district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Bagalkot,Bagalakot,Wheat,2850,2850,2850,2020-01-01
Bagalkot,Jamakhandi,Wheat,3600,3985,3725,2020-01-01
Bagalkot,Jamakhandi,Wheat,2500,3000,2800,2020-01-30
Bagalkot,Jamakhandi,Wheat,2500,2700,2625,2020-02-04
Bagalkot,Jamakhandi,Wheat,2700,2900,2800,2020-02-13
Bagalkot,Jamakhandi,Wheat,2700,2900,2800,2020-02-15
Bagalkot,Jamakhandi,Wheat,310,3300,3200,2020-02-27
Bagalkot,Jamakhandi,Wheat,2900,3100,3000,2020-03-04
Bagalkot,Jamakhandi,Wheat,2800,3000,2900,2020-03-09
Bagalkot,Bagalakot,Wheat,1801,1801,1801,2020-03-16
Bagalkot,Jamakhandi,Wheat,2700,2900,2800,2020-03-17
Bagalkot,Jamakhandi,Wheat,2700,2900,2800,2020-03-18
Bagalkot,Jamakhandi,Wheat,2900,3200,3150,2020-03-21
Bagalkot,Jamakhandi,Wheat,2700,2800,2750,2020-03-25
Bagalkot,Hungund,Wheat,1900,1900,1900,2020-04-04
Bagalkot,Jamakhandi,Wheat,3100,3250,3200,2020-04-04
Bagalkot,Jamakhandi,Wheat,2800,3500,3350,2020-04-07
Bagalkot,Jamakhandi,Wheat,2800,3500,3300,2020-04-08
Bagalkot,Jamakhandi,Wheat,2800,3500,3250,2020-04-09
Bagalkot,Jamakhandi,Wheat,2700,2900,2800,2020-04-10
Bagalkot,Jamakhandi,Wheat,2700,2900,2800,2020-04-13
Bagalkot,Jamakhandi,Wheat,2700,2900,2800,2020-04-14
Bagalkot,Bagalkot(Bilagi),Wheat,3150,3250,3200,2020-04-15
Bagalkot,Jamakhandi,Wheat,3400,3600,3500,2020-04-16
Bagalkot,Bagalkot(Bilagi),Wheat,2500,3250,3200,2020-04-16
Bagalkot,Bagalkot(Bilagi),Wheat,3200,3300,3250,2020-04-20
Bagalkot,Bagalkot(Bilagi),Wheat,2525,2525,2525,2020-04-21
Bagalkot,Jamakhandi,Wheat,2800,3000,2900,2020-04-22
Bagalkot,Jamakhandi,Wheat,2800,3000,2900,2020-04-27
Bagalkot,Bagalkot(Bilagi),Wheat,3000,3000,3000,2020-04-30
Bagalkot,Jamakhandi,Wheat,3300,3500,3400,2020-05-05
Bagalkot,Bagalkot(Bilagi),Wheat,2300,2300,2300,2020-05-05
Bagalkot,Jamakhandi,Wheat,3400,3600,3525,2020-05-08
Bagalkot,Jamakhandi,Wheat,3500,3600,3550,2020-05-11
Bagalkot,Jamakhandi,Wheat,2700,2900,2800,2020-05-14
Bagalkot,Jamakhandi,Wheat,3400,3600,3500,2020-05-16
Bagalkot,Jamakhandi,Wheat,3400,3600,3500,2020-05-18
Bagalkot,Jamakhandi,Wheat,3400,3600,3500,2020-05-20
Bagalkot,Jamakhandi,Wheat,2900,3100,3000,2020-05-21
Bagalkot,Jamakhandi,Wheat,3400,3600,3500,2020-05-28
Bagalkot,Jamakhandi,Wheat,3400,3600,3500,2020-05-30
Bagalkot,Bagalkot(Bilagi),Wheat,2800,3100,3000,2020-06-03
Bagalkot,Jamakhandi,Wheat,3400,3600,3500,2020-06-03
Bagalkot,Jamakhandi,Wheat,3400,3600,3500,2020-06-05
Bagalkot,Jamakhandi,Wheat,3500,3700,3600,2020-06-08
Bagalkot,Jamakhandi,Wheat,3500,3800,3700,2020-06-10
Bagalkot,Jamakhandi,Wheat,3500,3700,3600,2020-06-12
Bagalkot,Jamakhandi,Wheat,2400,2800,2600,2020-06-15
Bagalkot,Jamakhandi,Wheat,3200,3500,3400,2020-06-16
Bagalkot,Jamakhandi,Wheat,2400,3000,2700,2020-06-17
Bagalkot,Jamakhandi,Wheat,2800,3200,3000,2020-06-19
Bagalkot,Jamakhandi,Wheat,3400,3600,3500,2020-06-24
Bagalkot,Bagalkot(Bilagi),Wheat,3000,3000,3000,2020-06-26
Bagalkot,Jamakhandi,Wheat,3500,3900,3700,2020-06-26
Bagalkot,Jamakhandi,Wheat,3600,3900,3800,2020-06-29
Bagalkot,Jamakhandi,Wheat,3500,3800,3700,2020-07-02
Bagalkot,Jamakhandi,Wheat,3500,3800,3700,2020-07-14
Bagalkot,Jamakhandi,Wheat,3500,3900,3700,2020-08-03
Bagalkot,Jamakhandi,Wheat,3500,3900,3700,2020-08-18
Bagalkot,Jamakhandi,Wheat,3500,3700,3600,2020-08-24
Bagalkot,Jamakhandi,Wheat,3600,3700,3650,2020-08-29
Bagalkot,Jamakhandi,Wheat,3600,3800,3700,2020-08-31
Bagalkot,Jamakhandi,Wheat,3900,4100,4000,2020-09-07
Bagalkot,Jamakhandi,Wheat,3800,4000,3900,2020-10-03
Bagalkot,Jamakhandi,Wheat,2300,2500,2400,2020-10-13
Bagalkot,Jamakhandi,Wheat,3700,3900,3800,2020-10-22
Bagalkot,Jamakhandi,Wheat,6000,6500,6300,2020-11-18
Bagalkot,Jamakhandi,Wheat,2000,2020,2020,2020-11-26
Bagalkot,Jamakhandi,Wheat,6000,6500,6300,2020-11-27
Bagalkot,Jamakhandi,Wheat,6000,6200,6100,2020-12-08
Bagalkot,Jamakhandi,Wheat,6200,6400,6300,2020-12-14
