district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Belgaum,Sankeshwar,Wheat,2500,2700,2617,2020-01-02
Belgaum,Sankeshwar,Wheat,2400,2700,2546,2020-01-06
Belgaum,Gokak,Wheat,2700,2810,2700,2020-01-09
Belgaum,Sankeshwar,Wheat,2600,2900,2742,2020-01-16
Belgaum,Kudchi,Wheat,3650,3800,3728,2020-01-20
Belgaum,Nippani,Wheat,3075,3075,3075,2020-01-24
Belgaum,Ramdurga,Wheat,2100,2100,2100,2020-01-30
Belgaum,Soundati,Wheat,2300,2400,2319,2020-02-01
Belgaum,Sankeshwar,Wheat,2500,2800,2664,2020-02-04
Belgaum,Gokak,Wheat,2621,2700,2621,2020-02-18
Belgaum,Soundati,Wheat,2050,2050,2050,2020-03-05
Belgaum,Nippani,Wheat,2700,2700,2700,2020-03-05
Belgaum,Soundati,Wheat,1875,1875,1875,2020-03-08
Belgaum,Soundati,Wheat,2050,2050,2050,2020-03-09
Belgaum,Kudchi,Wheat,2580,2800,2649,2020-03-09
Belgaum,Ramdurga,Wheat,2000,2000,2000,2020-03-11
Belgaum,Soundati,Wheat,2000,2000,2000,2020-03-13
Belgaum,Soundati,Wheat,1800,1800,1800,2020-03-15
Belgaum,Kudchi,Wheat,2400,2500,2485,2020-03-16
Belgaum,Sankeshwar,Wheat,2100,2400,2298,2020-03-17
Belgaum,Soundati,Wheat,1700,1900,1715,2020-03-19
Belgaum,Nippani,Wheat,2250,2350,2300,2020-03-19
Belgaum,Soundati,Wheat,1900,1930,1915,2020-03-21
Belgaum,Soundati,Wheat,1600,1600,1600,2020-03-24
Belgaum,Soundati,Wheat,2000,2000,2000,2020-03-26
Belgaum,Soundati,Wheat,1950,1950,1950,2020-03-31
Belgaum,Sankeshwar,Wheat,2200,2500,2333,2020-03-31
Belgaum,Gokak,Wheat,2400,2450,2400,2020-04-01
Belgaum,Gokak,Wheat,1300,3000,1300,2020-04-05
Belgaum,Sankeshwar,Wheat,2100,2395,2200,2020-04-09
Belgaum,Soundati,Wheat,1500,1500,1500,2020-04-10
Belgaum,Gokak,Wheat,2240,2600,2250,2020-04-11
