district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Bijapur,Bijapur,Wheat,3000,3300,3200,2020-01-09
Bijapur,Bijapur,Wheat,3500,4000,3800,2020-01-13
Bijapur,Bijapur,Wheat,2500,3000,2800,2020-03-09
Bijapur,Bijapur,Wheat,3000,4000,3500,2020-03-09
Bijapur,Bijapur,Wheat,2200,2700,2600,2020-04-01
Bijapur,Bijapur,Wheat,4000,4500,4250,2020-04-04
Bijapur,Bijapur,Wheat,3500,4500,4000,2020-04-07
Bijapur,Sindagi(Indi),Wheat,2500,2600,2550,2020-04-13
Bijapur,Bijapur,Wheat,4000,5000,4500,2020-04-18
Bijapur,Bijapur,Wheat,4500,5000,4800,2020-04-20
Bijapur,Bijapur,Wheat,4500,5000,4800,2020-04-22
Bijapur,Bijapur,Wheat,4500,5000,4800,2020-04-27
Bijapur,Bijapur,Wheat,4500,5000,4800,2020-04-29
Bijapur,Bijapur,Wheat,3000,3500,3200,2020-04-29
Bijapur,Bijapur,Wheat,3000,3300,3200,2020-04-30
Bijapur,Bijapur,Wheat,3000,3300,3200,2020-05-02
Bijapur,Bijapur,Wheat,3000,3200,3100,2020-05-02
Bijapur,Bijapur,Wheat,3500,4500,4000,2020-05-02
Bijapur,Bijapur,Wheat,3000,3500,3200,2020-05-04
Bijapur,Bijapur,Wheat,4500,5000,4800,2020-05-05
Bijapur,Bijapur,Wheat,2200,3000,2800,2020-05-05
Bijapur,Bijapur,Wheat,2200,3000,2800,2020-05-06
Bijapur,Bijapur,Wheat,4500,5000,4800,2020-05-06
Bijapur,Bijapur,Wheat,4500,5000,4800,2020-05-07
Bijapur,Bijapur,Wheat,3000,3400,3200,2020-05-07
Bijapur,Bijapur,Wheat,2800,3200,3000,2020-05-07
Bijapur,Bijapur,Wheat,2600,3000,2800,2020-05-08
Bijapur,Bijapur,Wheat,4500,5000,4800,2020-05-08
Bijapur,Bijapur,Wheat,3000,3300,3200,2020-05-08
Bijapur,Bijapur,Wheat,2600,3000,2800,2020-05-11
Bijapur,Bijapur,Wheat,3500,4500,4000,2020-05-11
Bijapur,Bijapur,Wheat,2500,3000,2800,2020-05-11
Bijapur,Bijapur,Wheat,3500,4500,4000,2020-05-12
Bijapur,Bijapur,Wheat,2500,3000,2800,2020-05-12
Bijapur,Bijapur,Wheat,2600,3200,3000,2020-05-14
Bijapur,Bijapur,Wheat,2500,3000,2800,2020-05-14
Bijapur,Bijapur,Wheat,3500,4500,4000,2020-05-14
Bijapur,Bijapur,Wheat,2500,3000,2800,2020-05-16
Bijapur,Bijapur,Wheat,2600,3200,3000,2020-05-16
Bijapur,Bijapur,Wheat,3500,4500,4000,2020-05-16
Bijapur,Bijapur,Wheat,2500,3000,2800,2020-05-18
Bijapur,Bijapur,Wheat,2600,3200,3000,2020-05-18
Bijapur,Bijapur,Wheat,3500,4500,4000,2020-05-18
Bijapur,Bijapur,Wheat,3500,4500,4000,2020-05-19
Bijapur,Bijapur,Wheat,2500,3000,2800,2020-05-19
Bijapur,Bijapur,Wheat,2600,3200,3000,2020-05-19
Bijapur,Bijapur,Wheat,2500,3000,2800,2020-05-20
Bijapur,Bijapur,Wheat,3500,4500,4000,2020-05-20
Bijapur,Bijapur,Wheat,2500,3000,2800,2020-05-21
Bijapur,Bijapur,Wheat,3000,3000,3000,2020-05-21
Bijapur,Bijapur,Wheat,3500,4500,4000,2020-05-21
Bijapur,Bijapur,Wheat,3500,4500,4000,2020-05-22
Bijapur,Bijapur,Wheat,3000,3000,3000,2020-05-22
Bijapur,Bijapur,Wheat,2500,3000,2800,2020-05-22
Bijapur,Bijapur,Wheat,2500,3000,2800,2020-05-26
Bijapur,Bijapur,Wheat,3000,3200,3100,2020-05-26
Bijapur,Bijapur,Wheat,3500,4500,4000,2020-05-26
Bijapur,Bijapur,Wheat,3500,4500,4000,2020-05-27
Bijapur,Bijapur,Wheat,2800,3100,3000,2020-05-27
Bijapur,Bijapur,Wheat,2500,3000,2800,2020-05-27
Bijapur,Bijapur,Wheat,2600,3000,2800,2020-05-28
Bijapur,Bijapur,Wheat,2500,3000,2800,2020-05-28
Bijapur,Bijapur,Wheat,3500,4500,4000,2020-05-28
Bijapur,Bijapur,Wheat,3500,4500,4000,2020-05-29
