district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Chikmagalur,Chikkamagalore,Wheat,2000,2000,2000,2021-09-17
Chikmagalur,Chikkamagalore,Wheat,2000,2000,2000,2021-09-24
Chikmagalur,Chikkamagalore,Wheat,2000,2000,2000,2021-09-28
Chikmagalur,Chikkamagalore,Wheat,2000,2000,2000,2021-10-08
Chikmagalur,Chikkamagalore,Wheat,2000,2000,2000,2021-10-16
Chikmagalur,Chikkamagalore,Wheat,2000,2000,2000,2021-10-18
Chikmagalur,Tarikere,Wheat,2667,2667,2667,2023-04-18
Chikmagalur,Chikkamagalore,Wheat,2300,2300,2300,2024-03-25
Chikmagalur,Chikkamagalore,Wheat,2300,2300,2300,2024-04-15
Chikmagalur,Chikkamagalore,Wheat,2600,2600,2600,2024-05-27
Chikmagalur,Chikkamagalore,Wheat,2400,2400,2400,2024-06-04
Chikmagalur,Chikkamagalore,Wheat,2600,2600,2600,2024-06-07
Chikmagalur,Chikkamagalore,Wheat,2500,2500,2500,2024-06-10
Chikmagalur,Chikkamagalore,Wheat,2400,2400,2400,2024-06-18
Chikmagalur,Chikkamagalore,Wheat,2400,2400,2400,2024-06-28
Chikmagalur,Chikkamagalore,Wheat,2500,2500,2500,2024-07-02
Chikmagalur,Chikkamagalore,Wheat,2600,2600,2600,2024-07-08
Chikmagalur,Chikkamagalore,Wheat,2500,2500,2500,2024-07-31
Chikmagalur,Chikkamagalore,Wheat,2600,2600,2600,2024-08-08
Chikmagalur,Chikkamagalore,Wheat,2500,2500,2500,2024-08-19
Chikmagalur,Chikkamagalore,Wheat,2600,2600,2600,2024-08-30
Chikmagalur,Chikkamagalore,Wheat,2600,2600,2600,2024-09-11
Chikmagalur,Chikkamagalore,Wheat,2658,2658,2658,2024-10-10
Chikmagalur,Chikkamagalore,Wheat,2600,2600,2600,2024-10-15
Chikmagalur,Chikkamagalore,Wheat,2600,2600,2600,2024-10-19
Chikmagalur,Chikkamagalore,Wheat,2700,2700,2700,2024-10-28
Chikmagalur,Chikkamagalore,Wheat,2600,2600,2600,2024-10-29
Chikmagalur,Chikkamagalore,Wheat,2600,2600,2600,2024-11-11
Chikmagalur,Chikkamagalore,Wheat,2600,2600,2600,2024-11-12
Chikmagalur,Chikkamagalore,Wheat,2600,2600,2600,2024-11-19
Chikmagalur,Chikkamagalore,Wheat,2600,2600,2600,2024-11-20
Chikmagalur,Chikkamagalore,Wheat,2700,2700,2700,2024-12-05
Chikmagalur,Chikkamagalore,Wheat,2664,2664,2664,2024-12-12
Chikmagalur,Chikkamagalore,Wheat,2600,2600,2600,2024-12-17
Chikmagalur,Chikkamagalore,Wheat,2700,2700,2700,2024-12-19
Chikmagalur,Chikkamagalore,Wheat,2600,2600,2600,2024-12-26
Chikmagalur,Koppa,Wheat,2200,2400,2400,2024-12-30
