district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Davangere,Davangere,Wheat,3000,3100,3050,2020-01-03
Davangere,Davangere,Wheat,3100,3200,3150,2020-01-10
Davangere,Davangere,Wheat,2900,3000,2950,2020-01-17
Davangere,Davangere,Wheat,2900,3000,2950,2020-01-24
Davangere,Davangere,Wheat,3000,3100,3050,2020-01-31
Davangere,Davangere,Wheat,2900,3000,2950,2020-02-07
Davangere,Davangere,Wheat,3000,3100,3050,2020-02-13
Davangere,Davangere,Wheat,3000,3200,3100,2020-02-20
Davangere,Davangere,Wheat,3000,3100,3050,2020-02-28
Davangere,Davangere,Wheat,3000,3100,3050,2020-03-06
Davangere,Davangere,Wheat,2900,3200,3050,2020-03-13
Davangere,Davangere,Wheat,2900,3000,2950,2020-03-20
Davangere,Davangere,Wheat,3200,3300,3250,2020-04-03
Davangere,Davangere,Wheat,3100,3200,3150,2020-04-10
Davangere,Davangere,Wheat,3000,3200,3100,2020-04-17
Davangere,Davangere,Wheat,3000,3300,3150,2020-04-24
Davangere,Davangere,Wheat,3200,3300,3250,2020-05-08
Davangere,Davangere,Wheat,3200,3300,3250,2020-05-15
Davangere,Davangere,Wheat,3000,3100,3050,2020-05-22
Davangere,Davangere,Wheat,3100,3200,3150,2020-05-29
Davangere,Davangere,Wheat,2900,3000,2950,2020-06-05
Davangere,Davangere,Wheat,3000,3100,3050,2020-06-12
Davangere,Davangere,Wheat,3000,3100,3050,2020-06-19
Davangere,Davangere,Wheat,3000,3100,3050,2020-06-26
Davangere,Davangere,Wheat,3000,3100,3050,2020-07-03
Davangere,Davangere,Wheat,3000,3100,3050,2020-07-10
Davangere,Davangere,Wheat,3000,3100,3050,2020-07-17
Davangere,Davangere,Wheat,2250,2250,2250,2024-06-12
Davangere,Davangere,Wheat,2200,2200,2200,2024-06-18
Davangere,Davangere,Wheat,2200,2200,2200,2024-07-19
Davangere,Davangere,Wheat,2300,2300,2300,2024-07-22
Davangere,Davangere,Wheat,2200,2200,2200,2024-07-23
Davangere,Davangere,Wheat,3280,3280,3280,2024-07-24
Davangere,Davangere,Wheat,3775,3775,3775,2024-07-25
Davangere,Davangere,Wheat,2300,2300,2300,2024-08-02
Davangere,Davangere,Wheat,2300,2300,2300,2024-08-05
Davangere,Davangere,Wheat,2200,2200,2200,2024-08-07
Davangere,Davangere,Wheat,3281,3281,3281,2024-08-16
Davangere,Davangere,Wheat,2200,2200,2200,2024-09-04
Davangere,Davangere,Wheat,2500,2500,2500,2024-09-19
Davangere,Davangere,Wheat,2500,2500,2500,2024-09-30
Davangere,Davangere,Wheat,3400,4300,3850,2024-10-01
Davangere,Davangere,Wheat,2000,2500,2250,2024-10-10
Davangere,Davangere,Wheat,2000,2500,2250,2024-10-14
Davangere,Davangere,Wheat,2500,2500,2500,2024-10-22
Davangere,Davangere,Wheat,2400,2500,2450,2024-10-28
Davangere,Davangere,Wheat,1800,2550,2175,2024-11-04
Davangere,Davangere,Wheat,2500,3401,2950,2024-11-12
Davangere,Davangere,Wheat,2000,2500,2250,2024-11-13
Davangere,Davangere,Wheat,2500,2500,2500,2024-11-15
Davangere,Davangere,Wheat,2500,2500,2500,2024-11-25
Davangere,Davangere,Wheat,2500,2500,2500,2024-12-05
Davangere,Davangere,Wheat,2000,2000,2000,2024-12-06
Davangere,Davangere,Wheat,2400,2400,2400,2024-12-16
Davangere,Davangere,Wheat,2400,2700,2540,2024-12-30
Davangere,Davangere,Wheat,2400,2400,2400,2024-12-31
