district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Dharwad,Hubli (Amaragol),Wheat,1559,3005,2680,2020-01-02
Dharwad,Hubli (Amaragol),Wheat,1939,3139,1939,2020-01-10
Dharwad,Hubli (Amaragol),Wheat,2439,3201,2546,2020-01-11
Dharwad,Hubli (Amaragol),Wheat,2109,2939,2539,2020-01-17
Dharwad,Hubli (Amaragol),Wheat,1840,2810,2449,2020-01-18
Dharwad,Dharwar,Wheat,2793,2793,2793,2020-01-20
Dharwad,Hubli (Amaragol),Wheat,1669,2839,2401,2020-01-20
Dharwad,Hubli (Amaragol),Wheat,2259,2539,2259,2020-01-21
Dharwad,Hubli (Amaragol),Wheat,2209,2811,2489,2020-01-23
Dharwad,Hubli (Amaragol),Wheat,2109,2556,2209,2020-01-25
Dharwad,Hubli (Amaragol),Wheat,1559,2621,2256,2020-01-27
Dharwad,Hubli (Amaragol),Wheat,2019,2701,2109,2020-01-28
Dharwad,Hubli (Amaragol),Wheat,1511,2839,2229,2020-01-30
Dharwad,Hubli (Amaragol),Wheat,1739,2600,1739,2020-01-31
Dharwad,Hubli (Amaragol),Wheat,1861,2629,2339,2020-02-01
Dharwad,Hubli (Amaragol),Wheat,1529,2739,2329,2020-02-06
Dharwad,Hubli (Amaragol),Wheat,2036,2436,2229,2020-02-08
Dharwad,Hubli (Amaragol),Wheat,2050,2050,2050,2020-02-10
Dharwad,Hubli (Amaragol),Wheat,1529,2046,1976,2020-02-13
Dharwad,Hubli (Amaragol),Wheat,1769,2036,2026,2020-02-15
Dharwad,Hubli (Amaragol),Wheat,1876,2439,2409,2020-02-17
Dharwad,Hubli (Amaragol),Wheat,2026,2669,2609,2020-02-19
Dharwad,Hubli (Amaragol),Wheat,2156,2601,2326,2020-02-20
Dharwad,Hubli (Amaragol),Wheat,1890,2651,2339,2020-02-24
Dharwad,Dharwar,Wheat,2000,2000,2000,2020-02-25
Dharwad,Hubli (Amaragol),Wheat,2146,2425,2146,2020-02-26
Dharwad,Hubli (Amaragol),Wheat,1210,2570,2272,2020-03-02
Dharwad,Hubli (Amaragol),Wheat,2029,2129,2029,2020-03-04
Dharwad,Hubli (Amaragol),Wheat,1910,2630,1910,2020-03-07
Dharwad,Hubli (Amaragol),Wheat,1510,2630,1510,2020-03-09
Dharwad,Hubli (Amaragol),Wheat,1109,1769,1109,2020-03-10
Dharwad,Dharwar,Wheat,2100,2125,2116,2020-03-13
Dharwad,Hubli (Amaragol),Wheat,1509,2710,1829,2020-03-14
Dharwad,Hubli (Amaragol),Wheat,1209,2419,1702,2020-03-16
Dharwad,Hubli (Amaragol),Wheat,1010,1959,1010,2020-03-17
Dharwad,Hubli (Amaragol),Wheat,2029,2029,2029,2020-03-19
Dharwad,Hubli (Amaragol),Wheat,1270,1990,1409,2020-03-21
Dharwad,Dharwar,Wheat,1950,1950,1950,2020-04-08
Dharwad,Hubli (Amaragol),Wheat,1770,2290,2030,2020-04-09
Dharwad,Hubli (Amaragol),Wheat,1626,2690,2500,2020-04-16
Dharwad,Hubli (Amaragol),Wheat,2520,2820,2635,2020-04-18
Dharwad,Hubli (Amaragol),Wheat,2730,2730,2730,2020-04-23
Dharwad,Hubli (Amaragol),Wheat,1630,2330,2300,2020-04-24
Dharwad,Hubli (Amaragol),Wheat,1509,3769,2184,2020-04-25
Dharwad,Hubli (Amaragol),Wheat,2456,2929,2871,2020-04-27
Dharwad,Hubli (Amaragol),Wheat,1610,2990,2559,2020-04-28
Dharwad,Hubli (Amaragol),Wheat,2329,3229,2859,2020-05-02
Dharwad,Hubli (Amaragol),Wheat,2429,3239,2491,2020-05-05
Dharwad,Hubli (Amaragol),Wheat,2489,2489,2489,2020-05-06
Dharwad,Hubli (Amaragol),Wheat,2529,2529,2529,2020-05-08
Dharwad,Hubli (Amaragol),Wheat,2009,3409,2185,2020-05-09
Dharwad,Hubli (Amaragol),Wheat,1509,2570,1917,2020-05-12
Dharwad,Hubli (Amaragol),Wheat,2270,2870,2726,2020-05-14
Dharwad,Hubli (Amaragol),Wheat,4050,4050,4050,2020-05-16
Dharwad,Hubli (Amaragol),Wheat,2670,4010,3320,2020-05-18
Dharwad,Hubli (Amaragol),Wheat,3401,3401,3401,2020-05-20
Dharwad,Hubli (Amaragol),Wheat,2210,4130,3814,2020-05-21
Dharwad,Hubli (Amaragol),Wheat,2229,3961,2718,2020-05-23
Dharwad,Hubli (Amaragol),Wheat,2109,4151,3099,2020-05-28
Dharwad,Hubli (Amaragol),Wheat,1669,4189,2358,2020-05-30
Dharwad,Hubli (Amaragol),Wheat,2060,4140,2418,2020-06-02
Dharwad,Hubli (Amaragol),Wheat,1210,2890,2050,2020-06-04
Dharwad,Dharwar,Wheat,2100,2100,2100,2020-06-05
Dharwad,Hubli (Amaragol),Wheat,1209,2889,2688,2020-06-06
Dharwad,Hubli (Amaragol),Wheat,1229,1809,1229,2020-06-08
Dharwad,Hubli (Amaragol),Wheat,2216,4372,3309,2020-06-13
Dharwad,Dharwar,Wheat,3000,3300,3150,2020-06-20
Dharwad,Hubli (Amaragol),Wheat,2069,2069,2069,2020-06-20
Dharwad,Hubli (Amaragol),Wheat,2139,4479,3369,2020-06-25
Dharwad,Hubli (Amaragol),Wheat,2069,2069,2069,2020-06-26
Dharwad,Dharwar,Wheat,2000,2000,2000,2020-06-27
Dharwad,Hubli (Amaragol),Wheat,2469,3851,2469,2020-06-27
Dharwad,Hubli (Amaragol),Wheat,1501,2102,2069,2020-07-02
Dharwad,Hubli (Amaragol),Wheat,2010,4469,2010,2020-07-04
Dharwad,Hubli (Amaragol),Wheat,1729,2446,1729,2020-07-06
Dharwad,Dharwar,Wheat,2100,2100,2100,2020-07-07
Dharwad,Hubli (Amaragol),Wheat,1956,2636,1956,2020-07-11
Dharwad,Hubli (Amaragol),Wheat,1876,3289,2126,2020-07-13
Dharwad,Kalagategi,Wheat,1700,1700,1700,2020-07-23
Dharwad,Hubli (Amaragol),Wheat,1909,3339,1909,2020-07-25
Dharwad,Hubli (Amaragol),Wheat,1209,1209,1209,2020-07-30
Dharwad,Hubli (Amaragol),Wheat,1209,1889,1209,2020-08-03
Dharwad,Hubli (Amaragol),Wheat,2076,3619,3009,2020-08-08
Dharwad,Hubli (Amaragol),Wheat,3019,3019,3019,2020-08-11
Dharwad,Dharwar,Wheat,1900,1900,1900,2020-08-12
Dharwad,Hubli (Amaragol),Wheat,2631,2631,2631,2020-08-13
Dharwad,Hubli (Amaragol),Wheat,1646,1746,1646,2020-08-20
Dharwad,Hubli (Amaragol),Wheat,1629,2026,1889,2020-08-24
Dharwad,Dharwar,Wheat,4000,4000,4000,2020-08-24
Dharwad,Hubli (Amaragol),Wheat,1009,2046,1569,2020-08-27
Dharwad,Hubli (Amaragol),Wheat,1419,1509,1419,2020-08-29
Dharwad,Hubli (Amaragol),Wheat,1856,2109,1856,2020-09-01
Dharwad,Hubli (Amaragol),Wheat,1826,2326,2176,2020-09-05
Dharwad,Hubli (Amaragol),Wheat,2501,2501,2501,2020-09-10
Dharwad,Dharwar,Wheat,1800,1800,1800,2020-09-14
Dharwad,Dharwar,Wheat,1650,1650,1650,2020-09-22
Dharwad,Kalagategi,Wheat,1600,1600,1600,2020-09-24
Dharwad,Kalagategi,Wheat,1600,1600,1600,2020-09-28
Dharwad,Hubli (Amaragol),Wheat,759,2411,809,2020-09-30
Dharwad,Hubli (Amaragol),Wheat,1289,2570,1289,2020-10-01
Dharwad,Hubli (Amaragol),Wheat,1609,2069,1609,2020-10-06
Dharwad,Dharwar,Wheat,900,900,900,2020-10-07
Dharwad,Kalagategi,Wheat,1600,1600,1600,2020-10-08
Dharwad,Hubli (Amaragol),Wheat,909,2510,1229,2020-10-08
Dharwad,Hubli (Amaragol),Wheat,1570,2470,2141,2020-10-09
Dharwad,Hubli (Amaragol),Wheat,709,3032,2499,2020-10-19
