district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Gadag,Gadag,Wheat,2000,3327,2596,2020-01-01
Gadag,Gadag,Wheat,1407,2769,2550,2020-01-02
Gadag,Gadag,Wheat,1607,3359,2478,2020-01-04
Gadag,Gadag,Wheat,1659,2657,2357,2020-01-06
Gadag,Nargunda,Wheat,2400,2400,2400,2020-01-06
Gadag,Nargunda,Wheat,2321,2400,2335,2020-01-07
Gadag,Gadag,Wheat,1411,3077,2591,2020-01-07
Gadag,Gadag,Wheat,2069,2609,2220,2020-01-08
Gadag,Laxmeshwar,Wheat,2015,2489,2294,2020-01-09
Gadag,Gadag,Wheat,1717,2677,2149,2020-01-09
Gadag,Gadag,Wheat,1629,2628,2329,2020-01-11
Gadag,Gadag,Wheat,1911,2977,2245,2020-01-13
Gadag,Nargunda,Wheat,2400,2400,2400,2020-01-13
Gadag,Gadag,Wheat,2150,3569,2637,2020-01-14
Gadag,Nargunda,Wheat,2300,2300,2300,2020-01-16
Gadag,Gadag,Wheat,2222,2420,2282,2020-01-16
Gadag,Nargunda,Wheat,2304,2304,2304,2020-01-17
Gadag,Gadag,Wheat,2175,3302,2271,2020-01-17
Gadag,Gadag,Wheat,1717,2507,2258,2020-01-18
Gadag,Nargunda,Wheat,2300,2400,2335,2020-01-18
Gadag,Gadag,Wheat,1929,3201,2495,2020-01-20
Gadag,Nargunda,Wheat,2305,2305,2305,2020-01-20
Gadag,Nargunda,Wheat,2250,2250,2250,2020-01-21
Gadag,Gadag,Wheat,2216,3211,2595,2020-01-21
Gadag,Gadag,Wheat,1701,2929,2342,2020-01-22
Gadag,Gadag,Wheat,1590,2701,2556,2020-01-23
Gadag,Gadag,Wheat,1604,3500,2228,2020-01-25
Gadag,Gadag,Wheat,1869,3159,2423,2020-01-27
Gadag,Gadag,Wheat,1704,2977,2053,2020-01-29
Gadag,Gadag,Wheat,1789,3077,2394,2020-01-30
Gadag,Nargunda,Wheat,2350,2350,2350,2020-01-30
Gadag,Gadag,Wheat,2000,2812,2203,2020-01-31
Gadag,Nargunda,Wheat,2226,2226,2226,2020-02-01
Gadag,Gadag,Wheat,1922,2912,2413,2020-02-03
Gadag,Laxmeshwar,Wheat,1422,2065,1692,2020-02-03
Gadag,Nargunda,Wheat,2222,2228,2225,2020-02-03
Gadag,Gadag,Wheat,2100,2912,2369,2020-02-04
Gadag,Gadag,Wheat,1404,3337,2413,2020-02-05
Gadag,Gadag,Wheat,2022,2651,2338,2020-02-06
Gadag,Gadag,Wheat,2020,2851,2113,2020-02-07
Gadag,Gadag,Wheat,1677,2943,2347,2020-02-08
Gadag,Gadag,Wheat,1612,2956,2115,2020-02-10
Gadag,Nargunda,Wheat,2300,2350,2313,2020-02-10
Gadag,Gadag,Wheat,2222,2222,2222,2020-02-11
Gadag,Gadag,Wheat,1807,2713,2417,2020-02-12
Gadag,Gadag,Wheat,2002,2577,2270,2020-02-13
Gadag,Nargunda,Wheat,2300,2300,2300,2020-02-13
Gadag,Laxmeshwar,Wheat,1759,2859,2239,2020-02-14
Gadag,Gadag,Wheat,2150,2150,2150,2020-02-14
Gadag,Gadag,Wheat,1602,2877,2308,2020-02-15
Gadag,Gadag,Wheat,1639,3372,2546,2020-02-17
Gadag,Nargunda,Wheat,1700,1700,1700,2020-02-17
Gadag,Gadag,Wheat,1922,2911,2074,2020-02-18
Gadag,Gadag,Wheat,1861,3011,2419,2020-02-19
Gadag,Gadag,Wheat,1616,3159,2242,2020-02-20
Gadag,Gadag,Wheat,1896,3229,2659,2020-02-24
Gadag,Nargunda,Wheat,2200,2400,2301,2020-02-24
Gadag,Nargunda,Wheat,2000,2300,2058,2020-02-26
Gadag,Gadag,Wheat,1560,2315,1604,2020-02-26
Gadag,Gadag,Wheat,2515,2812,2761,2020-02-27
Gadag,Gadag,Wheat,1877,3239,2642,2020-02-29
Gadag,Nargunda,Wheat,2350,2350,2350,2020-03-02
Gadag,Gadag,Wheat,1727,2613,2211,2020-03-02
Gadag,Nargunda,Wheat,2230,2280,2260,2020-03-03
Gadag,Gadag,Wheat,2159,3043,2371,2020-03-03
Gadag,Gadag,Wheat,1819,3255,2889,2020-03-04
Gadag,Nargunda,Wheat,2080,2300,2232,2020-03-04
Gadag,Gadag,Wheat,2009,2515,2302,2020-03-05
Gadag,Gadag,Wheat,1807,3430,2445,2020-03-06
Gadag,Gadag,Wheat,1777,3131,2817,2020-03-07
Gadag,Nargunda,Wheat,2000,2100,2065,2020-03-07
Gadag,Nargunda,Wheat,2000,2200,2092,2020-03-09
Gadag,Nargunda,Wheat,2032,2250,2142,2020-03-10
Gadag,Gadag,Wheat,2343,2412,2393,2020-03-10
Gadag,Gadag,Wheat,1907,2977,2217,2020-03-11
Gadag,Nargunda,Wheat,2080,2100,2091,2020-03-11
Gadag,Gadag,Wheat,1369,2757,1999,2020-03-12
Gadag,Nargunda,Wheat,1950,2100,2030,2020-03-12
Gadag,Nargunda,Wheat,1800,2150,2071,2020-03-13
Gadag,Gadag,Wheat,1377,3417,2175,2020-03-14
Gadag,Gadag,Wheat,1461,3389,2055,2020-03-16
Gadag,Nargunda,Wheat,1900,2223,2088,2020-03-16
Gadag,Nargunda,Wheat,1960,2235,2085,2020-03-17
Gadag,Gadag,Wheat,1704,3417,1945,2020-03-17
Gadag,Nargunda,Wheat,1975,2150,2048,2020-03-18
Gadag,Gadag,Wheat,1504,3143,2310,2020-03-18
Gadag,Gadag,Wheat,1211,2112,1500,2020-03-19
Gadag,Nargunda,Wheat,1900,2150,2037,2020-03-19
Gadag,Gadag,Wheat,1739,3500,2432,2020-03-20
Gadag,Nargunda,Wheat,1900,2200,2046,2020-03-20
Gadag,Nargunda,Wheat,1900,2150,2023,2020-03-21
Gadag,Gadag,Wheat,1461,3465,2721,2020-03-21
Gadag,Nargunda,Wheat,1800,2150,2080,2020-03-23
Gadag,Gadag,Wheat,2277,2277,2277,2020-03-23
