district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Hassan,Hassan,Wheat,2748,2935,2800,2020-01-10
Hassan,Hassan,Wheat,2844,2881,2881,2020-01-13
Hassan,Hassan,Wheat,2868,2974,2966,2020-01-27
Hassan,Hassan,Wheat,3000,3000,3000,2020-01-30
Hassan,Hassan,Wheat,2975,3033,2985,2020-01-31
Hassan,Hassan,Wheat,2851,2851,2851,2020-02-04
Hassan,Hassan,Wheat,2831,2831,2831,2020-02-13
Hassan,Hassan,Wheat,3000,3000,3000,2020-02-17
Hassan,Hassan,Wheat,2805,2805,2805,2020-02-18
Hassan,Arasikere,Wheat,2600,2600,2600,2020-02-20
Hassan,Hassan,Wheat,2825,2825,2825,2020-02-20
Hassan,Hassan,Wheat,2828,2909,2832,2020-02-24
Hassan,Arasikere,Wheat,2711,2711,2711,2020-02-26
Hassan,Arasikere,Wheat,1650,1650,1650,2020-02-27
Hassan,Hassan,Wheat,2436,2978,2816,2020-03-10
Hassan,Hassan,Wheat,2575,2575,2575,2020-03-12
Hassan,Arasikere,Wheat,1500,3000,2500,2020-03-12
Hassan,Hassan,Wheat,2445,2445,2445,2020-03-20
Hassan,Hassan,Wheat,2434,2473,2473,2020-03-26
Hassan,Hassan,Wheat,2440,2440,2440,2020-03-30
Hassan,Hassan,Wheat,2352,2352,2352,2020-03-31
Hassan,Hassan,Wheat,2746,2746,2746,2020-04-20
Hassan,Hassan,Wheat,2900,2900,2900,2020-04-28
Hassan,Hassan,Wheat,2440,2440,2440,2020-04-30
Hassan,Hassan,Wheat,2375,2500,2475,2020-05-12
Hassan,Arasikere,Wheat,2450,2550,2450,2020-05-13
Hassan,Hassan,Wheat,2825,2825,2825,2020-05-20
Hassan,Hassan,Wheat,2275,2625,2525,2020-05-22
Hassan,Hassan,Wheat,2438,2592,2438,2020-05-28
Hassan,Hassan,Wheat,2570,2570,2570,2020-05-29
Hassan,Hassan,Wheat,2525,2550,2550,2020-06-05
Hassan,Hassan,Wheat,2425,2550,2525,2020-06-11
Hassan,Hassan,Wheat,2444,2516,2465,2020-06-23
Hassan,Hassan,Wheat,2525,2525,2525,2020-06-29
Hassan,Hassan,Wheat,2467,2500,2467,2020-06-30
Hassan,Arasikere,Wheat,2275,2390,2300,2020-07-06
Hassan,Hassan,Wheat,2350,2500,2375,2020-07-07
Hassan,Hassan,Wheat,2525,2525,2525,2020-07-17
Hassan,Hassan,Wheat,2476,2515,2484,2020-07-27
Hassan,Hassan,Wheat,1500,1500,1500,2020-07-29
Hassan,Hassan,Wheat,2470,2470,2470,2020-07-30
Hassan,Hassan,Wheat,2300,2300,2300,2020-08-11
Hassan,Hassan,Wheat,2325,2525,2500,2020-08-24
Hassan,Arasikere,Wheat,2225,2380,2225,2020-08-26
Hassan,Hassan,Wheat,2325,2525,2500,2020-09-04
Hassan,Hassan,Wheat,2490,2515,2515,2020-09-11
Hassan,Hassan,Wheat,2525,2525,2525,2020-09-22
Hassan,Hassan,Wheat,2389,2444,2444,2020-09-29
Hassan,Hassan,Wheat,2524,2524,2524,2020-09-30
Hassan,Hassan,Wheat,2542,2542,2542,2020-10-13
Hassan,Hassan,Wheat,2319,2319,2319,2020-10-28
Hassan,Hassan,Wheat,2535,2535,2535,2020-11-04
Hassan,Hassan,Wheat,2550,2550,2550,2020-11-19
Hassan,Hassan,Wheat,2558,2558,2558,2020-11-25
Hassan,Hassan,Wheat,2319,2319,2319,2020-11-30
Hassan,Hassan,Wheat,2563,2563,2563,2020-12-09
Hassan,Hassan,Wheat,2444,2444,2444,2020-12-31
Hassan,Hassan,Wheat,2563,2563,2563,2021-02-11
Hassan,Hassan,Wheat,2425,2425,2425,2021-02-23
Hassan,Hassan,Wheat,2460,2460,2460,2021-02-26
Hassan,Hassan,Wheat,2400,2425,2425,2021-03-30
Hassan,Hassan,Wheat,2380,2380,2380,2021-03-31
Hassan,Hassan,Wheat,2410,2410,2410,2021-04-30
Hassan,Hassan,Wheat,2500,2500,2500,2021-05-31
Hassan,Hassan,Wheat,2650,2650,2650,2021-07-14
Hassan,Hassan,Wheat,2662,2662,2662,2021-08-30
Hassan,Arasikere,Wheat,2250,2510,2390,2021-08-31
Hassan,Hassan,Wheat,2690,2690,2690,2021-09-21
Hassan,Arasikere,Wheat,2350,2585,2410,2021-10-22
Hassan,Hassan,Wheat,2735,2735,2735,2021-10-26
Hassan,Hassan,Wheat,2712,2712,2712,2021-10-28
Hassan,Hassan,Wheat,2606,2606,2606,2021-10-30
Hassan,Arasikere,Wheat,2441,2675,2500,2021-11-24
Hassan,Hassan,Wheat,2750,2775,2750,2021-11-30
Hassan,Hassan,Wheat,2700,2725,2725,2021-12-20
Hassan,Arasikere,Wheat,2411,2411,2411,2022-01-04
Hassan,Hassan,Wheat,2675,2700,2700,2022-01-29
Hassan,Arasikere,Wheat,2411,2560,2500,2022-02-10
Hassan,Arasikere,Wheat,2411,2411,2411,2022-02-18
Hassan,Hassan,Wheat,2700,2700,2700,2022-02-19
Hassan,Hassan,Wheat,2100,2100,2100,2022-02-28
Hassan,Arasikere,Wheat,2490,2835,2700,2022-03-11
Hassan,Hassan,Wheat,2678,2678,2678,2022-03-18
Hassan,Arasikere,Wheat,2950,2950,2950,2022-03-24
Hassan,Hassan,Wheat,2660,2660,2660,2022-03-31
Hassan,Arasikere,Wheat,2725,2725,2725,2022-04-19
Hassan,Hassan,Wheat,2775,3025,2775,2022-04-28
Hassan,Hassan,Wheat,2100,2100,2100,2022-04-30
Hassan,Arasikere,Wheat,2690,2690,2690,2022-05-26
Hassan,Hassan,Wheat,2100,2100,2100,2022-05-27
Hassan,Hassan,Wheat,3050,3050,3050,2022-06-18
Hassan,Arasikere,Wheat,2650,2825,2710,2022-07-12
Hassan,Hassan,Wheat,2925,2925,2925,2022-07-26
Hassan,Arasikere,Wheat,2720,2950,2800,2022-08-17
Hassan,Hassan,Wheat,3025,3050,3050,2022-08-23
Hassan,Hassan,Wheat,3075,3075,3075,2022-09-20
