district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Haveri,Ranebennur,Wheat,2635,2635,2635,2020-01-24
Haveri,Haveri,Wheat,2100,2100,2100,2020-01-28
Haveri,Ranebennur,Wheat,2600,2600,2600,2020-01-31
Haveri,Hanagal,Wheat,2000,2000,2000,2020-02-10
Haveri,Haveri,Wheat,2475,2475,2475,2020-03-04
Haveri,Hanagal,Wheat,1950,1950,1950,2020-03-05
Haveri,Ranebennur,Wheat,2400,2480,2475,2020-03-06
Haveri,Hanagal,Wheat,1950,1950,1950,2020-03-09
Haveri,Ranebennur,Wheat,2675,2675,2675,2020-03-13
Haveri,Haveri,Wheat,1900,1900,1900,2020-03-17
Haveri,Hanagal,Wheat,1900,1900,1900,2020-03-19
Haveri,Haveri,Wheat,2400,2400,2400,2020-03-21
Haveri,Hanagal,Wheat,1800,1800,1800,2020-04-13
Haveri,Ranebennur,Wheat,2600,2600,2600,2020-04-24
Haveri,Shiggauv,Wheat,1800,1850,1820,2020-05-07
Haveri,Hanagal,Wheat,1850,1850,1850,2020-05-08
Haveri,Shiggauv,Wheat,1800,1830,1820,2020-05-10
Haveri,Haveri,Wheat,1920,1920,1920,2020-06-15
Haveri,Ranebennur,Wheat,2760,2760,2760,2020-06-29
Haveri,Ranebennur,Wheat,2760,2760,2760,2020-06-30
Haveri,Ranebennur,Wheat,2500,2500,2500,2020-07-14
Haveri,Shiggauv,Wheat,1470,1580,1560,2020-07-26
Haveri,Ranebennur,Wheat,2375,2400,2390,2020-08-06
Haveri,Haveri,Wheat,1750,1750,1750,2020-09-21
Haveri,Ranebennur,Wheat,2200,2200,2200,2020-09-25
Haveri,Ranebennur,Wheat,2400,2400,2400,2020-09-30
Haveri,Haveri,Wheat,1700,1700,1700,2020-10-07
Haveri,Haveri,Wheat,1700,1700,1700,2020-11-09
Haveri,Haveri,Wheat,1750,1750,1750,2020-12-22
Haveri,Haveri,Wheat,1750,1750,1750,2021-01-11
Haveri,Ranebennur,Wheat,2400,2400,2400,2021-01-13
Haveri,Ranebennur,Wheat,2450,2450,2450,2021-02-16
Haveri,Shiggauv,Wheat,1300,1300,1300,2021-02-22
Haveri,Shiggauv,Wheat,1200,1200,1200,2021-03-03
Haveri,Shiggauv,Wheat,1610,1610,1610,2021-03-07
Haveri,Shiggauv,Wheat,1200,1200,1200,2021-03-09
Haveri,Haveri,Wheat,1900,1900,1900,2021-03-11
Haveri,Shiggauv,Wheat,1300,1300,1300,2021-03-28
Haveri,Ranebennur,Wheat,2600,2600,2600,2021-06-24
Haveri,Ranebennur,Wheat,2500,2500,2500,2021-06-30
Haveri,Ranebennur,Wheat,2500,2500,2500,2021-07-19
Haveri,Ranebennur,Wheat,2250,2500,2400,2021-08-18
Haveri,Ranebennur,Wheat,2600,2600,2600,2021-10-21
Haveri,Ranebennur,Wheat,2525,2525,2525,2021-10-27
Haveri,Ranebennur,Wheat,2600,2600,2600,2022-02-09
Haveri,Haveri,Wheat,2300,2300,2300,2024-03-19
Haveri,Haveri,Wheat,2960,3000,2960,2024-09-30
