district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Kalburgi,Chittapur,Wheat,1800,5023,4400,2021-02-03
Kalburgi,Chittapur,Wheat,2450,5004,4850,2021-02-10
Kalburgi,Chittapur,Wheat,2200,4889,4500,2021-02-14
Kalburgi,Kalburgi,Wheat,1950,2425,2150,2021-07-14
Kalburgi,Kalburgi,Wheat,1800,2500,2100,2021-08-16
Kalburgi,Kalburgi,Wheat,2400,3600,3050,2024-05-29
Kalburgi,Kalburgi,Wheat,3500,5100,4400,2024-06-15
Kalburgi,Kalburgi,Wheat,4000,5100,4550,2024-06-25
Kalburgi,Kalburgi,Wheat,2200,3600,2850,2024-06-28
Kalburgi,Kalburgi,Wheat,2100,3500,2700,2024-06-29
Kalburgi,Kalburgi,Wheat,4000,4500,4250,2024-07-04
Kalburgi,Kalburgi,Wheat,3000,3500,3300,2024-07-06
Kalburgi,Kalburgi,Wheat,3100,3600,3350,2024-07-08
Kalburgi,Kalburgi,Wheat,2200,2400,2300,2024-07-09
Kalburgi,Kalburgi,Wheat,2100,2500,2350,2024-07-10
Kalburgi,Kalburgi,Wheat,4000,4800,4300,2024-07-18
Kalburgi,Kalburgi,Wheat,4100,4750,4400,2024-07-19
Kalburgi,Kalburgi,Wheat,3500,4500,4000,2024-07-23
Kalburgi,Kalburgi,Wheat,4100,4700,4400,2024-07-29
Kalburgi,Kalburgi,Wheat,3500,5500,4500,2024-08-14
Kalburgi,Kalburgi,Wheat,2200,3400,2800,2024-09-06
