district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Kolar,Malur,Wheat,2300,4000,2507,2020-02-15
Kolar,Malur,Wheat,2300,3000,2507,2020-02-26
Kolar,Malur,Wheat,2300,3500,2507,2020-02-29
Kolar,Malur,Wheat,2300,3000,2516,2020-03-13
Kolar,Malur,Wheat,2300,3000,2523,2020-03-21
Kolar,Malur,Wheat,2300,3000,2393,2020-03-31
Kolar,Malur,Wheat,2000,2800,2351,2020-04-10
Kolar,Malur,Wheat,2000,3000,2365,2020-04-25
Kolar,Bangarpet,Wheat,1850,2000,1950,2020-07-10
Kolar,Malur,Wheat,700,1200,841,2020-10-17
Kolar,Malur,Wheat,1000,1300,1150,2020-11-25
Kolar,Malur,Wheat,2000,2500,2156,2021-01-30
Kolar,Malur,Wheat,1800,2200,2156,2021-02-03
Kolar,Malur,Wheat,2000,2500,2157,2021-02-16
Kolar,Malur,Wheat,2000,2300,2157,2021-02-25
Kolar,Malur,Wheat,1800,2500,2157,2021-03-05
Kolar,Malur,Wheat,1800,2300,2154,2021-03-31
Kolar,Malur,Wheat,2000,2500,2200,2021-04-28
Kolar,Malur,Wheat,1800,2200,1955,2023-01-11
Kolar,Bangarpet,Wheat,3000,3500,3300,2023-01-13
Kolar,Malur,Wheat,2000,2500,2262,2023-10-11
Kolar,Gowribidanoor,Wheat,2500,3310,3000,2024-05-31
Kolar,Bangarpet,Wheat,3000,3500,3300,2024-08-08
Kolar,Bangarpet,Wheat,3200,3600,3400,2024-09-13
Kolar,Bangarpet,Wheat,4000,4500,4300,2024-09-26
Kolar,Bangarpet,Wheat,3000,3600,3300,2024-10-25
Kolar,Bangarpet,Wheat,4000,4300,4100,2024-11-14
