district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Koppal,Gangavathi,Wheat,1950,2000,1978,2020-01-13
Koppal,Gangavathi,Wheat,2150,2150,2150,2020-01-18
Koppal,Gangavathi,Wheat,2150,2150,2150,2020-01-20
Koppal,Gangavathi,Wheat,2100,2100,2100,2020-01-23
Koppal,Gangavathi,Wheat,2310,2310,2310,2020-02-10
Koppal,Gangavathi,Wheat,2150,2150,2150,2020-02-12
Koppal,Gangavathi,Wheat,2200,2210,2210,2020-02-18
Koppal,Gangavathi,Wheat,2100,2100,2100,2020-02-28
Koppal,Koppal,Wheat,1676,3840,1892,2020-03-05
Koppal,Kustagi,Wheat,2311,2311,2311,2020-03-15
Koppal,Gangavathi,Wheat,1851,1851,1851,2020-03-26
Koppal,Kustagi,Wheat,1900,1900,1900,2020-04-07
Koppal,Gangavathi,Wheat,1950,1950,1950,2020-06-12
Koppal,Gangavathi,Wheat,2912,2912,2912,2020-08-20
Koppal,Gangavathi,Wheat,1875,1875,1875,2020-08-21
Koppal,Gangavathi,Wheat,1800,1800,1800,2020-10-19
Koppal,Gangavathi,Wheat,1800,1800,1800,2020-10-20
Koppal,Gangavathi,Wheat,2000,2000,2000,2022-01-27
Koppal,Gangavathi,Wheat,1985,1995,1990,2022-03-21
Koppal,Gangavathi,Wheat,1980,1990,1985,2022-03-30
Koppal,Gangavathi,Wheat,2000,2000,2000,2022-04-20
Koppal,Gangavathi,Wheat,2010,2020,2010,2022-05-07
Koppal,Gangavathi,Wheat,2040,2060,2050,2022-05-21
Koppal,Gangavathi,Wheat,2010,2060,2030,2022-05-30
Koppal,Gangavathi,Wheat,1800,1800,1800,2022-06-21
Koppal,Gangavathi,Wheat,2500,2500,2500,2022-09-30
Koppal,Gangavathi,Wheat,2500,2500,2500,2022-10-10
Koppal,Kustagi,Wheat,2080,2130,2109,2022-12-04
Koppal,Gangavathi,Wheat,3300,3300,3300,2023-03-24
Koppal,Gangavathi,Wheat,2850,2850,2850,2023-07-07
Koppal,Gangavathi,Wheat,2140,2150,2150,2023-10-30
Koppal,Gangavathi,Wheat,2500,2600,2600,2023-11-07
Koppal,Gangavathi,Wheat,2600,2600,2600,2023-12-18
Koppal,Gangavathi,Wheat,2450,2500,2450,2024-03-20
Koppal,Koppal,Wheat,1609,2025,1728,2024-03-21
