district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Mangalore(Dakshin Kannad),Mangalore,Wheat,900,2900,2800,2021-11-23
Mangalore(Dakshin Kannad),Mangalore,Wheat,1700,1900,1800,2021-12-02
Mangalore(Dakshin Kannad),Mangalore,Wheat,1600,2000,1800,2021-12-06
Mangalore(Dakshin Kannad),Mangalore,Wheat,1500,2000,1800,2021-12-13
Mangalore(Dakshin Kannad),Mangalore,Wheat,1500,2000,1800,2021-12-21
Mangalore(Dakshin Kannad),Mangalore,Wheat,1800,2000,1900,2022-01-11
Mangalore(Dakshin Kannad),Mangalore,Wheat,1800,2000,1900,2022-02-05
Mangalore(Dakshin Kannad),Mangalore,Wheat,1000,2000,1900,2022-03-07
Mangalore(Dakshin Kannad),Mangalore,Wheat,1800,2400,2200,2022-03-21
Mangalore(Dakshin Kannad),Mangalore,Wheat,1800,2100,2000,2022-03-31
Mangalore(Dakshin Kannad),Mangalore,Wheat,1800,2500,2200,2022-04-05
Mangalore(Dakshin Kannad),Mangalore,Wheat,3000,3290,3170,2022-04-13
Mangalore(Dakshin Kannad),Mangalore,Wheat,2200,2300,2250,2022-04-16
Mangalore(Dakshin Kannad),Mangalore,Wheat,1900,2300,2200,2022-06-16
Mangalore(Dakshin Kannad),Mangalore,Wheat,3719,3866,3746,2024-02-01
Mangalore(Dakshin Kannad),Mangalore,Wheat,3500,4000,3800,2024-03-12
