district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Mysore,T. Narasipura,Wheat,1600,2100,2038,2020-01-01
Mysore,T. Narasipura,Wheat,1600,1890,1800,2020-01-02
Mysore,Mysore (Bandipalya),Wheat,2900,3400,3150,2020-01-02
Mysore,T. Narasipura,Wheat,1700,1800,1800,2020-01-03
Mysore,Mysore (Bandipalya),Wheat,3000,3400,3200,2020-01-03
Mysore,T. Narasipura,Wheat,1600,2500,2028,2020-01-04
Mysore,Mysore (Bandipalya),Wheat,2800,3400,3100,2020-01-04
Mysore,T. Narasipura,Wheat,1600,2350,1700,2020-01-06
Mysore,Mysore (Bandipalya),Wheat,2900,3400,3150,2020-01-06
Mysore,Mysore (Bandipalya),Wheat,3000,3400,3200,2020-01-07
Mysore,Mysore (Bandipalya),Wheat,3000,3400,3200,2020-01-08
Mysore,Mysore (Bandipalya),Wheat,2700,3300,3000,2020-01-13
Mysore,Mysore (Bandipalya),Wheat,2700,3300,3000,2020-01-14
Mysore,Mysore (Bandipalya),Wheat,2700,3300,3000,2020-01-16
Mysore,Mysore (Bandipalya),Wheat,2700,3300,3000,2020-01-17
Mysore,Mysore (Bandipalya),Wheat,2700,3400,3050,2020-01-18
Mysore,Mysore (Bandipalya),Wheat,3300,3600,3450,2020-01-21
Mysore,Mysore (Bandipalya),Wheat,3300,3600,3450,2020-01-22
Mysore,Mysore (Bandipalya),Wheat,3400,3600,3500,2020-01-24
Mysore,Mysore (Bandipalya),Wheat,3200,3600,3400,2020-01-27
Mysore,Mysore (Bandipalya),Wheat,3200,3600,3400,2020-01-28
Mysore,Mysore (Bandipalya),Wheat,3100,3600,3350,2020-01-29
Mysore,Mysore (Bandipalya),Wheat,3000,3600,3300,2020-01-31
Mysore,Mysore (Bandipalya),Wheat,3000,3600,3300,2020-02-01
Mysore,T. Narasipura,Wheat,1500,1500,1500,2020-02-01
