district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Raichur,Manvi,Wheat,1800,1800,1800,2020-05-11
Raichur,Lingasugur,Wheat,2500,2500,2500,2020-05-18
Raichur,Manvi,Wheat,1915,1915,1915,2020-06-04
Raichur,Manvi,Wheat,1730,1730,1730,2020-07-09
Raichur,Manvi,Wheat,1910,1910,1910,2020-08-03
Raichur,Manvi,Wheat,1810,1810,1810,2020-08-07
Raichur,Manvi,Wheat,1815,1820,1817,2020-08-10
Raichur,Manvi,Wheat,1800,1800,1800,2020-09-07
Raichur,Manvi,Wheat,1790,1790,1790,2020-09-09
Raichur,Manvi,Wheat,1800,1800,1800,2020-09-15
Raichur,Manvi,Wheat,1750,1770,1760,2020-10-28
Raichur,Manvi,Wheat,1770,1770,1770,2020-11-02
Raichur,Manvi,Wheat,1760,1760,1760,2020-12-02
Raichur,Manvi,Wheat,1770,1770,1770,2020-12-04
Raichur,Manvi,Wheat,1750,1760,1758,2020-12-16
Raichur,Manvi,Wheat,1740,1740,1740,2021-01-04
Raichur,Manvi,Wheat,1770,1770,1770,2021-02-05
Raichur,Manvi,Wheat,1800,1800,1800,2021-03-01
Raichur,Manvi,Wheat,1920,1930,1928,2021-04-23
Raichur,Manvi,Wheat,1800,1800,1800,2021-05-03
Raichur,Manvi,Wheat,1800,1800,1800,2021-05-17
Raichur,Manvi,Wheat,1800,1805,1803,2021-06-02
Raichur,Manvi,Wheat,1800,1800,1800,2021-06-07
Raichur,Manvi,Wheat,1800,1800,1800,2021-06-10
Raichur,Sindhanur,Wheat,1280,1280,1280,2021-06-14
Raichur,Manvi,Wheat,1800,1800,1800,2021-07-02
Raichur,Manvi,Wheat,1600,1600,1600,2021-07-03
Raichur,Manvi,Wheat,1750,1750,1750,2021-07-26
Raichur,Manvi,Wheat,1850,1850,1850,2021-08-27
Raichur,Manvi,Wheat,1850,1850,1850,2021-08-31
Raichur,Manvi,Wheat,1920,1920,1920,2021-11-30
Raichur,Sindhanur,Wheat,1680,1720,1680,2021-12-27
Raichur,Manvi,Wheat,1970,1970,1970,2022-01-21
Raichur,Manvi,Wheat,1880,1890,1885,2022-02-17
Raichur,Manvi,Wheat,2050,2050,2050,2022-03-11
Raichur,Manvi,Wheat,2070,2080,2075,2022-04-04
Raichur,Manvi,Wheat,2100,2100,2100,2022-04-16
Raichur,Manvi,Wheat,1950,1950,1950,2022-06-04
Raichur,Manvi,Wheat,2400,2400,2400,2022-08-29
Raichur,Manvi,Wheat,2400,2400,2400,2022-09-01
Raichur,Manvi,Wheat,2400,2400,2400,2022-09-02
Raichur,Manvi,Wheat,2400,2400,2400,2022-09-03
Raichur,Manvi,Wheat,2400,2400,2400,2022-09-12
Raichur,Manvi,Wheat,2400,2400,2400,2022-10-01
Raichur,Manvi,Wheat,2400,2400,2400,2022-10-25
Raichur,Manvi,Wheat,2400,2400,2400,2022-10-27
Raichur,Manvi,Wheat,2500,2500,2500,2022-12-02
Raichur,Manvi,Wheat,2650,2650,2650,2022-12-19
Raichur,Manvi,Wheat,2000,2000,2000,2023-03-02
Raichur,Manvi,Wheat,2100,2100,2100,2023-03-13
Raichur,Manvi,Wheat,2250,2250,2250,2023-07-10
Raichur,Manvi,Wheat,2500,2540,2520,2023-07-31
Raichur,Manvi,Wheat,2550,2550,2550,2023-08-21
Raichur,Manvi,Wheat,2400,2400,2400,2023-11-13
Raichur,Manvi,Wheat,2400,2420,2407,2023-11-20
Raichur,Manvi,Wheat,2400,2420,2410,2023-11-21
Raichur,Manvi,Wheat,2520,2580,2552,2024-10-16
