district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Shimoga,Shimoga,Wheat,3400,3600,3500,2020-01-01
Shimoga,Shimoga,Wheat,3200,3500,3350,2020-01-03
Shimoga,Shimoga,Wheat,3200,3500,3350,2020-01-04
Shimoga,Shimoga,Wheat,3200,3500,3350,2020-01-06
Shimoga,Bhadravathi,Wheat,2575,2700,2638,2020-01-07
Shimoga,Shimoga,Wheat,3200,3500,3350,2020-01-07
Shimoga,Shimoga,Wheat,3200,3500,3350,2020-01-08
Shimoga,Shimoga,Wheat,3200,3400,3200,2020-01-09
Shimoga,Shimoga,Wheat,3000,3400,3200,2020-01-13
Shimoga,Bhadravathi,Wheat,2956,3200,3014,2020-01-14
Shimoga,Shimoga,Wheat,3200,3400,3300,2020-01-14
Shimoga,Shimoga,Wheat,3200,3400,3300,2020-01-16
Shimoga,Bhadravathi,Wheat,2787,2787,2787,2020-01-17
Shimoga,Shimoga,Wheat,2700,3200,3000,2020-01-20
Shimoga,Shimoga,Wheat,3200,3400,3300,2020-01-23
Shimoga,Shimoga,Wheat,3200,3400,3300,2020-01-24
Shimoga,Bhadravathi,Wheat,2775,2941,2837,2020-01-24
Shimoga,Shimoga,Wheat,3000,3300,3200,2020-01-27
Shimoga,Shimoga,Wheat,3000,3400,3200,2020-01-28
Shimoga,Shimoga,Wheat,3000,3600,3300,2020-01-29
Shimoga,Shimoga,Wheat,3200,3600,3400,2020-01-31
Shimoga,Shimoga,Wheat,3000,3400,3200,2020-02-01
Shimoga,Bhadravathi,Wheat,3000,3200,3019,2020-02-03
Shimoga,Shimoga,Wheat,3200,3600,3400,2020-02-04
Shimoga,Shimoga,Wheat,3000,3300,3200,2020-02-06
Shimoga,Bhadravathi,Wheat,2753,2753,2753,2020-02-07
Shimoga,Shimoga,Wheat,3200,3400,3300,2020-02-10
Shimoga,Shimoga,Wheat,3000,3600,3300,2020-02-12
Shimoga,Shimoga,Wheat,3100,3300,3200,2020-02-13
Shimoga,Shimoga,Wheat,3200,3400,3300,2020-02-14
Shimoga,Bhadravathi,Wheat,2686,2686,2686,2020-02-15
Shimoga,Shimoga,Wheat,3000,3400,3200,2020-02-15
Shimoga,Shimoga,Wheat,3100,3400,3300,2020-02-17
Shimoga,Shimoga,Wheat,3200,3400,3300,2020-02-18
Shimoga,Shimoga,Wheat,2700,3200,2950,2020-02-19
Shimoga,Shimoga,Wheat,2700,3200,2950,2020-02-24
Shimoga,Shimoga,Wheat,2700,3200,2950,2020-02-26
Shimoga,Bhadravathi,Wheat,3000,3200,3023,2020-02-26
Shimoga,Shimoga,Wheat,2700,3200,2950,2020-02-28
Shimoga,Shimoga,Wheat,2800,3400,3100,2020-02-29
Shimoga,Bhadravathi,Wheat,2714,2714,2714,2020-02-29
Shimoga,Shimoga,Wheat,2800,3300,3050,2020-03-02
Shimoga,Shimoga,Wheat,2800,3300,3050,2020-03-03
Shimoga,Shimoga,Wheat,2600,3000,2800,2020-03-04
Shimoga,Shimoga,Wheat,2600,3000,2800,2020-03-05
Shimoga,Bhadravathi,Wheat,2625,2625,2625,2020-03-06
Shimoga,Bhadravathi,Wheat,3018,4116,3369,2020-03-07
Shimoga,Shimoga,Wheat,3200,3400,3300,2020-03-09
Shimoga,Shimoga,Wheat,3200,3400,3300,2020-03-10
Shimoga,Shimoga,Wheat,3100,3400,3250,2020-03-11
Shimoga,Bhadravathi,Wheat,2452,2452,2452,2020-03-13
Shimoga,Shimoga,Wheat,3100,3300,3200,2020-03-13
Shimoga,Shimoga,Wheat,2500,2800,2650,2020-03-16
Shimoga,Bhadravathi,Wheat,3010,3214,3032,2020-03-16
Shimoga,Shimoga,Wheat,2500,2800,2650,2020-03-17
Shimoga,Shimoga,Wheat,3100,3400,3250,2020-03-18
Shimoga,Shimoga,Wheat,3100,3400,3250,2020-03-19
Shimoga,Shimoga,Wheat,2700,3000,2850,2020-03-20
Shimoga,Bhadravathi,Wheat,1900,1900,1900,2020-03-20
Shimoga,Shimoga,Wheat,2700,3000,2850,2020-03-21
Shimoga,Bhadravathi,Wheat,2900,3133,2908,2020-03-21
Shimoga,Shimoga,Wheat,2800,3200,3000,2020-03-23
Shimoga,Bhadravathi,Wheat,2269,2269,2269,2020-03-23
Shimoga,Shimoga,Wheat,2800,3200,3000,2020-03-26
Shimoga,Bhadravathi,Wheat,2250,2375,2291,2020-03-27
Shimoga,Shimoga,Wheat,2800,3200,3000,2020-03-27
Shimoga,Shimoga,Wheat,2800,3200,3000,2020-03-30
Shimoga,Shimoga,Wheat,3200,3400,3300,2020-03-31
Shimoga,Shimoga,Wheat,3100,3300,3200,2020-04-01
Shimoga,Shimoga,Wheat,3200,3400,3300,2020-04-03
Shimoga,Bhadravathi,Wheat,2198,2215,2202,2020-04-03
Shimoga,Shimoga,Wheat,3200,3400,3300,2020-04-04
Shimoga,Bhadravathi,Wheat,2562,3133,2893,2020-04-07
Shimoga,Shimoga,Wheat,3100,3500,3300,2020-04-07
Shimoga,Shimoga,Wheat,3100,3600,3350,2020-04-13
Shimoga,Bhadravathi,Wheat,3000,3200,3100,2020-04-13
Shimoga,Shimoga,Wheat,3100,3500,3300,2020-04-15
Shimoga,Shimoga,Wheat,3000,3600,3300,2020-04-16
Shimoga,Shimoga,Wheat,3100,3600,3350,2020-04-17
Shimoga,Shimoga,Wheat,3100,3600,3350,2020-04-18
Shimoga,Bhadravathi,Wheat,2800,3300,3200,2020-04-18
Shimoga,Bhadravathi,Wheat,2426,2630,2585,2020-04-20
Shimoga,Shimoga,Wheat,3100,3600,3350,2020-04-20
Shimoga,Shimoga,Wheat,3500,4000,3900,2020-04-22
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-04-23
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-04-24
Shimoga,Bhadravathi,Wheat,2450,2450,2450,2020-04-27
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-04-27
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-04-28
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-04-30
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-05-02
Shimoga,Bhadravathi,Wheat,2494,2494,2494,2020-05-02
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-05-04
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-05-05
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-05-06
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-05-07
Shimoga,Shimoga,Wheat,3000,3300,3150,2020-05-08
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-05-11
Shimoga,Bhadravathi,Wheat,2481,2481,2481,2020-05-11
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-05-12
Shimoga,Shimoga,Wheat,3000,3500,3250,2020-05-13
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-05-14
Shimoga,Shimoga,Wheat,2900,3150,3050,2020-05-15
Shimoga,Shimoga,Wheat,2900,3150,3025,2020-05-16
Shimoga,Bhadravathi,Wheat,2435,2435,2435,2020-05-19
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-05-19
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-05-21
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-05-26
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-05-27
Shimoga,Bhadravathi,Wheat,2311,2311,2311,2020-05-28
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-05-29
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-05-30
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-06-01
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-06-02
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-06-03
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-06-04
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-06-05
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-06-06
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-06-08
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-06-09
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-06-10
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-06-11
Shimoga,Bhadravathi,Wheat,2459,2459,2459,2020-06-12
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-06-12
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-06-15
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-06-16
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-06-17
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-06-19
Shimoga,Bhadravathi,Wheat,2342,2342,2342,2020-06-22
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-06-22
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-06-23
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-06-24
Shimoga,Shimoga,Wheat,3000,3300,3150,2020-06-26
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-06-29
Shimoga,Shimoga,Wheat,3000,3200,3100,2020-06-30
