district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Tumkur,Sira,Wheat,2710,2710,2710,2020-02-26
Tumkur,Sira,Wheat,2720,2720,2720,2020-03-06
Tumkur,Sira,Wheat,2160,2160,2160,2020-03-12
Tumkur,Sira,Wheat,2250,2250,2250,2020-03-23
Tumkur,Sira,Wheat,2362,2362,2362,2020-04-30
Tumkur,Sira,Wheat,2450,2450,2450,2020-06-03
Tumkur,Sira,Wheat,2295,2295,2295,2020-06-04
Tumkur,Sira,Wheat,2250,2250,2250,2020-08-19
Tumkur,Sira,Wheat,2389,2389,2389,2020-09-11
Tumkur,Sira,Wheat,2280,2280,2280,2020-12-16
Tumkur,Tumkur,Wheat,2200,3400,2800,2021-11-18
Tumkur,Tumkur,Wheat,2950,4050,3400,2022-09-20
Tumkur,Tumkur,Wheat,2900,4100,3450,2022-09-22
Tumkur,Tumkur,Wheat,2620,3100,2900,2022-09-29
Tumkur,Tumkur,Wheat,2850,3500,2980,2022-10-10
Tumkur,Tumkur,Wheat,2600,3200,2850,2022-10-19
Tumkur,Tumkur,Wheat,2800,3600,3100,2022-10-31
Tumkur,Tumkur,Wheat,2700,3500,3050,2022-11-04
Tumkur,Tumkur,Wheat,2700,3600,3100,2022-11-05
Tumkur,Tumkur,Wheat,2600,3600,2950,2022-12-19
Tumkur,Tumkur,Wheat,2700,3400,2850,2022-12-28
Tumkur,Tumkur,Wheat,2450,3050,2750,2023-01-19
Tumkur,Tumkur,Wheat,2800,3500,3100,2023-02-10
Tumkur,Tumkur,Wheat,2800,3600,3150,2023-04-25
Tumkur,Tumkur,Wheat,2800,3400,3050,2023-06-08
Tumkur,Sira,Wheat,2100,2100,2100,2023-06-19
Tumkur,Sira,Wheat,2400,2400,2400,2023-08-22
Tumkur,Sira,Wheat,3400,3400,3400,2024-01-10
Tumkur,Sira,Wheat,2400,2400,2400,2024-03-30
Tumkur,Sira,Wheat,3385,3385,3385,2024-05-03
Tumkur,Sira,Wheat,3405,3405,3405,2024-05-13
Tumkur,Sira,Wheat,3550,3550,3550,2024-05-28
Tumkur,Sira,Wheat,3450,3450,3450,2024-06-18
Tumkur,Sira,Wheat,3395,34440,3413,2024-07-09
Tumkur,Sira,Wheat,3440,4331,3859,2024-08-12
Tumkur,Sira,Wheat,3440,4331,3859,2024-09-12
Tumkur,Sira,Wheat,3540,3540,3540,2024-09-30
Tumkur,Sira,Wheat,3595,3595,3595,2024-10-24
Tumkur,Sira,Wheat,3909,3909,3909,2024-12-28
Tumkur,Tumkur,Wheat,2600,3600,2950,2024-12-31
