price date,modal price (rs./quintal)
2020-01-01,2038.0
2020-01-02,2475.0
2020-01-03,2500.0
2020-01-04,2564.0
2020-01-05,2564.0
2020-01-06,2425.0
2020-01-07,3200.0
2020-01-08,3200.0
2020-01-09,3200.0
2020-01-10,3200.0
2020-01-11,3200.0
2020-01-12,3200.0
2020-01-13,3000.0
2020-01-14,3000.0
2020-01-15,3000.0
2020-01-16,3000.0
2020-01-17,3000.0
2020-01-18,3050.0
2020-01-19,3050.0
2020-01-20,3050.0
2020-01-21,3450.0
2020-01-22,3450.0
2020-01-23,3450.0
2020-01-24,3500.0
2020-01-25,3500.0
2020-01-26,3500.0
2020-01-27,3400.0
2020-01-28,3400.0
2020-01-29,3350.0
2020-01-30,3350.0
2020-01-31,3300.0
2020-02-01,2400.0
2020-02-02,2400.0
2020-02-03,3300.0
2020-02-04,3200.0
2020-02-05,3200.0
2020-02-06,3200.0
2020-02-07,3200.0
2020-02-08,3200.0
2020-02-09,3200.0
2020-02-10,3200.0
2020-02-11,3200.0
2020-02-12,3200.0
2020-02-13,3200.0
2020-02-14,3200.0
2020-02-15,3200.0
2020-02-16,3200.0
2020-02-17,3200.0
2020-02-18,3000.0
2020-02-19,3000.0
2020-02-20,3100.0
2020-02-21,3100.0
2020-02-22,3100.0
2020-02-23,3100.0
2020-02-24,3100.0
2020-02-25,3000.0
2020-02-26,3000.0
2020-02-27,3000.0
2020-02-28,3000.0
2020-02-29,3000.0
2020-03-01,3000.0
2020-03-02,3000.0
2020-03-03,2900.0
2020-03-04,2900.0
2020-03-05,2900.0
2020-03-06,2900.0
2020-03-07,2900.0
2020-03-08,2900.0
2020-03-09,2900.0
2020-03-10,2800.0
2020-03-11,2800.0
2020-03-12,2750.0
2020-03-13,2750.0
2020-03-14,2750.0
2020-03-15,2750.0
2020-03-16,2800.0
2020-03-17,2800.0
2020-03-18,2900.0
2020-03-19,2900.0
2020-03-20,2900.0
2020-03-21,2800.0
2020-03-22,2800.0
2020-03-23,2800.0
2020-03-24,2900.0
2020-03-25,2900.0
2020-03-26,3000.0
2020-03-27,3000.0
2020-03-28,2900.0
2020-03-29,2900.0
2020-03-30,2900.0
2020-03-31,2900.0
2020-04-01,2900.0
2020-04-02,2900.0
2020-04-03,2900.0
